ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10270401,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10270402,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10270403,hide,hide,hide,hide,hide,下午两点，演出前的空档。更衣室里只有夏实一个人，坐在角落的椅子上，手里拿着一支没点燃的烟。她看见我进来，把烟放回烟盒。动作很轻，但手在抖。,DressingRoom,Mixed_Emotion,,,
10270404,hide,hide,hide,hide,hide,空气里有粉饼的香味，还有旧衣料的樟脑味。她身后的窗户开了一条缝，风把窗帘吹得鼓起来又收回去。,DressingRoom,Mixed_Emotion,,,
10270405,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10270406,黄鹂姬·日向夏实,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10270407,hide,hide,hide,hide,hide,……那个人。昨天来的那个。,DressingRoom,Mixed_Emotion,,,
10270408,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10270409,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10270410,hide,hide,hide,hide,hide,她停了一下。把烟盒从桌上拿起来又放下。,DressingRoom,Mixed_Emotion,,,
10270411,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10270412,黄鹂姬·日向夏实,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10270413,hide,hide,hide,hide,hide,我见过他。不是在这里。,DressingRoom,Mixed_Emotion,,,
10270414,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10270415,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10270416,hide,hide,hide,hide,hide,……什么时候。,DressingRoom,Mixed_Emotion,,,
10270417,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10270418,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10270419,hide,hide,hide,hide,hide,她抬头看我。平时的笑容没有了——那张面具彻底不在。嘴唇有点干，说话之前舔了一下。,DressingRoom,Mixed_Emotion,,,
10270420,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10270421,黄鹂姬·日向夏实,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10270422,hide,hide,hide,hide,hide,很久了。Solar Flare时期。他是股东。不是小股东。是那种会出现在账本首页的名字。,DressingRoom,Mixed_Emotion,,,
10270423,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10270424,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10270425,hide,hide,hide,hide,hide,她说这话的时候手指在膝盖上反复捏裙子上的一个褶皱。捏平了又揉起来。窗户缝里的风突然大了，把桌上的烟灰缸旁边一张纸巾吹到了地上。她去捡，弯腰的时候头发遮住了脸。,DressingRoom,Mixed_Emotion,,,
10270426,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10270427,黄鹂姬·日向夏实,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10270428,hide,hide,hide,hide,hide,我没跟任何人说过这件事。连雪代都没说过。Solar Flare关掉之后我以为这些人不会再出现了。但他走进来的那一刻——我就知道是他。他老了一点，但眼神没变。,DressingRoom,Mixed_Emotion,,,
10270429,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10270430,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10270431,hide,hide,hide,hide,hide,……他危险吗。,DressingRoom,Coming_Dangerous,,,
10270432,hide,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
10270433,hide,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
10270434,hide,hide,hide,hide,hide,夏实站起来。把烟盒塞进包里。动作忽然利落起来，像在赶一个就要跑掉的东西。,DressingRoom,Coming_Dangerous,,,
10270435,hide,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
10270436,黄鹂姬·日向夏实,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
10270437,hide,hide,hide,hide,hide,我不知道他危险不危险。我只知道Solar Flare关掉之后，有三个女孩失踪了。警察没立案。因为她们是外国人。,DressingRoom,Coming_Dangerous,,,
10270438,hide,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
10270439,hide,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
10270440,hide,hide,hide,hide,hide,她说完就走了。更衣室的门合上之后，我闻到空气里还有她留下的香水味——甜得过分，像是在盖什么东西。,DressingRoom,Coming_Dangerous,,,
10270441,hide,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
