ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10080601,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10080602,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10080603,hide,hide,hide,hide,hide,凌晨一点。最后一组客人离开后，我把办公室的门反锁了。窗帘拉到底。百叶窗的叶片全部闭合。今晚不需要任何光线从外面进来。,Manager_Office,Silent_Night,,,
10080604,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10080605,hide,hide,hide,hide,hide,"翻盖机放在桌上。屏幕朝上。收件箱里躺着增田最后那条消息——""明天之前必须见面。老地方。重要情报。""旁边是一个绿色的对勾。已读。",Manager_Office,Mystery_Box,,,
10080606,hide,hide,hide,hide,hide,,Manager_Office,Mystery_Box,,,
10080607,hide,hide,hide,hide,hide,"我把光标移到那条消息上。长按。弹出选项——""删除""""存档""""锁定""。我选了锁定。那条消息被复制到加密分区。原本的对话记录被覆盖成乱码。从此之后没有人能从这部手机里读出增田说过什么。",Manager_Office,Mystery_Box,,,
10080608,hide,hide,hide,hide,hide,,Manager_Office,Mystery_Box,,,
10080609,hide,hide,hide,hide,hide,解锁分区需要佐藤给我的新密码。密码在今晚十二点整发过来了——一串八位数字。没有文字说明。只有数字。和增田给你的那串是一样长。但他们不是同一个人。,Manager_Office,Mystery_Box,,,
10080610,hide,hide,hide,hide,hide,,Manager_Office,Mystery_Box,,,
10080611,hide,hide,hide,hide,hide,我开始写第一份给佐藤的加密报告。,Manager_Office,Mystery_Box,,,
10080612,hide,hide,hide,hide,hide,,Manager_Office,Mystery_Box,,,
10080613,hide,hide,hide,hide,hide,"""第一周总结：俱乐部运营正常。白鹤姬为实际管理者，掌握所有排期与财务权限。已确认俱乐部与外部毒品网络存在关联。""",Manager_Office,Mystery_Box,,,
10080614,hide,hide,hide,hide,hide,,Manager_Office,Mystery_Box,,,
10080615,hide,hide,hide,hide,hide,手指在键盘上停了几秒。然后删除了最后一句。,Manager_Office,Mystery_Box,,,
10080616,hide,hide,hide,hide,hide,,Manager_Office,Mystery_Box,,,
10080617,hide,hide,hide,hide,hide,"换成了——""怀疑俱乐部与外部存在非法资金流动。正在进一步确认。""",Manager_Office,Mystery_Box,,,
10080618,hide,hide,hide,hide,hide,,Manager_Office,Mystery_Box,,,
10080619,hide,hide,hide,hide,hide,不要在第一份报告里就把底牌摊开。你不知道对面坐的是谁。,Manager_Office,Mystery_Box,,,
10080620,hide,hide,hide,hide,hide,,Manager_Office,Mystery_Box,,,
10080621,hide,hide,hide,hide,hide,"发送。加密进度条走了三秒。屏幕上弹出""送达""。一秒后，弹出""已读""。",Manager_Office,Mystery_Box,,,
10080622,hide,hide,hide,hide,hide,,Manager_Office,Mystery_Box,,,
10080623,hide,hide,hide,hide,hide,佐藤没有回复。和增田一样。又不一样。,Manager_Office,Mystery_Box,,,
10080624,hide,hide,hide,hide,hide,,Manager_Office,Mystery_Box,,,
10080625,hide,hide,hide,hide,hide,我关掉翻盖机。靠进椅背。闭上眼睛。眼皮后面浮现的不是黑暗，是一辆银色轿车撞在国道护栏上的画面。那个画面我今天没有亲眼见到。但新闻播了两次，我就已经能完整地复现它了——六点四十分的灰蒙蒙的晨光，扭曲的车头，碎成蛛网的挡风玻璃。,Manager_Office,Silent_Night,,,
10080626,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10080627,hide,hide,hide,hide,hide,增田一郎，缉毒组成员。我的第一个也是唯一一个联络人。今天早上死在国道上。,Manager_Office,Mixed_Emotion,,,
10080628,hide,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,
10080629,hide,hide,hide,hide,hide,刹车故障。,Manager_Office,Mixed_Emotion,,,
10080630,hide,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,
10080631,hide,hide,hide,hide,hide,我睁开眼睛。看着天花板上那盏日光灯。它发出一种很细的高频嗡嗡声。以前没有注意过。,Manager_Office,Mixed_Emotion,,,
10080632,hide,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,
10080633,hide,hide,hide,hide,hide,明天还有很多事要做。,Manager_Office,Mixed_Emotion,,,
10080634,hide,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,
10080635,hide,hide,hide,hide,hide,我把翻盖机放进抽屉。锁了办公室的门。走廊里没有人。应急灯很暗。影子被拉得很长，然后又消失。然后又被下一盏灯拉长。,Corridor,Mixed_Emotion,,,
10080636,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10080637,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
