ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10600401,hide,hide,hide,hide,hide,,Club_door,Mixed_Emotion,,,
10600402,hide,hide,hide,hide,hide,,Club_door,Mixed_Emotion,,,
10600403,hide,hide,hide,hide,hide,春奈——穿着村上秘书西装的春奈——从侧面扑了上去。不是扑向枪口。是扑向村上道也。她的左手拿着麻醉剂。目标是村上道也的脖子。十秒。只需要十秒。她比所有人都快。比雪代快。比Linda快。比我快。她的右手推开了村上道也的肩膀。左手的麻醉剂瓶口已经对准了他的颈动脉。,Club_door,Mixed_Emotion,,,
10600404,hide,hide,hide,hide,hide,,Club_door,Mixed_Emotion,,,
10600405,hide,hide,hide,hide,hide,,Club_door,Mixed_Emotion,,,
10600406,hide,hide,hide,hide,hide,但高的那个心腹——枪已经拔出来了。不是指向我。不是指向雪代。是本能——看到有人扑向他的主子，枪口转向春奈。春奈看到了枪口。她没有停。没有闪。她只是把麻醉剂往前推了最后几厘米——刺进村上道也的脖子。注射器推进去的时候发出很细的嘶声。,Club_door,Mixed_Emotion,,,
10600407,hide,hide,hide,hide,hide,,Club_door,Mixed_Emotion,,,
10600408,hide,hide,hide,hide,hide,,Club_door,Mixed_Emotion,,,
10600409,hide,hide,hide,hide,hide,然后枪响了。,Club_door,Mixed_Emotion,,,
10600410,hide,hide,hide,hide,hide,,Club_door,Mixed_Emotion,,,
10600411,hide,hide,hide,hide,hide,,Club_door,Mixed_Emotion,,,
10600412,hide,hide,hide,hide,hide,子弹打在春奈的右肩。不是左肩——右肩。她往后仰。麻醉剂瓶子从手里飞出去。在地板上摔碎了。碎片在吊灯下闪着光。她的身体撞在吧台上。然后滑下去。滑到地上。村上秘书的西装上开了一朵红色的花。不是花——是血。血从肩部往外涌。把深灰色西装染成黑色。,Club_door,Mixed_Emotion,,,
10600413,hide,hide,hide,hide,hide,,Club_door,Mixed_Emotion,,,
10600414,hide,hide,hide,hide,hide,,Club_door,Mixed_Emotion,,,
10600415,hide,hide,hide,hide,hide,春奈的脸——村上秘书的面具——歪了。不是她自己揭的。是子弹的冲击力让面具移位了。面具从左边翘起来。露出半张真脸。半张村上秘书。半张春奈。两张脸在同一颗头上。她躺在地上。右肩在冒血。但她还醒着。她的左手——没受伤的左手——伸进口袋。掏出第二瓶麻醉剂。举起来。对着我。,Club_door,Mixed_Emotion,,,
10600416,hide,hide,hide,hide,hide,,Club_door,Mixed_Emotion,,,
10600417,诡鹀姬·木岛春奈,hide,hide,hide,hide,,Club_door,Mixed_Emotion,,,
10600418,hide,hide,hide,hide,hide,……拿去。我——只能做这么多了。,Club_door,Mixed_Emotion,,,
10600419,hide,hide,hide,hide,hide,,Club_door,Mixed_Emotion,,,
10600420,hide,hide,hide,hide,hide,,Club_door,Mixed_Emotion,,,
10600421,hide,hide,hide,hide,hide,她的真脸在半张面具下面。眉毛很淡。嘴唇很薄。鼻梁侧面那颗小痣。左眼下那颗小痣。真脸在笑——不是顽皮的笑。是完成了。一个人完成了自己该做的事之后——那种不管不顾的笑。,Club_door,Mixed_Emotion,,,
10600422,hide,hide,hide,hide,hide,,Club_door,Mixed_Emotion,,,
10600423,hide,hide,hide,hide,hide,,Club_door,Mixed_Emotion,,,
10600424,hide,hide,hide,hide,hide,雪代动了。这一次她动了。她伸手——按住高的那个心腹的枪管。不是夺。是按。把枪管压下去。然后她的另一只手——按在村上道也的肩膀上。不是推。是按。把正要站起来的村上道也按回椅子上。她的手指在村上道也的肩头压出五个白色的印子。,Club_door,Mixed_Emotion,,,
10600425,hide,hide,hide,hide,hide,,Club_door,Mixed_Emotion,,,
10600426,白鹤姬·桂原雪代,hide,hide,hide,hide,,Club_door,Mixed_Emotion,,,
10600427,hide,hide,hide,hide,hide,够了。,Club_door,Mixed_Emotion,,,
10600428,hide,hide,hide,hide,hide,,Club_door,Mixed_Emotion,,,
10600429,hide,hide,hide,hide,hide,,Club_door,Mixed_Emotion,,,
10600430,hide,hide,hide,hide,hide,两个字。声音不高。但大厅里所有人都听到了。不是因为响——是因为冷。那种从骨头里冷出来的声音。村上道也抬头看她。他的脖子被麻醉剂刺了一下，但药效还没完全发作。他还能说话。,Club_lobby,Mixed_Emotion,,,
10600431,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10600432,村上道也,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10600433,hide,hide,hide,hide,hide,你——桂原雪代——你敢——,Club_lobby,Mixed_Emotion,,,
10600434,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10600435,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10600436,hide,hide,hide,hide,hide,雪代没有回答。她把枪管从心腹手里夺过来。放在桌上。枪在白色桌布上——黑色的，很沉。然后她低头。看着村上道也。,Club_lobby,Mixed_Emotion,,,
10600437,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10600438,白鹤姬·桂原雪代,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10600439,hide,hide,hide,hide,hide,三年前。你逼雪鹤姐走进泡泡浴室。今天。我让你走进审讯室。不是死。是活着被审判。活着——有时候比死更难受。,Bathroom_Jan,Slow_Lure,,,
10600440,hide,hide,hide,hide,hide,,Bathroom_Jan,Slow_Lure,,,
