ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10560601,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10560602,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10560603,hide,hide,hide,hide,hide,深夜九点。大厅灯火通明。所有人都在布置。但气氛和END-A不同——这里更沉默。不是安静——是沉默。景子在铺桌布。手很稳。但她没有和任何人说话。夏实在测试音响。手指按在播放键上。但没有按下去。只是放在上面。紫在放花——但花放得不太整齐。有的向左歪，有的向右歪。她看了一眼。没有调整。,Club_lobby,Silent_Night,,,
10560604,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10560605,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10560606,hide,hide,hide,hide,hide,空气里有桌布的淀粉味。音响清洁剂的酒精味。花的青草味。但这些味道都不如沉默重。沉默有自己的味道——不是气味。是质感。像空气被压缩了。密度变大了。,Club_lobby,Silent_Night,,,
10560607,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10560608,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10560609,hide,hide,hide,hide,hide,春奈在检查窗户。手里拿着麻醉剂瓶子。她把瓶子放在口袋里。然后拍了拍。确认不会掉。葵在吧台后面。面前只有两盘磁带。不是三盘。她把两盘磁带排好。第一盘。第二盘。中间空了一个位置——原本放第三盘的位置。那个空位在吧台的灯光下像一个缺口。她看着缺口。然后把两盘磁带推进卡槽。一盘一盘。动作很慢。,Club_lobby,Silent_Night,,,
10560610,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10560611,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10560612,hide,hide,hide,hide,hide,雪代站在大厅中央。她没有动手。只是看。她的眼睛在每一个细节上停留——桌布。餐具。花。音响。然后她微微低头。闭上眼睛。大概几秒。然后睁开。她走到吧台旁边。看着葵面前那个空位。她没有问。但她看了很久。然后她伸出手。在吧台上——那个空位的位置——用手指点了一下。然后转身。,Club_lobby,Silent_Night,,,
10560613,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10560614,白鹤姬·桂原雪代,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10560615,hide,hide,hide,hide,hide,好了。可以了。回去睡。明天——准时。,Club_lobby,Silent_Night,,,
10560616,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10560617,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10560618,hide,hide,hide,hide,hide,她走了。和服的下摆擦过地面。其他人陆续离开。大厅的灯一盏一盏灭。最后只剩下一盏——吧台上那盏小灯。橘色的。照在两盘磁带上。和它们之间的空位上。那个空位在光里。像一个没说完的句子。,Club_lobby,Silent_Night,,,
10560619,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
