ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10150401,hide,hide,hide,hide,hide,,Club_away,Mystery_Box,,,
10150402,hide,hide,hide,hide,hide,,Club_away,Mystery_Box,,,
10150403,hide,hide,hide,hide,hide,下午三点。神宫寺丽莎的房间里弥漫着一股淡淡的茉莉香——和她平时用的香水不同，这支更清冷，后味带一点草本的气味。她坐在窗边，面前放着一本打开的支票簿。银色晚礼服的肩带滑下了半寸。她没有拉回去。,Club_away,Mystery_Box,,,
10150404,hide,hide,hide,hide,hide,,Club_away,Mystery_Box,,,
10150405,银鹮姬·神宫寺丽莎,hide,hide,hide,hide,,Club_away,Mystery_Box,,,
10150406,hide,hide,hide,hide,hide,"经理。我今天想跟你玩一个很小的游戏。很老套——""测试人品""。一般是投行在面试新员工时会做的那种。但我觉得对你这种人，老套工具反而最有效。",Club_away,Mystery_Box,,,
10150407,hide,hide,hide,hide,hide,,Club_away,Mystery_Box,,,
10150408,hide,hide,hide,hide,hide,,Club_away,Mystery_Box,,,
10150409,hide,hide,hide,hide,hide,她把支票簿转过来。上面是空白的——没有金额，没有签名，没有任何限制。,Club_away,Mystery_Box,,,
10150410,hide,hide,hide,hide,hide,,Club_away,Mystery_Box,,,
10150411,银鹮姬·神宫寺丽莎,hide,hide,hide,hide,,Club_away,Mystery_Box,,,
10150412,hide,hide,hide,hide,hide,空白支票。金额你自己填。签名栏我已经签好了。没有上限，走的是我个人账户。你可以填十万，一百万——一千万。银行不会问你任何问题。,Club_away,Mystery_Box,,,
10150413,hide,hide,hide,hide,hide,——这不是贿赂。这是考题。考完之后如果你填了，钱就是你的。我不需要知道你把钱用来做什么。我只想知道你会不会填。,Club_away,Mystery_Box,,,
10150414,hide,hide,hide,hide,hide,,Club_away,Mystery_Box,,,
10150415,hide,hide,hide,hide,hide,,Club_away,Mystery_Box,,,
10150416,hide,hide,hide,hide,hide,她端起红茶杯抿了一小口。杯底有一片没完全融化的方糖。,Club_away,Mystery_Box,,,
10150417,hide,hide,hide,hide,hide,,Club_away,Mystery_Box,,,
10150418,hide,hide,hide,hide,hide,,Club_away,Mystery_Box,,,
10150419,hide,hide,hide,hide,hide,……为什么要考这个。,Club_away,Mystery_Box,,,
10150420,hide,hide,hide,hide,hide,,Club_away,Mystery_Box,,,
10150421,银鹮姬·神宫寺丽莎,hide,hide,hide,hide,,Club_away,Mystery_Box,,,
10150422,hide,hide,hide,hide,hide,因为我上周给过你一张印着我的私人号码的名片。你没有打。上次茶会上我给了你那个死者的仓库地址。你没有拿来勒索我。当一个男人连续两次在没有任何监督的情况下不做坏事——我就需要确认是出于道德，还是出于胆量。是不想。还是不敢。,Club_away,Mystery_Box,,,
10150423,hide,hide,hide,hide,hide,——道德是暂时的。胆量是永远的。我用一张空头支票买这个答案。,Club_away,Mystery_Box,,,
10150424,hide,hide,hide,hide,hide,,Club_away,Mystery_Box,,,
10150425,hide,hide,hide,hide,hide,,Club_away,Mystery_Box,,,
10150426,hide,hide,hide,hide,hide,她把支票簿推到我面前。那种推法不是施舍。也不是炫耀。是她在投行学会的那种——把数字放在对方面前，观察对方的瞳孔。瞳孔不会撒谎。瞳孔在看到钱的时候会放大。金融的本质不是数学。是生理学。,Club_away,Mystery_Box,,,
