ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10390601,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10390602,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10390603,hide,hide,hide,hide,hide,"雪代站在大厅中央。所有人围坐——有的在吧台旁边，有的在沙发上，有的坐在地毯上。烛火已经熄了，换成了电灯。灯光比烛光白，比烛光亮，但少了一点什么。大概少的是那种""随时会灭""的珍贵。",Club_lobby,Silent_Night,,,
10390604,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10390605,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10390606,hide,hide,hide,hide,hide,空气里有刚煮的茶的味道。还有更淡的——发电机运作时散发的汽油味，从后院的窗缝里飘进来。雪代等所有人坐好。她环顾了一圈。在每一个人的脸上停了一秒。,Club_lobby,Silent_Night,,,
10390607,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10390608,白鹤姬·桂原雪代,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10390609,hide,hide,hide,hide,hide,明天开始恢复正常营业。,Club_lobby,Silent_Night,,,
10390610,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10390611,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10390612,hide,hide,hide,hide,hide,她停了一下。不是因为犹豫——是因为接下来的话需要被记住。,Club_lobby,Silent_Night,,,
10390613,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10390614,白鹤姬·桂原雪代,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10390615,hide,hide,hide,hide,hide,但规则会变。,Club_lobby,Silent_Night,,,
10390616,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10390617,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10390618,hide,hide,hide,hide,hide,她从怀里拿出一张纸。展开。上面列了几条。字迹和她笔记本上的一样——很小，但很稳。,Club_lobby,Silent_Night,,,
10390619,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10390620,白鹤姬·桂原雪代,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10390621,hide,hide,hide,hide,hide,第一。任何人可以随时离开。俱乐部不扣钱，不追债，不问原因。第二。如果有人在外面遇到麻烦——不管是客人还是其他人——第一时间通知我。不是通知警察。通知我。,Club_lobby,Silent_Night,,,
10390622,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10390623,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10390624,hide,hide,hide,hide,hide,她看着第三条。停了比之前更长的时间。,Club_lobby,Silent_Night,,,
10390625,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10390626,白鹤姬·桂原雪代,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10390627,hide,hide,hide,hide,hide,第三。如果有一天我不在了——这个俱乐部不散。你们自己决定谁管事。,Club_lobby,Silent_Night,,,
10390628,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10390629,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10390630,hide,hide,hide,hide,hide,大厅里安静了。不是那种沉默——是所有人同时停止了呼吸。彩把瞳的手握紧了。丽莎低下头，看着自己的手指。夏实的笑容没有出现——不是消失了，是这一次不需要。,Club_lobby,Silent_Night,,,
10390631,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10390632,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10390633,hide,hide,hide,hide,hide,育子举手。她举手的方式还是像小学生——胳膊举得笔直。雪代看着她。,Club_lobby,Silent_Night,,,
10390634,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10390635,雏鹃姬·芦田育子,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10390636,hide,hide,hide,hide,hide,……你不会不在。,Club_lobby,Silent_Night,,,
10390637,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10390638,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10390639,hide,hide,hide,hide,hide,雪代看着她。看了很久。然后她微微低了一下头。不是点头。是某种更安静的回应。,Club_lobby,Silent_Night,,,
10390640,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10390641,白鹤姬·桂原雪代,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10390642,hide,hide,hide,hide,hide,明天开始。正常营业。,Club_lobby,Silent_Night,,,
10390643,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10390644,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10390645,hide,hide,hide,hide,hide,她折起那张纸。放进怀里。然后她走到窗边，看着外面。街上的路灯也亮了——市政的电力恢复了。灯光在湿漉漉的柏油路面上反射出很长的光带。台风过去了。但台风改变的东西，不会变回去。,Club_lobby,Unreal_Memory,,,
10390646,hide,hide,hide,hide,hide,,Club_lobby,Unreal_Memory,,,
