ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10290601,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10290602,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10290603,hide,hide,hide,hide,hide,晚上十点。俱乐部正热闹的时候。大厅里有音乐——爵士，贝斯很沉，压着耳膜。灯光调得暗，卡座里的客人在喝酒聊天，舞台上还没有表演。,Club_lobby,Silent_Night,,,
10290604,hide,hide,hide,hide,hide,门口的风铃响了。一个男人走进来。四十岁上下，穿一件深蓝色的夹克，里面是白衬衫，没打领带。头发有点长，没怎么打理。手里没有公文包，只有一个笔记本——不是电脑，是纸质的，卷着塞在口袋里。,Club_lobby,Silent_Night,,,
10290605,hide,hide,hide,hide,hide,他站在门口扫了一圈。不是在找座位——是在找人。,Club_lobby,Silent_Night,,,
10290606,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10290607,江口裕二,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10290608,hide,hide,hide,hide,hide,晚上好。我一个人。有吧台的位置吗。,Club_lobby,Silent_Night,,,
10290609,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10290610,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10290611,hide,hide,hide,hide,hide,我带他到吧台。他在高脚凳上坐下来，姿势很放松，像一个常来的人。但他的手放在吧台上之后就没动过——不是紧张，是观察。拇指在台面边缘轻轻敲了两下。,Club_lobby,Coming_Dangerous,,,
10290612,hide,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10290613,江口裕二,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10290614,hide,hide,hide,hide,hide,威士忌。加冰。谢谢。,Club_lobby,Coming_Dangerous,,,
10290615,hide,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10290616,hide,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10290617,hide,hide,hide,hide,hide,调酒的时候我多看了他一眼。他注意到了。笑了一下——职业性的，不深。,Club_lobby,Coming_Dangerous,,,
10290618,hide,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10290619,江口裕二,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10290620,hide,hide,hide,hide,hide,我叫江口。江口裕二。周刊《真实》的记者。,Club_lobby,Coming_Dangerous,,,
10290621,hide,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10290622,hide,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10290623,hide,hide,hide,hide,hide,他喝了一口酒。冰块在杯子里轻轻转了一圈。,Club_lobby,Coming_Dangerous,,,
10290624,hide,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10290625,江口裕二,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10290626,hide,hide,hide,hide,hide,别紧张。我只是想喝一杯。听朋友说这里不错。他说这里很多故事。,Club_lobby,Coming_Dangerous,,,
10290627,hide,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10290628,hide,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10290629,hide,hide,hide,hide,hide,……谁说的。,Club_lobby,Coming_Dangerous,,,
10290630,hide,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10290631,hide,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10290632,hide,hide,hide,hide,hide,他放下杯子。拇指在杯沿上抹了一下，擦掉一滴冷凝水。,Club_lobby,Coming_Dangerous,,,
10290633,hide,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10290634,江口裕二,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10290635,hide,hide,hide,hide,hide,一个朋友。你们应该认识。他最近不太方便出门。姓佐藤。,Club_lobby,Coming_Dangerous,,,
10290636,hide,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10290637,hide,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10290638,hide,hide,hide,hide,hide,大厅里的音乐换了一首。萨克斯。一个高音拉上去之后，整个房间忽然变安静了一秒。江口没有追问。只是继续喝酒。但他看我的眼神——不是看一个俱乐部经理。是看一个资料源。,Club_lobby,Silent_Night,,,
10290639,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10290640,江口裕二,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10290641,hide,hide,hide,hide,hide,不急。我今天只是来喝酒。但如果你有空——我过两天再来。,Club_lobby,Silent_Night,,,
10290642,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10290643,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10290644,hide,hide,hide,hide,hide,他喝完那杯酒就走了。从进门到离开不到三十分钟。笔记本始终没有拿出来。但我知道他记住了这里的一切——每个人的位置、每张脸、吧台后面的酒瓶排列。风铃又响了。门合上。大厅恢复喧闹。,Club_lobby,Silent_Night,,,
10290645,hide,hide,hide,hide,hide,我把他用过的杯子拿起来。杯底残留的冰水在灯光下反光。杯子下面压了一张名片——周刊《真实》，江口裕二。电话。背面手写了一行字：我周四再来。,Club_lobby,Silent_Night,,,
10290646,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10290647,hide,hide,hide,hide,hide,收好名片,Club_lobby,Silent_Night,,,选择分支标记
10290648,hide,hide,hide,hide,hide,扔掉它,Club_lobby,Silent_Night,,,选择分支标记
10290649,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10290650,hide,hide,hide,hide,hide,++收好名片,Club_lobby,Silent_Night,,,
