ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10030001,hide,hide,hide,hide,hide,思绪回来，我抬起手，准备敲门。,Club_door,Mixed_Emotion,,bgfade(0.8),
10030002,hide,hide,hide,hide,hide,手在空中停了三秒。,Club_door,,,,
10030003,hide,hide,hide,hide,hide,就在这时，门开了。,Club_door_open,,,bgfade(0.8),
10030004,hide,hide,hide,hide,hide,没有声音，仿佛这扇沉重的黑铁门只是幻觉的边界。先出现的是一只手——扶着门框的手。,Club_door_open,,,,
10030005,hide,hide,hide,hide,hide,手指修长，骨节分明，指甲修成完美的杏仁形，涂着近乎透明的珠光色。,Club_door_open,,,,
10030006,hide,hide,hide,hide,hide,接下来是仿佛月光凝成的细白腕部，有着带着淡淡冷意的白皙。,Club_door_open,,,,
10030007,hide,hide,hide,hide,hide,然后是袖口，质地厚重、垂坠优雅的高级黑袖。,Club_door_open,,,,
10030008,hide,hide,hide,hide,hide,袖缘干净利落，针脚细密得几乎看不见,Club_door_open,,,,
10030009,hide,hide,hide,YukiyoKatsurahara_work,hide,最后才是她。,Club_door_open,,,,
10030010,hide,hide,hide,YukiyoKatsurahara_work,hide,桂原雪代——或者说，“白鹤姬”——站在门内。她穿着素黑色的和服，头发梳成典雅的样子。,Club_door_open,,,,
10030011,hide,hide,hide,YukiyoKatsurahara_work,hide,她是这家“十二飞鸟”俱乐部的头牌花魁，也是真正的经营者。,Club_door_open,,,,
10030012,hide,hide,hide,YukiyoKatsurahara_work,hide,至于我这个所谓的“经理”，更像是一个她的小弟，需要听从她的安排。,Club_door_open,,,,
10030013,hide,hide,hide,YukiyoKatsurahara_work,hide,在面试的时候，我们就已经较量过，显然，她不是一个好对付的女人。,Club_door_open,,,,
10030014,hide,hide,hide,YukiyoKatsurahara_work,hide,她看着我，只是用那双眼睛安静地打量着我……,Club_door_open,,,,
10030015,白鹤姬·桂原雪代,hide,hide,YukiyoKatsurahara_work,hide,黑羽哲也君。,Club_door_open,,,,
10030016,hide,hide,hide,YukiyoKatsurahara_work,hide,她的声音很轻，却清晰地穿透了空气，送达我的耳边。,Club_door_open,,,,
10030017,hide,hide,hide,YukiyoKatsurahara_work,hide,不是关西腔，也不是标准的东京腔，而是一种古老的、带着京都韵味的发音方式。,Club_door_open,,,,
10030018,白鹤姬·桂原雪代,hide,hide,YukiyoKatsurahara_work,hide,你记不记得……面试那天我就说过——你有一双太干净的眼睛。,Club_door_open,,,,
10030019,白鹤姬·桂原雪代,hide,hide,YukiyoKatsurahara_work,hide,我现在还是这么觉得。,Club_door_open,,,,
10030020,我,hide,hide,YukiyoKatsurahara_work,hide,可能是最近休息得比较好吧。,Club_door_open,,,,
10030021,hide,hide,hide,YukiyoKatsurahara_work,hide,她摇了摇头，轻笑了一下。,Club_door_open,,,,
10030022,hide,hide,hide,YukiyoKatsurahara_work,hide,她微微侧身，让出通道。,Club_door_open,,,,
10030023,hide,hide,hide,hide,hide,我跨过门槛。,Club_door_open,,,,
10030024,hide,hide,hide,hide,hide,玄关比想象中更深。地面的石材打磨得能照出人影。,Club_Enterance_Scene_dark_inside,Coming_Dangerous,,bgfade(0.8),
10030025,hide,hide,hide,hide,hide,两侧墙壁挂着十二幅浮世绘——都是鸟。,Club_Enterance_Scene_dark_inside,,,,
10030026,hide,hide,hide,hide,hide,鹤、莺、燕、鹭……诸如此类。,Club_Enterance_Scene_dark_inside,,,,
10030027,hide,hide,hide,hide,hide,每只鸟的姿态都不同，但眼睛都用金粉点过，在昏暗中泛着微弱的光。,Club_Enterance_Scene_dark_inside,,,,
10030028,hide,hide,hide,hide,hide,空气里的气味更加浓烈了。现在我能辨认出来了，是栀子的香味。,Club_Enterance_Scene_dark_inside,,,,
10030029,hide,hide,hide,hide,hide,桂原雪代走在前方，和服下摆摩擦地面的声音极轻。,Club_Enterance_Scene_dark_inside,,,,
10030030,白鹤姬·桂原雪代,hide,hide,YukiyoKatsurahara_work,hide,规矩我面试的时候已经说过了，现在再说一次，请你用心听。,Club_Enterance_Scene_dark_inside,,,,
10030031,hide,hide,hide,YukiyoKatsurahara_work,hide,她的背影笔直，走路时脖颈到脊背的线条像鹤的颈项。,Club_Enterance_Scene_dark_inside,,,,
10030032,hide,hide,hide,YukiyoKatsurahara_work,hide,光线昏暗，但是仍然能感觉到她的皮肤白如凝脂。,Club_Enterance_Scene_dark_inside,,,,
10030033,白鹤姬·桂原雪代,hide,hide,YukiyoKatsurahara_work,hide,第一，客人的隐私是绝对领域。,Club_Enterance_Scene_dark_inside,,,,
10030034,白鹤姬·桂原雪代,hide,hide,YukiyoKatsurahara_work,hide,在这里，客人没有名字，只有代号。没有职业，只有“身份”。,Club_Enterance_Scene_dark_inside,,,,
10030035,白鹤姬·桂原雪代,hide,hide,YukiyoKatsurahara_work,hide,你看到的一切，听到的一切，离开这里后都不存在。,Club_Enterance_Scene_dark_inside,,,,
10030036,白鹤姬·桂原雪代,hide,hide,YukiyoKatsurahara_work,hide,第二，女孩们的工作你不要干涉。,Club_Enterance_Scene_dark_inside,,,,
10030037,白鹤姬·桂原雪代,hide,hide,YukiyoKatsurahara_work,hide,她们怎么服务——那是她们自己的选择。你只负责排班、预约、以及确保“服务”顺利进行。,Club_Enterance_Scene_dark_inside,,,,
10030038,hide,hide,hide,YukiyoKatsurahara_work,hide,她在走廊转角停下，转身看我。那双眼睛在阴影中显得更深邃了。,Club_Enterance_Scene_dark_inside,,,,
10030039,白鹤姬·桂原雪代,hide,hide,YukiyoKatsurahara_work,hide,第三，也是最重要的一条。,Club_Enterance_Scene_dark_inside,,,,
10030040,白鹤姬·桂原雪代,hide,hide,YukiyoKatsurahara_work,hide,不要对这里的女人产生感情。,Club_Enterance_Scene_dark_inside,,,,
10030041,白鹤姬·桂原雪代,hide,hide,YukiyoKatsurahara_work,hide,不要试图“拯救”任何人。,Club_Enterance_Scene_dark_inside,,,,
10030042,白鹤姬·桂原雪代,hide,hide,YukiyoKatsurahara_work,hide,不要犯男人一直会犯的那些错误。,Club_Enterance_Scene_dark_inside,,,,
10030043,hide,hide,hide,YukiyoKatsurahara_work,hide,她走近一步。我闻到她身上的香味——不是栀子，而是更清冷的白梅。,Club_Enterance_Scene_dark_inside,,,,
10030044,hide,hide,hide,YukiyoKatsurahara_work,hide,但在这清冷之下，隐隐有另一种气味：像是铁锈，又像是潮湿的土壤。,Club_Enterance_Scene_dark_inside,,,,
10030045,白鹤姬·桂原雪代,hide,hide,YukiyoKatsurahara_work,hide,她们每个人来到这里，都有自己的理由。,Club_Enterance_Scene_dark_inside,,,,
10030046,白鹤姬·桂原雪代,hide,hide,YukiyoKatsurahara_work,hide,你的同情对她们是侮辱，对你，对于这个俱乐部，都是危险。,Club_Enterance_Scene_dark_inside,,,,
10030047,白鹤姬·桂原雪代,hide,hide,YukiyoKatsurahara_work,hide,明白吗？,Club_Enterance_Scene_dark_inside,,,,
10030048,我,hide,hide,YukiyoKatsurahara_work,hide,……明白。,Club_Enterance_Scene_dark_inside,,,,
10030049,hide,hide,hide,YukiyoKatsurahara_work,hide,她看了我三秒，然后轻轻点头。,Club_Enterance_Scene_dark_inside,,,,
10030050,白鹤姬·桂原雪代,hide,hide,YukiyoKatsurahara_work,hide,你的办公室在二楼转角。今晚七点开始营业，在这之前——,Club_Enterance_Scene_dark_inside,,,AddS_Char(Jan),
10030051,hide,hide,hide,YukiyoKatsurahara_work,hide,她的话被一阵急促的脚步声打断。,Club_Enterance_Scene_dark_inside,,,,
10030052,hide,hide,hide,OnoNami_bruise,hide,从我们原本走来的方向跑出来一个女孩。,Club_Enterance_Scene_dark_inside,Unreal_Memory,,,
10030053,hide,hide,hide,OnoNami_bruise,hide,黑色长发挑染了一抹蓝色，穿着白色休闲装，搭配了一些蓝色牛仔的元素。,Club_Enterance_Scene_dark_inside,,,,
10030054,hide,hide,hide,OnoNami_bruise,hide,——看来她很喜欢蓝色。,Club_Enterance_Scene_dark_inside,,,,
10030055,hide,hide,hide,OnoNami_bruise,hide,她手里拿着一个素色的化妆包，脸上还带着来不及擦净的泪痕。,Club_Enterance_Scene_dark_inside,,,,
10030056,hide,hide,hide,OnoNami_bruise,hide,看到我们，她猛地停住，慌忙鞠躬。,Club_Enterance_Scene_dark_inside,,,,
10030057,hide,hide,hide,OnoNami_bruise,hide,根据资料，她是二月的“早莺姬”小野南梨，有一个重病的男友。,Club_Enterance_Scene_dark_inside,,,,
10030058,hide,hide,hide,OnoNami_bruise,hide,结合警方能够拿到的资料，小野南梨之前还有十几次家暴的报警记录。,Club_Enterance_Scene_dark_inside,,,,
