ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10600601,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10600602,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10600603,hide,hide,hide,hide,hide,深夜。大厅被Interpol控制。客人们被带走。村上道也被抬走。春奈被急救人员放在担架上——她还醒着。右肩包了绷带。绷带是白的。血从里面渗出来。变成粉红色。她看到我。左手举起来。做了一个弹袖口的动作——村上秘书的习惯。然后笑了。小虎牙露出来。,Club_lobby,Silent_Night,,,
10600604,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10600605,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10600606,hide,hide,hide,hide,hide,雪代站在吧台旁边。她的正红色和服上沾了血——不是她的，是春奈的。她把白色羽毛发饰取下来。放在吧台上。然后转身。走向门口。没有拿任何东西。没有和服。没有行李。没有文件。只有身上那件沾了血的正红色和服。,Club_lobby,Silent_Night,,,
10600607,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10600608,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10600609,hide,hide,hide,hide,hide,她走到门口。停下来。回头看了一眼大厅。不是看所有人——是看吧台。吧台上放着她取下来的白色羽毛发饰。旁边是两盘磁带。中间是空位。再旁边——是一张字条。不是她放的。是她走之前——看了我一眼。然后从袖口里拿出一张纸。很小。折了两折。放在吧台上。然后用茶碗压住一角。,Club_lobby,Silent_Night,,,
10600610,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10600611,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10600612,hide,hide,hide,hide,hide,然后她走了。和服的下摆擦过门槛。门口的灯光把她的影子投在地上。影子很长。然后影子消失了。她走进了夜色。没有人拦她。Linda看了我一眼。我摇了摇头。,Club_lobby,Silent_Night,,,
10600613,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10600614,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10600615,hide,hide,hide,hide,hide,雪代走了。什么都没带走。什么都没解释。只留下了一张字条。,Club_lobby,Silent_Night,,,
10600616,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10600617,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10600618,hide,hide,hide,hide,hide,我走到吧台前。把茶碗移开。拿起字条。纸很薄。折了两折。打开。纸上只有一个字。钢笔写的。黑色。笔迹很细。每个字的收笔都往里收。像是把什么咬碎了再吐出来。,Club_lobby,Silent_Night,,,
10600619,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10600620,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10600621,hide,hide,hide,hide,hide,找。,Club_lobby,Silent_Night,,,
10600622,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
