ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10190601,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10190602,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10190603,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10190604,hide,hide,hide,hide,hide,Linda从来不自己喝。,Corridor,Mystery_Box,,,
10190605,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10190606,hide,hide,hide,hide,hide,"她的""酒会""从来至少要拉一个人。今天是我。深夜最后一位客人走后，她把一瓶没开封的伏特加拿进VIP室。两个冰过的矮脚杯。杯壁上的凝水往下淌的时候她已经在倒第二杯了，自己还没喝一口。",VIP_Room,Silent_Night,,,
10190607,hide,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10190608,朱雀姬·Linda,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10190609,hide,hide,hide,hide,hide,——乌拉。,VIP_Room,Silent_Night,,,
10190610,hide,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10190611,hide,hide,hide,hide,hide,她举杯的时候用俄语说干杯。金色长发在灯下像流动的金属。蓝眼睛盯着你，看你敢不敢一口到底。,VIP_Room,Silent_Night,,,
10190612,hide,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10190613,hide,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10190614,hide,hide,hide,hide,hide,我喝了。伏特加顺着喉咙下去的时候是冷的，然后从胃里往上烧。,VIP_Room,Silent_Night,,,
10190615,hide,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10190616,朱雀姬·Linda,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10190617,hide,hide,hide,hide,hide,增田一郎是你的课长，对吧。,VIP_Room,Silent_Night,,,
10190618,hide,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10190619,hide,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10190620,hide,hide,hide,hide,hide,"她说这句话的时候还在转杯。语气和说""今天天气不错""一样。",VIP_Room,Silent_Night,,,
10190621,hide,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10190622,hide,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10190623,hide,hide,hide,hide,hide,……你怎么知道。,VIP_Room,Silent_Night,,,
10190624,hide,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10190625,朱雀姬·Linda,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10190626,hide,hide,hide,hide,hide,车检报告。事故后第三天，淀川署把车辆残骸送到检修站。检修记录上写着——刹车液压管路老化。正常磨损。没有人为痕迹。是一个跑了几十年车检的老师傅出的报告。他叫杉本纪夫。,VIP_Room,Silent_Night,,,
10190627,hide,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10190628,hide,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10190629,hide,hide,hide,hide,hide,她喝了一口酒。,VIP_Room,Silent_Night,,,
10190630,hide,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10190631,朱雀姬·Linda,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10190632,hide,hide,hide,hide,hide,杉本纪夫在出事前两天接到了一个电话。从大阪打来的。电话是从一个公共电话亭拨出的。那个电话亭的位置——距离淀川署最近的警察厅联络所，步行三分钟。,VIP_Room,Silent_Night,,,
10190633,hide,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10190634,hide,hide,hide,hide,hide,"她用酒把""三分钟""画在杯沿上。没有把大阪府警内部人员的词说出口。但她已经把路径画好了。",VIP_Room,Silent_Night,,,
10190635,hide,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10190636,朱雀姬·Linda,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10190637,hide,hide,hide,hide,hide,我不是在审你。我是在给你弹药。,VIP_Room,Silent_Night,,,
10190638,hide,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10190639,hide,hide,hide,hide,hide,她的杯子和我的碰了一下。瓷一样的声音。,VIP_Room,Silent_Night,,,
10190640,hide,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10190641,朱雀姬·Linda,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10190642,hide,hide,hide,hide,hide,我们都是被扔进同一片沼泽的人。唯一的区别是你还一个人在爬。我已经学会踩了。,VIP_Room,Silent_Night,,,
10190643,hide,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10190644,hide,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10190645,hide,hide,hide,hide,hide,"她没说""我们合作吧""。因为她知道我还没到需要跟人合作的份上。Interpol的女人做事跟她的酒量一样——她给你的永远比你当时能承受的多一点点。但不会多到让你吐。",VIP_Room,Silent_Night,,,
10190646,hide,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10190647,hide,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10190648,hide,hide,hide,hide,hide,为什么现在告诉我。,VIP_Room,Silent_Night,,,
10190649,hide,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10190650,朱雀姬·Linda,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10190651,hide,hide,hide,hide,hide,因为那个人又死了一个。山下达彦。今天早晨的新闻。,VIP_Room,Silent_Night,,,
10190652,hide,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10190653,hide,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10190654,hide,hide,hide,hide,hide,她把杯底的最后一口喝干净。站起来的时候金发碰到吊灯的水晶。整个房间的影子微微晃了一下。,VIP_Room,Silent_Night,,,
10190655,hide,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10190656,朱雀姬·Linda,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10190657,hide,hide,hide,hide,hide,下一个大概不会是你。但你如果不开始开枪，你连开那扇门的钥匙都还没拿到。,VIP_Room,Silent_Night,,,
10190658,hide,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
