ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10200601,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10200602,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10200603,hide,hide,hide,hide,hide,五点半。冬季天黑得早，窗外已经是浓稠的暗蓝色。VIP区的暖气开得太足，空气里有一层厚重的东西——香水、皮沙发、除味剂，三种味道搅在一起，像某种人工制造的热带。神宫寺丽莎靠在吧台边上，指间夹着一张名片。不是递给我，是用食指压在大理石台面上，慢慢推过来。,VIP_Room,Unreal_Memory,,,
10200604,hide,hide,hide,hide,hide,,VIP_Room,Unreal_Memory,,,
10200605,银鹮姬·神宫寺丽莎,hide,hide,hide,hide,,VIP_Room,Unreal_Memory,,,
10200606,hide,hide,hide,hide,hide,经理——上次你说的，想要理财建议。我帮你问了。,VIP_Room,Unreal_Memory,,,
10200607,hide,hide,hide,hide,hide,,VIP_Room,Unreal_Memory,,,
10200608,hide,hide,hide,hide,hide,,VIP_Room,Unreal_Memory,,,
10200609,hide,hide,hide,hide,hide,她的指甲是新做的。银灰色，上面有很细的闪粉。她说话的时候习惯性用食指敲台面，节奏很稳，像是以前做PPT演示时留下的肌肉记忆。她身上的香水是那种很贵的柑橘调，但后调有一点点金属味。,VIP_Room,Unreal_Memory,,,
10200610,hide,hide,hide,hide,hide,,VIP_Room,Unreal_Memory,,,
10200611,hide,hide,hide,hide,hide,,VIP_Room,Unreal_Memory,,,
10200612,hide,hide,hide,hide,hide,……什么人。,VIP_Room,Unreal_Memory,,,
10200613,hide,hide,hide,hide,hide,,VIP_Room,Unreal_Memory,,,
10200614,银鹮姬·神宫寺丽莎,hide,hide,hide,hide,,VIP_Room,Unreal_Memory,,,笑了笑
10200615,hide,hide,hide,hide,hide,"不是""什么人""——是""什么级别的人""。我以前的客户。做对冲的。现在自己管着一只私募。他对——（她停了半秒）——""实体经济的现金流""很感兴趣。",VIP_Room,Unreal_Memory,,,
10200616,hide,hide,hide,hide,hide,,VIP_Room,Unreal_Memory,,,
10200617,hide,hide,hide,hide,hide,,VIP_Room,Unreal_Memory,,,
10200618,hide,hide,hide,hide,hide,实体经济。这是她给那个词穿的西装。她把名片翻过来，背面写了一个地址。六本木。不是写字楼，是那种需要会员卡才能进电梯的地方。,VIP_Room,Unreal_Memory,,,
10200619,hide,hide,hide,hide,hide,,VIP_Room,Unreal_Memory,,,
10200620,银鹮姬·神宫寺丽莎,hide,hide,hide,hide,,VIP_Room,Unreal_Memory,,,
10200621,hide,hide,hide,hide,hide,"他每周五晚上会来这边。我跟他提了你。说你是""对金融产品有好奇心的人""。他没拒绝。",VIP_Room,Unreal_Memory,,,
10200622,hide,hide,hide,hide,hide,,VIP_Room,Unreal_Memory,,,
10200623,hide,hide,hide,hide,hide,,VIP_Room,Unreal_Memory,,,
10200624,hide,hide,hide,hide,hide,……代价是什么。,VIP_Room,Unreal_Memory,,,
10200625,hide,hide,hide,hide,hide,,VIP_Room,Unreal_Memory,,,
10200626,银鹮姬·神宫寺丽莎,hide,hide,hide,hide,,VIP_Room,Unreal_Memory,,,笑容不变
10200627,hide,hide,hide,hide,hide,没什么代价。就是——如果将来他问起我在这边的情况，你如实说就好。他不喜欢撒谎。,VIP_Room,Unreal_Memory,,,
10200628,hide,hide,hide,hide,hide,,VIP_Room,Unreal_Memory,,,
10200629,hide,hide,hide,hide,hide,,VIP_Room,Unreal_Memory,,,
10200630,hide,hide,hide,hide,hide,她说完这句话，把名片留在了吧台上。起身的时候，高脚凳在瓷砖上刮出很尖的一声。她走到门口，停了一下。没有回头。,VIP_Room,Unreal_Memory,,,
10200631,hide,hide,hide,hide,hide,,VIP_Room,Unreal_Memory,,,
10200632,银鹮姬·神宫寺丽莎,hide,hide,hide,hide,,VIP_Room,Unreal_Memory,,,
10200633,hide,hide,hide,hide,hide,经理——金融圈的人，和这边的人，有一个共同点。,VIP_Room,Unreal_Memory,,,
10200634,hide,hide,hide,hide,hide,,VIP_Room,Unreal_Memory,,,
10200635,hide,hide,hide,hide,hide,,VIP_Room,Unreal_Memory,,,
10200636,hide,hide,hide,hide,hide,……什么。,VIP_Room,Unreal_Memory,,,
10200637,hide,hide,hide,hide,hide,,VIP_Room,Unreal_Memory,,,
10200638,银鹮姬·神宫寺丽莎,hide,hide,hide,hide,,VIP_Room,Unreal_Memory,,,
10200639,hide,hide,hide,hide,hide,都喜欢把东西藏在看得到的地方。,VIP_Room,Unreal_Memory,,,
10200640,hide,hide,hide,hide,hide,,VIP_Room,Unreal_Memory,,,
10200641,hide,hide,hide,hide,hide,,VIP_Room,Unreal_Memory,,,
10200642,hide,hide,hide,hide,hide,她推门出去了。冷风灌进来两秒，很快被暖气吞掉。我拿起那张名片。纸质很厚，压着凹印的Logo。Phoenix。凤凰。名片的边缘有一点点磨损——不是新的。她之前拿出来过，拿在手里犹豫过，又放回去了。现在，她把那个犹豫推到了我面前。,VIP_Room,Unreal_Memory,,,
10200643,hide,hide,hide,hide,hide,,VIP_Room,Unreal_Memory,,,
