ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10550501,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10550502,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10550503,hide,hide,hide,hide,hide,傍晚五点半。休息室里只有葵一个人。她坐在桌边。面前放着两盘磁带。不是三盘。是两盘。她的手在桌上放着。手指间夹着一支笔——不是钢笔，是圆珠笔。笔尖在纸上点了一下。然后提起。然后点了一下。纸上什么都没有写。只有一串蓝点。,RestRoom,Silent_Night,,,
10550504,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10550505,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10550506,hide,hide,hide,hide,hide,空气里有酒精的味道。医用酒精。还有更淡的——磁带的味道。那种旧电子产品特有的氧化铁涂层味。混着她身上的开衫毛衣的棉布味。毛衣的袖口磨得起了球。,RestRoom,Silent_Night,,,
10550507,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10550508,青鹭姬·星野葵,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10550509,hide,hide,hide,hide,hide,第三盘磁带。找不到了。,RestRoom,Silent_Night,,,
10550510,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10550511,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10550512,hide,hide,hide,hide,hide,她说这句话的时候声音很平。和平时一样。但她的手指——在圆珠笔上按了一下。笔尖弹出来。缩回去。弹出来。缩回去。,RestRoom,Silent_Night,,,
10550513,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10550514,青鹭姬·星野葵,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10550515,hide,hide,hide,hide,hide,雪鹤姐的录音带。三年前她录的。村上道也威胁她的电话。前天还在。今天——不见了。我找了所有地方。储物柜。实验室。宿舍。都没有。可能是我记错了位置。可能是被人拿走了。可能是——掉了。,RestRoom,Silent_Night,,,
10550516,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10550517,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10550518,hide,hide,hide,hide,hide,她停了一下。把圆珠笔放下。笔在桌上滚了一段。撞到磁带。停住。,RestRoom,Silent_Night,,,
10550519,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10550520,青鹭姬·星野葵,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10550521,hide,hide,hide,hide,hide,前两盘够了。毒品交易。幕后操纵。两盘磁带——足够立案。第三盘只是补充。不是必须。没有它——证据链不会断。只是少了一环。最重的那一环。关于雪鹤姬的死——可能不会出现在法庭上。但村上道也的其他罪行——够了。,RestRoom,Silent_Night,,,
10550522,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10550523,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10550524,hide,hide,hide,hide,hide,"她抬起头。看着我。眼镜后面的眼睛很平静。但眼角的皮肤——动了一下。很细微的。不是紧张。是克制。一个人把三年最重的东西丢了——然后告诉自己""够了""——的那种克制。",RestRoom,Coming_Dangerous,,,
10550525,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10550526,青鹭姬·星野葵,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10550527,hide,hide,hide,hide,hide,你觉得。够吗。,RestRoom,Coming_Dangerous,,,
10550528,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10550529,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10550530,hide,hide,hide,hide,hide,……够不够——不是磁带决定的。是明天决定的。,RestRoom,Coming_Dangerous,,,
10550531,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10550532,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10550533,hide,hide,hide,hide,hide,她看了我一会儿。然后低头。把两盘磁带推到我面前。,RestRoom,Coming_Dangerous,,,
10550534,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10550535,青鹭姬·星野葵,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10550536,hide,hide,hide,hide,hide,明天。这两盘。你放。第三盘——如果找到了。我自己放。如果找不到——就算了。雪鹤姐不会介意。她已经死了三年。死人不会介意。但我介意。我很介意。,RestRoom,Coming_Dangerous,,,
10550537,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10550538,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10550539,hide,hide,hide,hide,hide,她站起来。走了。开衫的衣角在桌角挂了一下。然后脱开。她没有回头。,RestRoom,Coming_Dangerous,,,
10550540,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
