ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10390501,hide,hide,hide,hide,hide,,Club_lobby,Unreal_Memory,,,
10390502,hide,hide,hide,hide,hide,,Club_lobby,Unreal_Memory,,,
10390503,hide,hide,hide,hide,hide,发电机的轰鸣声从后院传来。很闷，很沉，像一头被吵醒的牛。然后是咔的一声——大厅的灯闪了一下，亮了。不是全部——只有几盏。然后是走廊。然后是休息室。一盏一盏，像一条光的河在俱乐部里流淌。,Corridor,Unreal_Memory,,,
10390504,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10390505,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10390506,hide,hide,hide,hide,hide,灯泡亮起来的时候，空气里有一股烧焦灰尘的味道。灯泡上积了灰，被电流一烤，发出一种很特别的焦香。所有人都站在自己所在的位置，看着头顶的灯。没有人说话。没有人鼓掌。但所有人的肩膀都松了一点。,Corridor,Unreal_Memory,,,
10390507,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10390508,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10390509,hide,hide,hide,hide,hide,"育子第一个走向休息室。她去检查自己的柜子。柜子没进水。她打开柜门，拿出那封信。信还在。她用手抹了抹信封上的灰。然后抬头，穿过走廊的人群看了我一眼。很短的一眼。但眼睛里有一种之前没有的东西——不是依赖，不是感激。是某种安静的确信。像有人告诉你""你可以选""，然后你真的开始选了。她把信贴在胸口上，转身去开窗。",Corridor,Silent_Night,,,
10390510,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10390511,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10390512,hide,hide,hide,hide,hide,景子走到窗边，用手擦了擦玻璃上的泥沙。外面能看到一点光了——不是阳光，是傍晚的灰光。街上开始有人走动。有人在捡树枝。有人在看自己家的招牌。,Corridor,Silent_Night,,,
10390513,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10390514,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10390515,hide,hide,hide,hide,hide,夏实走到大厅中间。她看着天花板上的吊灯——那个最亮的灯还没亮。她等着。等了大概十几秒。吊灯闪了一下。亮了。她点了点头。像是和灯达成了一个约定。,Club_lobby,Silent_Night,,,
10390516,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10390517,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10390518,hide,hide,hide,hide,hide,雪代从厨房走出来。她手里端着一个托盘，托盘上放着茶杯。一人一杯。热茶。茶杯碰到托盘发出很轻的瓷器声。她把托盘放在吧台上，然后站在旁边。不喝。只是看着所有人拿茶。,Club_lobby,Silent_Night,,,
10390519,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10390520,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10390521,hide,hide,hide,hide,hide,茶香在大厅里散开。不是那种精致的茶——是普通的大麦茶。但在这个刚通电的傍晚，茶香比任何时候都好闻。外面的世界还是一团乱。但俱乐部里，灯亮着，茶热着，人还在。,Club_lobby,Silent_Night,,,
10390522,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
