ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10370401,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10370402,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10370403,hide,hide,hide,hide,hide,使者又来了。还是那身衣服，还是那种不发出任何声音的走路方式。他在茶室坐下的时候，空气突然变重了。不是温度的原因——是他的存在本身。像一块石头被放进水缸。,RestRoom,Unreal_Memory,,,
10370404,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10370405,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10370406,hide,hide,hide,hide,hide,茶室里有旧榻榻米的味道。干燥的草香，混合着淡淡的霉味。窗外的光从格栅里漏进来，在他脸上画了几道横线。他没有喝茶。,RestRoom,Unreal_Memory,,,
10370407,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10370408,使者,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10370409,hide,hide,hide,hide,hide,组织要求整顿。,RestRoom,Unreal_Memory,,,
10370410,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10370411,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10370412,hide,hide,hide,hide,hide,他把一张纸放在桌上。不是正式文件。是手写的。字迹很小，但很工整。我扫了一眼——上面列了几个要求，用「必须」开头。,RestRoom,Unreal_Memory,,,
10370413,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10370414,使者,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10370415,hide,hide,hide,hide,hide,最近的损失太多。货、人、据点。上面认为是内部有问题。,RestRoom,Unreal_Memory,,,
10370416,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10370417,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10370418,hide,hide,hide,hide,hide,他看着我。眼睛很小，眼白多。像鱼的眼睛。不是在看人，是在评估一件物品。,RestRoom,Unreal_Memory,,,
10370419,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10370420,使者,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10370421,hide,hide,hide,hide,hide,多余的人要走。这不是建议。,RestRoom,Unreal_Memory,,,
10370422,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10370423,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10370424,hide,hide,hide,hide,hide,他站起来。榻榻米上没有任何脚步声。他走到门口，停了一下。背对着我。,RestRoom,Unreal_Memory,,,
10370425,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10370426,使者,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10370427,hide,hide,hide,hide,hide,谁是多余的人，你知道。我不知道。上面也不知道。但他们很快就会查。在查出来之前，最好自己走。,RestRoom,Unreal_Memory,,,
10370428,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10370429,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10370430,hide,hide,hide,hide,hide,他拉开门。走廊里的光涌进来，把他的影子投在茶室里。很长，很暗。门关上了。桌上的纸还在。字迹在格栅的光影里显得很淡。我把纸折起来，放进怀里。纸是凉的。,Corridor,Unreal_Memory,,,
10370431,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
