ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10270301,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10270302,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10270303,hide,hide,hide,hide,hide,六点刚过。走廊里的消毒水气味还没散——保洁阿姨刚拖过地，水迹在地砖上慢慢收干。走廊尽头有脚步声，不重，但步幅很长。,Corridor,Silent_Night,,,
10270304,hide,hide,hide,hide,hide,是昨天雪代带回来的那个男人。,Corridor,Silent_Night,,,
10270305,hide,hide,hide,hide,hide,他从二楼下来，手背在身后，走得很慢。经过储物间的时候停下，看了一眼门牌。推了一下门——锁着。继续走。,Club_Storage,Silent_Night,,,
10270306,hide,hide,hide,hide,hide,,Club_Storage,Silent_Night,,,
10270307,使者,hide,hide,hide,hide,,Club_Storage,Silent_Night,,,
10270308,hide,hide,hide,hide,hide,这地方比我想的要安静。,Club_Storage,Silent_Night,,,
10270309,hide,hide,hide,hide,hide,,Club_Storage,Silent_Night,,,
10270310,hide,hide,hide,hide,hide,,Club_Storage,Silent_Night,,,
10270311,hide,hide,hide,hide,hide,他站在化妆间门口往里看。正在换衣服的早班女孩僵了一下。他笑了一下，不是客气的笑——是那种确认了什么之后才有的笑。,DressingRoom,Silent_Night,,,
10270312,hide,hide,hide,hide,hide,然后他看见了我。,DressingRoom,Silent_Night,,,
10270313,hide,hide,hide,hide,hide,他停了三秒。嘴角那个弧度还没收，但眼睛里没有笑意。像一把尺子量过了我之后，得出一个不重要但有趣的读数。,DressingRoom,Silent_Night,,,
10270314,hide,hide,hide,hide,hide,他走过来。伸出手。,DressingRoom,Silent_Night,,,
10270315,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10270316,使者,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10270317,hide,hide,hide,hide,hide,昨天没来得及自我介绍。叫我森山就好。,DressingRoom,Silent_Night,,,
10270318,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10270319,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10270320,hide,hide,hide,hide,hide,……哲也。,DressingRoom,Silent_Night,,,
10270321,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10270322,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10270323,hide,hide,hide,hide,hide,他握手的力道很轻，掌心干燥。没有多停一秒。转身往吧台方向走了。我跟在后面，闻到一种很淡的烟草味——不是香烟，是烟斗。那是他身上的。走廊的风把气味送过来，在他走远之后还留了一阵。,Corridor,Silent_Night,,,
10270324,hide,hide,hide,hide,hide,他在吧台前站住，手指在台面上轻轻敲了两下。然后转身看整个大厅——从舞台到卡座，从天花板到地板，像在清点一件忘了很久的行李。,Club_lobby,Silent_Night,,,
10270325,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10270326,使者,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10270327,hide,hide,hide,hide,hide,这里以前不是这样的。以前更暗。灯换过了。,Club_lobby,Silent_Night,,,
10270328,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10270329,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10270330,hide,hide,hide,hide,hide,没人告诉他俱乐部以前什么样。他说得好像只是随口一提。但我记住了。吧台后面，育子刚进来准备早班，看见他之后停在了原地。他朝育子笑了一下。这次笑里有温度。不多。像一个远房亲戚看到长大了的孩子。,Club_lobby,Mixed_Emotion,,,
10270331,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
