ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10590601,hide,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10590602,hide,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10590603,hide,hide,hide,hide,hide,深夜。公寓。台灯亮着。窗户开了一条缝。夜风把窗帘吹得微微鼓起。空气里有纸的旧味——那个装满了六十天笔记的防水文件袋还放在床头。还有更淡的——酒精和清洁布的味道。我今天把枪擦了一遍。不是警用的。是另一把。干净的。没开过的。,Apartment,Silent_Night,,,
10590604,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10590605,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10590606,hide,hide,hide,hide,hide,翻盖机在桌上。屏幕暗着。我打开它。没有未接来电。没有新消息。莉香大概还在考试。或者考完了，在宿舍里复习。或者在打电话给她的同学。或者在睡觉——那边的时间比这边早。,Apartment,Silent_Night,,,
10590607,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10590608,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10590609,hide,hide,hide,hide,hide,我翻到通讯录。只有一个号码还在。莉香。我点开。看着她的名字。看了一会儿。然后合上手机。翻盖合上的声音在安静的房间里出奇地脆。咔哒。,Apartment,Silent_Night,,,
10590610,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10590611,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10590612,hide,hide,hide,hide,hide,我躺在床上。天花板上有几道裂缝——很细，从墙角一直延伸到灯座附近。我在这里住了六十天。看了六十个晚上的天花板。那些裂缝第一天就在。但现在才注意到。大概是因为之前每天晚上都在看手机。或者看笔记。或者看窗帘。,Apartment,Silent_Night,,,
10590613,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10590614,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10590615,hide,hide,hide,hide,hide,窗外的面包房还亮着灯。机器在嗡鸣。酵母的甜味从窗缝里钻进来。那种味道让人想起很多东西——但不是具体的某一件。是某种状态。某种还在等待、还没成型、但已经开始发酵的状态。和这个城市一样。和明天一样。,Apartment,Silent_Night,,,
10590616,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10590617,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10590618,hide,hide,hide,hide,hide,翻盖机的屏幕亮了。不是来电。是闹钟——我设定的，每天早上六点。但现在不是早上。是我自己按错了。我把它关掉。屏幕暗下去。然后又亮了——还是闹钟。我又按了一次。关掉。然后我把它放在枕头旁边。屏幕面朝上。这样如果有什么消息，蓝光会照亮天花板。和台风夜一样。和昨天一样。和所有需要等待的夜晚一样。,Apartment,Mixed_Emotion,,,
10590619,hide,hide,hide,hide,hide,,Apartment,Mixed_Emotion,,,
10590620,hide,hide,hide,hide,hide,,Apartment,Mixed_Emotion,,,
10590621,hide,hide,hide,hide,hide,我闭上眼睛。鼻腔里有酵母的甜味。耳朵里有机器低沉的嗡鸣。手指上有黄铜钥匙的温度——它现在已经不凉了，又被我握暖了。窗外有摩托车经过。引擎声由远及近，又由近及远。然后是安静。那种凌晨三点特有的安静——不是没有声音，是所有的声音都变成了背景。像一台巨大的机器在远处运转。不会停的。和明天一样。,Apartment,Silent_Night,,,
10590622,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
