ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10260301,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10260302,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10260303,hide,hide,hide,hide,hide,"早上八点整。手机弹出一条新闻推送。不是新闻——是大阪府警内部通告的截图。不知道是谁发的。匿名号码。标题只有一行字：""组织犯罪对策课 佐藤正义警部补 停职审查决定""。",Cafe,Mixed_Emotion,,,
10260304,hide,hide,hide,hide,hide,,Cafe,Mixed_Emotion,,,
10260305,hide,hide,hide,hide,hide,,Cafe,Mixed_Emotion,,,
10260306,hide,hide,hide,hide,hide,"我把手机拿起来。手指很冰。不是因为早上冷——暖气还在嗡鸣。是因为血液从指尖撤退了。这是身体自己做的决定。它比我先知道——这条消息意味着什么。通告上有公章。红色的。在手机屏幕上看起来像一小块凝固的血。下面有一行备注：""审查期间不得参与任何案件调查，不得接触涉案人员。""",Cafe,Mixed_Emotion,,,
10260307,hide,hide,hide,hide,hide,,Cafe,Mixed_Emotion,,,
10260308,hide,hide,hide,hide,hide,,Cafe,Mixed_Emotion,,,
10260309,hide,hide,hide,hide,hide,"我拨佐藤的号码。还是关机。不是无人接听。是关机。已经超过三十个小时了。昨晚那通断线的电话——""他们在我门口""——变成了他最后的声音。不是遗言。遗言会说完。他是被切断了。被什么东西——或者什么人——从中间剪断。",Cafe,Mixed_Emotion,,,
10260310,hide,hide,hide,hide,hide,,Cafe,Mixed_Emotion,,,
10260311,hide,hide,hide,hide,hide,,Cafe,Mixed_Emotion,,,
10260312,hide,hide,hide,hide,hide,窗外又开始下雪。比昨天大。雪花不是飘，是坠。很重地撞在玻璃上，然后滑下去，留下一道细细的水痕。我把通告截图存下来。存的时候发现——截图的人把发送者的名字裁掉了。但保留了时间戳：今晨六点零二分。六点零二分。天还没亮的时候。有人坐在电脑前，看到了这份通告，第一反应不是开会，不是走流程——是把截图发给一个没有名字的号码。那个人知道我是谁。但我不知道他是谁。,Cafe,Mixed_Emotion,,,
10260313,hide,hide,hide,hide,hide,,Cafe,Mixed_Emotion,,,
10260314,hide,hide,hide,hide,hide,,Cafe,Mixed_Emotion,,,低声
10260315,hide,hide,hide,hide,hide,……增田。佐藤。下一个——,Cafe,Mixed_Emotion,,,
10260316,hide,hide,hide,hide,hide,,Cafe,Mixed_Emotion,,,
10260317,hide,hide,hide,hide,hide,,Cafe,Mixed_Emotion,,,
10260318,hide,hide,hide,hide,hide,我没有说完。暖气片咯噔响了一声。很响。像是墙壁里面有什么东西踢了一下。,Cafe,Mixed_Emotion,,,
10260319,hide,hide,hide,hide,hide,,Cafe,Mixed_Emotion,,,
