ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10600701,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10600702,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10600703,hide,hide,hide,hide,hide,三个月后。俱乐部变成了咖啡馆。不是改名字——是改了全部。红丝绒沙发换成了木椅子和藤编的灯罩。吧台还在——但现在上面放的是咖啡机和蛋糕柜。蛋糕柜里有芝士蛋糕和抹茶卷。空气里的味道变了。以前是香槟和香水。现在是咖啡豆和烤面包。咖啡豆的苦香。烤面包的麦香。还有更淡的——柠檬味清洁剂。和以前用的是同一个牌子。,Cafe,Silent_Night,,,
10600704,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10600705,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10600706,hide,hide,hide,hide,hide,育子是店员。她穿着白色的围裙。围裙带子在背后系成一个蝴蝶结。不是绿色缎带——是白色的。但她把绿色缎带系在手腕上。不太好看。但她不介意。她站在吧台后面。用咖啡机煮咖啡。动作很熟练了——不再像以前切葱花那样小心翼翼。咖啡一滴一滴落在玻璃壶里。她看着。然后回头。,Cafe,Silent_Night,,,
10600707,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10600708,雏鹃姬·芦田育子,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10600709,hide,hide,hide,hide,hide,景子姐。你的拿铁要加糖吗。,Cafe,Silent_Night,,,
10600710,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10600711,巢燕姬·谷川景子,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10600712,hide,hide,hide,hide,hide,不加。苦的好。,Cafe,Silent_Night,,,
10600713,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10600714,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10600715,hide,hide,hide,hide,hide,景子坐在靠窗的位置。就是以前休息室里她常坐的那个位置——不过现在窗外的风景变了。窗外那棵歪掉的树还在。自动贩卖机的灯还在闪。她面前放着一盒炸鸡块。不是买的——是自己做的。她用筷子夹了一块。放在育子的咖啡杯旁边。然后夹了一块。放在我面前。,RestRoom,Silent_Night,,,
10600716,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10600717,巢燕姬·谷川景子,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10600718,hide,hide,hide,hide,hide,小澪昨天问——「妈妈的那个经理——他还会来游乐场吗」。我说——「会的。他答应过的。」周四。游乐场。你答应了的。,RestRoom,Silent_Night,,,
10600719,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10600720,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10600721,hide,hide,hide,hide,hide,夏实坐在角落里。面前放着一杯咖啡。苦的。紫坐在她旁边。占卜牌放在桌上。今天还没抽。蔷薇没来——她在大阪的另一个地方。做情报顾问。黑皮书在她手里。葵没来——她在京都医科大学。继续读研究生。她偶尔打电话来。每次都问——「有磁带的消息吗」。没有。第三盘磁带——永远找不到了。,Cafe,Mystery_Box,,,
10600722,hide,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
10600723,hide,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
10600724,hide,hide,hide,hide,hide,彩和瞳坐在靠墙的位置。两个人喝同一杯奶昔。两根吸管。Linda回俄罗斯了。走之前说——「明年回来看你们。带伏特加。」春奈来了。右肩的伤好了。但留下了一道疤。她把疤露出来——不遮。她说——「这是勋章。比面具好看。」今天她没有戴仿妆。真脸。眉毛很淡。嘴唇很薄。鼻梁侧面那颗小痣。她对着镜子——咖啡馆的玻璃窗——看着自己的真脸。看了很久。然后笑了。小虎牙露出来。,Cafe,Mystery_Box,,,
10600725,hide,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
10600726,hide,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
10600727,hide,hide,hide,hide,hide,我坐在吧台旁边。面前放着一杯咖啡。咖啡旁边放着一张字条。雪代留的。三个月了。字条还放在我桌上。纸上只有一个字——「找」。钢笔写的。黑色。笔迹很细。收笔往里收。那个字在纸上已经有点褪色了。但我每天看。每天看也不腻。不是不想腻。是不敢腻。因为那个字不是告别。是指令。找。,Cafe,Mystery_Box,,,
10600728,hide,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
10600729,hide,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
10600730,hide,hide,hide,hide,hide,咖啡馆的门开了。风铃响了。不是以前拉面店那个风铃——是新的。但声音一样脆。一样短。进来的是一个陌生人。点了一杯美式咖啡。育子转身去煮咖啡。景子把炸鸡块往我面前推了推。夏实开始哼一首歌——不是民谣。是Solar Flare的出道曲。紫把占卜牌从盒子里拿出来。放在桌上。牌面朝下。春奈看着玻璃窗里自己的真脸。彩和瞳的奶昔喝完了。吸管发出咕噜噜的声音。,RamenShop,Mystery_Box,,,
10600731,hide,hide,hide,hide,hide,,RamenShop,Mystery_Box,,,
10600732,hide,hide,hide,hide,hide,,RamenShop,Mystery_Box,,,
