ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10340601,hide,hide,hide,hide,hide,,Apartment,Slow_Lure,,,
10340602,hide,hide,hide,hide,hide,,Apartment,Slow_Lure,,,
10340603,hide,hide,hide,hide,hide,夜深了。窗外没有风。空气里有一种闷闷的味道，像要下雨。我把台灯拉近，摊开那几份我能拿到的尸检报告。不是原件——是佐藤拍的照片，印在热敏纸上，有些地方已经褪色了。,Apartment,Slow_Lure,,,
10340604,hide,hide,hide,hide,hide,,Apartment,Slow_Lure,,,
10340605,hide,hide,hide,hide,hide,,Apartment,Slow_Lure,,,
10340606,hide,hide,hide,hide,hide,毒物检测那一栏，每份报告都有。致死剂量、体内残留浓度、死亡时间推定。我找了一张空白的日历，把每个死者的死亡日期标上去。十三个红点，散落在不同月份。,Apartment,Slow_Lure,,,
10340607,hide,hide,hide,hide,hide,,Apartment,Slow_Lure,,,
10340608,hide,hide,hide,hide,hide,,Apartment,Slow_Lure,,,
10340609,hide,hide,hide,hide,hide,然后我翻开一本旧历书。农历日期。一个一个月地查。第一个死者：农历十五。第二个：农历十四。第三个：农历十六。第四个：农历十五。第五个：农历十五。第六个：农历十四。,Apartment,Slow_Lure,,,
10340610,hide,hide,hide,hide,hide,,Apartment,Slow_Lure,,,
10340611,hide,hide,hide,hide,hide,,Apartment,Slow_Lure,,,
10340612,hide,hide,hide,hide,hide,台灯闪了一下。我抬头看——灯泡已经发黑了，寿命快到了。低下头继续。第七个、第八个、第九个——全部在满月前后三天之内。第十个是唯一的例外——但尸检报告上写着「死亡推定日期有±4天误差」。,Apartment,Slow_Lure,,,
10340613,hide,hide,hide,hide,hide,,Apartment,Slow_Lure,,,
10340614,hide,hide,hide,hide,hide,,Apartment,Slow_Lure,,,
10340615,hide,hide,hide,hide,hide,我把笔放下。看着日历上的红点。它们像某种星座，连起来能画出一条路。一条和月亮同步的路。每二十八天，一个人。规律得像潮汐。,Apartment,Slow_Lure,,,
10340616,hide,hide,hide,hide,hide,,Apartment,Slow_Lure,,,
10340617,hide,hide,hide,hide,hide,,Apartment,Slow_Lure,,,
10340618,hide,hide,hide,hide,hide,窗外开始下雨了。很细的雨，打在铁皮遮阳棚上，声音像很多人在很远的地方走路。我把所有纸张收起来，放进一个牛皮纸袋里。纸袋已经有了厚度——六十天的重量。,Apartment,Slow_Lure,,,
10340619,hide,hide,hide,hide,hide,,Apartment,Slow_Lure,,,
10340620,hide,hide,hide,hide,hide,,Apartment,Slow_Lure,,,
10340621,hide,hide,hide,hide,hide,灯又闪了一下。这次没有灭。我靠在椅背上。日历上的红点连成一条线——满月，死亡，满月，死亡。每二十八天。像潮汐。像某种不需要思考的本能。,Apartment,Slow_Lure,,,
10340622,hide,hide,hide,hide,hide,,Apartment,Slow_Lure,,,
10340623,hide,hide,hide,hide,hide,我把日历翻到下一个月。用手指圈出下一个满月的日期。十二天后。我盯着那个圈。铅笔在纸上没有动。窗外的雨滴在铁皮棚上，一下一下。秒针也在走。每一个声音都在数——十二、十一、十。,Apartment,Slow_Lure,,,
10340624,hide,hide,hide,hide,hide,,Apartment,Slow_Lure,,,
