ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10010300,hide,hide,hide,hide,hide,局里去年就扫出来有监听器，后来事情被压下来了。,RamenShop,Unreal_Memory,,,
10010301,hide,hide,hide,hide,hide,,RamenShop,Unreal_Memory,,,
10010302,hide,hide,hide,hide,hide,谁放的！？胆子这么大。,RamenShop,Unreal_Memory,,,
10010303,增田一郎,hide,hide,hide,hide,,RamenShop,Unreal_Memory,,,
10010304,hide,hide,hide,hide,hide,搜查一课的人，有人顶了这件事儿，但是谁知道还有没有。,RamenShop,Unreal_Memory,,,
10010305,hide,hide,hide,hide,hide,要去的这个俱乐部背后也可能有他们的人……,RamenShop,Unreal_Memory,,,
10010306,hide,hide,hide,hide,hide,不过放心，这里是安全的，我以前救过这家店老板的命。,RamenShop,Unreal_Memory,,,
10010307,hide,hide,hide,hide,hide,,RamenShop,Unreal_Memory,,,
10010308,hide,hide,hide,hide,hide,后厨的水声仍然在继续，显然，老板还在忙碌。,RamenShop,Unreal_Memory,,,
10010309,增田一郎,hide,hide,hide,hide,,RamenShop,Unreal_Memory,,,
10010310,hide,hide,hide,hide,hide,第二个，这种地方不是谁都方便卧底的。年纪大的人有家室的多，只有你相对在这件事上会好办一些。,RamenShop,Unreal_Memory,,,
10010311,hide,hide,hide,hide,hide,你跟你的女朋友是不是异国很久了，应该很难熬吧。,RamenShop,Unreal_Memory,,,
10010312,hide,hide,hide,hide,hide,,RamenShop,Unreal_Memory,,,
10010313,hide,hide,hide,hide,hide,……,RamenShop,Unreal_Memory,,,
10010314,hide,hide,hide,hide,hide,坦率地说我不知道是否该正面回答这个问题。,RamenShop,Unreal_Memory,,,
10010315,hide,hide,hide,hide,hide,因为确实，这件事几乎每天都会烦扰到我，即便是在我和她视频通话的时候都无法缓解。,RamenShop,Unreal_Memory,,,
10010316,hide,hide,hide,hide,hide,就像是北海道的渔船头也不回地驶向无尽的海洋一样，但是船桨仍然不由自主地向前。,RamenShop,Unreal_Memory,,,
10010317,增田一郎,hide,hide,hide,hide,,RamenShop,Unreal_Memory,,,
10010318,hide,hide,hide,hide,hide,澳大利亚的商科留学生，可不是好对付的女人啊。,RamenShop,Unreal_Memory,,,
10010319,hide,hide,hide,hide,hide,,RamenShop,Unreal_Memory,,,
10010320,hide,hide,hide,hide,hide,课长无奈地露出一丝共情的微笑。,RamenShop,Unreal_Memory,,,
10010321,增田一郎,hide,hide,hide,hide,,RamenShop,Unreal_Memory,,,
10010322,hide,hide,hide,hide,hide,也许这次卧底行动，对你来说，可能也是一个机会吧？,RamenShop,Unreal_Memory,,,
10010323,hide,hide,hide,hide,hide,如果能够借此晋升，说不定你们两个的关系就有转机了。,RamenShop,Unreal_Memory,,,
10010324,hide,hide,hide,hide,hide,要是晋升了，她也不会愿意回来，那可能放弃这段感情也不是不行。,RamenShop,Unreal_Memory,,,
10010325,hide,hide,hide,hide,hide,——这也是我觉得你很适合的第三个原因。,RamenShop,Unreal_Memory,,,
10010326,hide,hide,hide,hide,hide,想要出港的船只愿意回来，港口也要靠得住才行啊。,RamenShop,Unreal_Memory,,,
10010327,hide,hide,hide,hide,hide,,RamenShop,Unreal_Memory,,,
10010328,hide,hide,hide,hide,hide,嗯……,RamenShop,Unreal_Memory,,,
10010329,hide,hide,hide,hide,hide,,RamenShop,Unreal_Memory,,,
10010330,hide,hide,hide,hide,hide,这个比喻很好，让我忽然想起了我在北海道的父亲。,RamenShop,Unreal_Memory,,,
10010331,hide,hide,hide,hide,hide,他有次捕到了一条长达奖金三米收藏级别的金枪鱼。,RamenShop,Unreal_Memory,,,
10010332,hide,hide,hide,hide,hide,他兴高采烈地把它卖了，把钱给我，让我安心在警校好好学习……,RamenShop,Unreal_Memory,,,
10010333,增田一郎,hide,hide,hide,hide,,RamenShop,Unreal_Memory,,,
10010334,hide,hide,hide,hide,hide,你的新身份，所有文件都在里面。债务是真的，我们开了账户，每月会有催款信。‘前同事’也是真的，三个人，随时可以为你作证。,RamenShop,Unreal_Memory,,,
10010335,hide,hide,hide,hide,hide,,RamenShop,Unreal_Memory,,,
10010336,hide,hide,hide,hide,hide,课长把纸袋整个推给我。,RamenShop,Unreal_Memory,,,
10010337,增田一郎,hide,hide,hide,hide,,RamenShop,Unreal_Memory,,,
10010338,hide,hide,hide,hide,hide,如果你要接下这个任务，过几天就要去“十二飞鸟”面试经理。他们确实在招人——前任经理上个月辞职了。,RamenShop,Unreal_Memory,,,
10010339,hide,hide,hide,hide,hide,,RamenShop,Unreal_Memory,,,
10010340,hide,hide,hide,hide,hide,为什么辞职？,RamenShop,Unreal_Memory,,,
10010341,增田一郎,hide,hide,hide,hide,,RamenShop,Unreal_Memory,,,
10010342,hide,hide,hide,hide,hide,对外宣称是辞职，实际上是失踪了——这不是俱乐部里的工作人员第一次失踪了。,RamenShop,Unreal_Memory,,,
10010343,hide,hide,hide,hide,hide,所以你能明白这个任务的艰巨吧？,RamenShop,Unreal_Memory,,,
10010344,hide,hide,hide,hide,hide,三年前，‘十二飞鸟’的头牌女公关‘雪鹤姬’在里面割腕自杀。,RamenShop,Unreal_Memory,,,
10010345,hide,hide,hide,hide,hide,当时这个案子也是搜查一课经办的，结果就是平平无奇的自杀。,RamenShop,Unreal_Memory,,,
10010346,hide,hide,hide,hide,hide,,RamenShop,Unreal_Memory,,,
10010347,hide,hide,hide,hide,hide,雪鹤……,RamenShop,Unreal_Memory,,,
