ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10040600,hide,hide,hide,hide,hide,她抱起小澪。调整了一下姿势。小澪趴在妈妈肩头，已经有些昏昏欲睡。,BedStore,Unreal_Memory,,,
10040601,hide,hide,hide,hide,hide,,BedStore,Unreal_Memory,,,
10040602,巢燕姬·谷川景子,hide,hide,hide,hide,,BedStore,Unreal_Memory,,,
10040603,hide,hide,hide,hide,hide,那些人……之前在店里骚扰过我。被店长警告过几次就没怎么来了。没想到会在这里碰到。,BedStore,Unreal_Memory,,,
10040604,hide,hide,hide,hide,hide,,BedStore,Unreal_Memory,,,
10040605,hide,hide,hide,hide,hide,,BedStore,Unreal_Memory,,,
10040606,hide,hide,hide,hide,hide,顿了一下。舌尖舔了舔干裂的下唇。,BedStore,Unreal_Memory,,,
10040607,hide,hide,hide,hide,hide,,BedStore,Unreal_Memory,,,
10040608,巢燕姬·谷川景子,hide,hide,hide,hide,,BedStore,Unreal_Memory,,,
10040609,hide,hide,hide,hide,hide,"刚才他说的""身体不舒服""……那天是小澪发烧了。我真的去不了。可是在那种地方，跟那种人说""我女儿发烧了""——他们会在乎吗。",BedStore,Unreal_Memory,,,
10040610,hide,hide,hide,hide,hide,,BedStore,Unreal_Memory,,,
10040611,hide,hide,hide,hide,hide,,BedStore,Unreal_Memory,,,
10040612,hide,hide,hide,hide,hide,没说完。嘴唇抿成一条线。,BedStore,Unreal_Memory,,,
10040613,hide,hide,hide,hide,hide,,BedStore,Unreal_Memory,,,
10040614,hide,hide,hide,hide,hide,我看着她的侧脸。卸了妆之后，眼角细纹和发干的嘴唇，比任何话语都更诚实。,BedStore,Unreal_Memory,,,
10040615,hide,hide,hide,hide,hide,,BedStore,Unreal_Memory,,,
10040616,巢燕姬·谷川景子,hide,hide,hide,hide,,BedStore,Unreal_Memory,,,
10040617,hide,hide,hide,hide,hide,我先带她回去了。经理……谢谢你。,BedStore,Unreal_Memory,,,
10040618,hide,hide,hide,hide,hide,,BedStore,Unreal_Memory,,,
10040619,hide,hide,hide,hide,hide,,BedStore,Unreal_Memory,,,
10040620,hide,hide,hide,hide,hide,路上小心。,BedStore,Unreal_Memory,,,
10040621,hide,hide,hide,hide,hide,,BedStore,Unreal_Memory,,,
10040622,hide,hide,hide,hide,hide,,BedStore,Unreal_Memory,,,
10040623,hide,hide,hide,hide,hide,她抱着女儿走出店门。阳光洒在母女身上。小澪的羊角辫被风吹得轻轻晃动。背影消失在街角。,BedStore,Unreal_Memory,,,
10040624,hide,hide,hide,hide,hide,,BedStore,Unreal_Memory,,,
10040625,hide,hide,hide,hide,hide,转回身，看着店员。,BedStore,Unreal_Memory,,,
10040626,hide,hide,hide,hide,hide,,BedStore,Unreal_Memory,,,
10040627,寝具店员,hide,hide,hide,hide,,BedStore,Unreal_Memory,,,
10040628,hide,hide,hide,hide,hide,客人……刚才那两个人，要不要报警？,BedStore,Unreal_Memory,,,
10040629,hide,hide,hide,hide,hide,,BedStore,Unreal_Memory,,,
10040630,hide,hide,hide,hide,hide,,BedStore,Unreal_Memory,,,
10040631,hide,hide,hide,hide,hide,……不用。不会再来了。,BedStore,Unreal_Memory,,,
10040632,hide,hide,hide,hide,hide,,BedStore,Unreal_Memory,,,
10040633,寝具店员,hide,hide,hide,hide,,BedStore,Unreal_Memory,,,
10040634,hide,hide,hide,hide,hide,这样啊……那个，送货的话现在要等一个小时。大概傍晚六点。,BedStore,Unreal_Memory,,,
10040635,hide,hide,hide,hide,hide,,BedStore,Unreal_Memory,,,
10040636,hide,hide,hide,hide,hide,,BedStore,Unreal_Memory,,,
10040637,hide,hide,hide,hide,hide,六点。俱乐部四点半开门。不可能在家等着收货。,BedStore,Unreal_Memory,,,
10040638,hide,hide,hide,hide,hide,,BedStore,Unreal_Memory,,,
10040639,hide,hide,hide,hide,hide,,BedStore,Unreal_Memory,,,
10040640,hide,hide,hide,hide,hide,"……地址换了。送到""十二飞鸟""俱乐部。",BedStore,Unreal_Memory,,,
10040641,hide,hide,hide,hide,hide,,BedStore,Unreal_Memory,,,
10040642,hide,hide,hide,hide,hide,,BedStore,Unreal_Memory,,,
10040643,hide,hide,hide,hide,hide,店员记下新地址，表情没有任何变化——这条街上的人早就习惯了。付了钱，走出寝具店。,BedStore,Unreal_Memory,,,
10040644,hide,hide,hide,hide,hide,,BedStore,Unreal_Memory,,,
10040645,hide,hide,hide,hide,hide,站在原地。想起刚才扣住豹纹衬衫手腕的瞬间。他脸上的表情不是愤怒——是恐惧。,BedStore,Coming_Dangerous,,,
10040646,hide,hide,hide,hide,hide,条件反射般的恐惧。他在怕什么。我的手势？还是别的什么。,BedStore,Coming_Dangerous,,,
10040647,hide,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040648,hide,hide,hide,hide,hide,算了。夜晚的俱乐部不等人。,BedStore,Coming_Dangerous,,,
10040649,hide,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040650,hide,hide,hide,hide,hide,--- 分支B：袖手旁观 ---,BedStore,Coming_Dangerous,,,
10040651,hide,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040652,hide,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040653,hide,hide,hide,hide,hide,我没有动。,BedStore,Coming_Dangerous,,,
10040654,hide,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040655,hide,hide,hide,hide,hide,不是犹豫。大脑在那个瞬间是空白的。卧底身份、不能暴露、不要惹事——这些念头甚至没有成形。只是身体没有动。,BedStore,Coming_Dangerous,,,
10040656,hide,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040657,hide,hide,hide,hide,hide,豹纹衬衫的手抓住了谷川景子的手臂。,BedStore,Coming_Dangerous,,,
10040658,hide,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040659,陌生男子A,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040660,hide,hide,hide,hide,hide,喂，跟你说话呢。,BedStore,Coming_Dangerous,,,
10040661,hide,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040662,hide,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040663,hide,hide,hide,hide,hide,她没有出声。死死挡在女儿前面，整个人僵硬得像根绷紧的弦。她的眼神越过豹纹衬衫的肩膀，落在我身上——只有一瞬。没有责备，没有祈求。只是确认我还站在那里。然后移开了。,BedStore,Coming_Dangerous,,,
10040664,hide,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040665,hide,hide,hide,hide,hide,那一眼比任何话都重。,BedStore,Coming_Dangerous,,,
10040666,hide,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040667,寝具店员,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040668,hide,hide,hide,hide,hide,两位客人！我已经报警了！警察马上就到！,BedStore,Coming_Dangerous,,,
10040669,hide,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040670,hide,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040671,hide,hide,hide,hide,hide,店员举着座机话筒。声音发抖但足够大声。豹纹衬衫回过头。,BedStore,Coming_Dangerous,,,
10040672,hide,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040673,陌生男子A,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040674,hide,hide,hide,hide,hide,……啧。,BedStore,Coming_Dangerous,,,
10040675,hide,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040676,hide,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040677,hide,hide,hide,hide,hide,松开了手。两人骂骂咧咧推门出去。玻璃门弹回，风铃刺耳地响了一声。,BedStore,Coming_Dangerous,,,
