ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10370701,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10370702,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10370703,hide,hide,hide,hide,hide,凌晨一点。我以为俱乐部里已经没有人了。但休息室的灯还亮着一盏。角落里，谷川景子坐在那张她平时不坐的椅子上——靠窗的位置，南梨以前坐的位置。她面前摊着一份文件。不是俱乐部的。是学校的。抬头写着「奈良女子学院附属中学·全寄宿制入学申请书」。,RestRoom,Silent_Night,,,
10370704,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10370705,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10370706,hide,hide,hide,hide,hide,空气里有圆珠笔油墨的味道。还有更淡的——景子身上那种洗了很多次的洗衣粉味。她把申请表翻到最后一页。监护人签名栏。笔握在手里，握了很久。笔尖悬在那个横线上方，没有落下去。,RestRoom,Silent_Night,,,
10370707,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10370708,巢燕姬·谷川景子,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10370709,hide,hide,hide,hide,hide,黑田的秘书今天打了三个电话。第一个打到俱乐部，第二个打到我的手机，第三个——打到了小澪学校的办公室。,Manager_Office,Silent_Night,,,
10370710,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10370711,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10370712,hide,hide,hide,hide,hide,她说这句话的时候，笔尖碰到了纸。不是签名。是一个很小的墨点。深蓝色的。在签名栏的正中间。,Manager_Office,Silent_Night,,,
10370713,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10370714,巢燕姬·谷川景子,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10370715,hide,hide,hide,hide,hide,"学校打电话给我。说有一位""黑田先生的秘书""来电咨询小澪的就学情况，问是否可以安排一次家长面谈。语气很礼貌，说是""关心辖区青少年的教育问题""。学校觉得没什么。但我听到""黑田""两个字的时候——手里的杯子掉了。",Manager_Office,Silent_Night,,,
10370716,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10370717,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
