ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10110501,hide,hide,hide,hide,hide,,Cafe,Mixed_Emotion,,,
10110502,hide,hide,hide,hide,hide,,Cafe,Mixed_Emotion,,,
10110503,hide,hide,hide,hide,hide,下午四点半。办公室里多了一个便当盒。,Manager_Office,Mixed_Emotion,,,
10110504,hide,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,
10110505,hide,hide,hide,hide,hide,不是便利店那种塑料包装的。是深蓝色的布制便当包，扎口的绳子被洗得有点起毛。便当包下面压着一张纸条——和上次请假时用的那种便签纸一样。铅笔字。写了一半又擦了一半的力度。,Manager_Office,Mixed_Emotion,,,
10110506,hide,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,
10110507,hide,hide,hide,hide,hide,"""昨天的事——谢谢。这份自己做的，不嫌弃的话请尝尝。""",Manager_Office,Mixed_Emotion,,,
10110508,hide,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,
10110509,hide,hide,hide,hide,hide,没有署名。依然是她。谷川景子对文字的用力程度从来没变过——既怕被人看到，又怕人看不到。,Manager_Office,Mixed_Emotion,,,
10110510,hide,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,
10110511,hide,hide,hide,hide,hide,我打开便当包。里面是煎三文鱼、玉子烧、菠菜拌芝麻。还有一小块切成了兔子形状的苹果——切得很整齐，但有一只兔耳朵稍微短了一点。大概是切的时候时间不够了。,Manager_Office,Mixed_Emotion,,,
10110512,hide,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,
10110513,hide,hide,hide,hide,hide,抬头的时候看到景子站在门口。她的预约记录本抱在胸前。蓝色的眼睛有一点刚补过妆的痕迹——睫毛膏是新鲜的，但下眼睑有一小片粉底没有推匀。,Manager_Office,Mixed_Emotion,,,
10110514,hide,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,
10110515,巢燕姬·谷川景子,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,
10110516,hide,hide,hide,hide,hide,……做得不是很好。小澪今天早上说要帮妈妈做玉子烧，结果自己把鸡蛋打在了围裙上。兔耳朵——她说妈妈切的兔子有一只耳朵比另一只短。她观察力太强了。比我强。,Manager_Office,Mixed_Emotion,,,
10110517,hide,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,
10110518,hide,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,
10110519,hide,hide,hide,hide,hide,她笑了一下。笑起来的时候眼角细纹比在俱乐部里穿晚礼服时深。但看起来比那时年轻——因为是真的在笑。,Manager_Office,Mixed_Emotion,,,
10110520,hide,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,
