ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10250501,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10250502,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10250503,hide,hide,hide,hide,hide,傍晚五点半。后门走廊很窄，只能容一个人通过。墙面上贴着发黄的瓷砖，有几块已经裂了。空气里有厨余垃圾和洗涤剂混合的气味。神宫寺丽莎蹲在墙角。背对着走廊。肩膀在抖。不是冷。她在打电话。不是用平时的声音——平时是银鹮姬的声音，清亮、干练、每一个音节都经过计算。现在——是另一个人。,Corridor,Mixed_Emotion,,,
10250504,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10250505,银鹮姬·神宫寺丽莎,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,对着电话，声音压到几乎听不见
10250506,hide,hide,hide,hide,hide,我说了下周五——一定还。利息——我知道。我知道。三百二十万。我算过。每一笔都算过。你们再给我七天——不要打给我。不要来这里——求你。,Corridor,Mixed_Emotion,,,
10250507,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10250508,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10250509,hide,hide,hide,hide,hide,"她说""求你""的时候，声音破了。不是哭。是破了。像一根被拉到极限的弦，在最后那个音上裂开了。她把电话挂了。屏幕暗下去。但她的手指还按在屏幕上，指甲发白。她没有发现我站在走廊另一头。",Corridor,Mixed_Emotion,,,
10250510,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10250511,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10250512,hide,hide,hide,hide,hide,走廊里的排水管嗡了一声——楼上有人在用洗碗机。她站起来。用手背擦了一下眼角。然后深呼吸。一次。两次。第三次的时候——肩膀不抖了。她把手机放进包里。拿出粉饼。打开。对着小镜子补妆。手指很稳。粉扑在脸上按压的动作是标准的——从中心往外，轻拍，不留痕。等她把粉饼合上，重新抬起头的时候——又是银鹮姬了。,Corridor,Mixed_Emotion,,,
10250513,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10250514,银鹮姬·神宫寺丽莎,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,转过身，看到我，表情只僵了一瞬
10250515,hide,hide,hide,hide,hide,经理——你站了多久。,Corridor,Mixed_Emotion,,,
10250516,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10250517,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10250518,hide,hide,hide,hide,hide,……一会儿。,Corridor,Mixed_Emotion,,,
10250519,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10250520,银鹮姬·神宫寺丽莎,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,微笑
10250521,hide,hide,hide,hide,hide,"那就别问。问了——我也只能说""没事""。说了你也不信。不说——至少还有一个人可以假装不知道。",Corridor,Mixed_Emotion,,,
10250522,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10250523,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10250524,hide,hide,hide,hide,hide,她从我身边走过。高跟鞋在瓷砖上发出很脆的声响。走过去的时候，她身上的柑橘调香水已经散了。后调只剩一点点金属味。和走廊里的洗涤剂混在一起。很涩。,Corridor,Unreal_Memory,,,
10250525,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10250526,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10250527,hide,hide,hide,hide,hide,……丽莎。,Corridor,Unreal_Memory,,,
10250528,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10250529,银鹮姬·神宫寺丽莎,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,停住，没有回头
10250530,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10250531,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10250532,hide,hide,hide,hide,hide,……那个金融界的朋友。靠谱吗。,Corridor,Unreal_Memory,,,
10250533,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10250534,银鹮姬·神宫寺丽莎,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,沉默了很长时间
10250535,hide,hide,hide,hide,hide,经理——金融圈的人，只对钱靠谱。,Corridor,Unreal_Memory,,,
10250536,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10250537,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10250538,hide,hide,hide,hide,hide,她继续往前走。走廊尽头的门推开，光涌进来，把她吞掉了。门弹回去。走廊重新变暗。只有墙角的排水管还在嗡鸣。像一只被困在墙里的蜜蜂。,Corridor,Unreal_Memory,,,
10250539,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
