ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10240301,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10240302,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10240303,hide,hide,hide,hide,hide,早上七点半。手机亮了。不是电话。是一张截图——航班预订确认页。悉尼到关西机场。一月二十号。捷星航空。座位号14A。靠窗。截图下面跟了一条消息。很短。,Club_away,Mixed_Emotion,,,
10240304,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10240305,小林莉香,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,消息文字
10240306,hide,hide,hide,hide,hide,买了。,Club_away,Mixed_Emotion,,,
10240307,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10240308,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10240309,hide,hide,hide,hide,hide,"没有表情包。没有多余的标点。只有""买了""两个字。她把截图上所有不必要的信息都裁掉了——没有价格，没有税费，没有保险选项。只留下航班号、日期、和她的名字。像是她只想让我看到一件事：她要回来了。剩下的——不重要。",Club_away,Mixed_Emotion,,,
10240310,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10240311,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10240312,hide,hide,hide,hide,hide,我盯着那张截图看了很久。不是看信息——是看她截图的方式。截图的时间是凌晨三点十一分。悉尼时间。她没睡。或者特意起来查了。然后发了。然后等了。等我的回复。但我昨晚在俱乐部，没有看手机。她等了多久——不知道。,Club_away,Silent_Night,,,
10240313,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10240314,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,打字，删掉，再打
10240315,hide,hide,hide,hide,hide,……好。到时候去接。,Club_away,Silent_Night,,,
10240316,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10240317,小林莉香,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10240318,hide,hide,hide,hide,hide,真的？你别到时候又说有事。,Club_away,Silent_Night,,,
10240319,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10240320,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10240321,hide,hide,hide,hide,hide,……不会。,Club_away,Silent_Night,,,
10240322,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10240323,小林莉香,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10240324,hide,hide,hide,hide,hide,哲也——我跟你说。我这次回去，想吃拉面。不是悉尼那种假的拉面。是真的。豚骨的。还有——你记得我上次寄给你的那个围巾吗。,RamenShop,Silent_Night,,,
10240325,hide,hide,hide,hide,hide,,RamenShop,Silent_Night,,,
10240326,hide,hide,hide,hide,hide,,RamenShop,Silent_Night,,,
10240327,hide,hide,hide,hide,hide,围巾。她去年冬天寄的。藏蓝色的，很薄，不适合大阪的冬天。我戴过一次，脖子被扎得不舒服，就收起来了。现在——它挂在衣柜最里面的钩子上。和一件不穿的大衣叠在一起。,RamenShop,Silent_Night,,,
10240328,hide,hide,hide,hide,hide,,RamenShop,Silent_Night,,,
10240329,hide,hide,hide,hide,hide,,RamenShop,Silent_Night,,,
10240330,hide,hide,hide,hide,hide,……记得。,RamenShop,Silent_Night,,,
10240331,hide,hide,hide,hide,hide,,RamenShop,Silent_Night,,,
10240332,小林莉香,hide,hide,hide,hide,,RamenShop,Silent_Night,,,
10240333,hide,hide,hide,hide,hide,冷的话就戴。不戴也行。反正——我回来可以再织一条。我在这边学了织毛线。手比以前巧了。,RamenShop,Silent_Night,,,
10240334,hide,hide,hide,hide,hide,,RamenShop,Silent_Night,,,
10240335,hide,hide,hide,hide,hide,,RamenShop,Silent_Night,,,
10240336,hide,hide,hide,hide,hide,"窗外的雪停了。屋顶上的积雪反射着灰白色的天光，很亮，亮得刺眼。我把手机放下。屏幕暗了，又亮了——她发了一张照片。不是机票。是她的手。手上戴着一只毛线手套。灰色的。针脚很乱。和她说的""手比以前巧""——完全不符。但她在笑。照片里看不见脸，只能看到举起来的手和手套。手指张开的姿势，像是在对镜头说——你看。",Rooftop,Silent_Night,,,
10240337,hide,hide,hide,hide,hide,,Rooftop,Silent_Night,,,
