ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10410501,hide,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
10410502,hide,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
10410503,hide,hide,hide,hide,hide,安全屋在大阪港附近。不是Linda常住的那间——是另一间。窗户对着港口，能看到集装箱堆场和远处的起重机。夕阳把起重机涂成了暗红色。房间里有一股海水的咸味，混合着铁锈和旧电线的塑料焦味。大概是某个插座接触不良，偶尔会发出很轻的滋滋声。,Cafe,Mystery_Box,,,
10410504,hide,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
10410505,hide,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
10410506,hide,hide,hide,hide,hide,Linda坐在一张折叠桌前。桌上摊着三台设备——一台笔记本，一台无线电接收器，一台我不认识的设备，上面有十几根天线。天线长短不一，像一只金属的蜈蚣趴在桌上。她戴着一副耳机，只有一边耳朵在听。另一边耳机垂在肩上。,Cafe,Mystery_Box,,,
10410507,hide,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
10410508,朱雀姬·Linda,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
10410509,hide,hide,hide,hide,hide,"Interpol大阪监控网——代号""蜘蛛网""。从今天开始测试。Day 60正式运行。",Cafe,Mystery_Box,,,
10410510,hide,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
10410511,hide,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
10410512,hide,hide,hide,hide,hide,她按了一个开关。那个长了很多天线的设备发出一声很低的嗡鸣。然后指示灯开始闪烁。绿色的光，一闪一闪。频率和心跳差不多。笔记本屏幕上跳出一个窗口，上面是一张地图。大阪市地图。上面有几个红点——俱乐部的坐标，村上事务所的坐标，几个我不知道的坐标。,Cafe,Mystery_Box,,,
10410513,hide,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
10410514,朱雀姬·Linda,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
10410515,hide,hide,hide,hide,hide,这些是预设的监听点。俱乐部周围三百米范围内的所有通讯都会被拦截。固定电话、移动电话、传呼机——全部。,Cafe,Mystery_Box,,,
10410516,hide,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
10410517,hide,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
10410518,hide,hide,hide,hide,hide,她把耳机换到另一边耳朵。然后指着地图上的一个蓝色圆圈。,Cafe,Mystery_Box,,,
10410519,hide,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
10410520,朱雀姬·Linda,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
10410521,hide,hide,hide,hide,hide,这是帝国酒店。黑田议员常住的地方。也在监听范围内。,Cafe,Mystery_Box,,,
10410522,hide,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
10410523,hide,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
10410524,hide,hide,hide,hide,hide,空气里的海水味被晚风吹得更浓了。远处港口有一艘货轮在卸货，起重机的声音很闷，像很远处的打雷。Linda把一张SD卡插进笔记本。屏幕上开始跑一串代码。她看着代码跑完，然后拔出来，放进一个防水盒子里。盒子很小，可以放进衬衫口袋。,Cafe,Mystery_Box,,,
10410525,hide,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
10410526,朱雀姬·Linda,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
10410527,hide,hide,hide,hide,hide,这是备份。如果那天晚上出了什么意外——这个盒子里的数据会自动上传到Interpol服务器。,Cafe,Mystery_Box,,,
10410528,hide,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
10410529,hide,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
10410530,hide,hide,hide,hide,hide,她把盒子递给我。很小。很轻。但接在手里的时候，能感觉到里面那个微小的电路板在微微发热。像一只很小的动物，在掌心呼吸。,Cafe,Mystery_Box,,,
10410531,hide,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
10410532,朱雀姬·Linda,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
10410533,hide,hide,hide,hide,hide,黑羽。那天晚上你要做的是——让雪代以为你什么都不知道。让她放松。让她觉得一切都在她的掌控之中。,Cafe,Mystery_Box,,,
10410534,hide,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
10410535,hide,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
10410536,hide,hide,hide,hide,hide,她把耳机摘下来。放在桌上。揉了揉耳朵。耳廓被耳机压红了。,Cafe,Mystery_Box,,,
10410537,hide,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
10410538,朱雀姬·Linda,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
10410539,hide,hide,hide,hide,hide,雪代这个人——我在Interpol的档案里查过。她不是普通的组织成员。她在这个网络里活了二十一年，从被卖进去的女孩活成了所有人都不敢碰的存在。她的反侦察能力不比你弱。你不要小看她。,Cafe,Mystery_Box,,,
10410540,hide,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
10410541,hide,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
10410542,hide,hide,hide,hide,hide,窗外起重机的影子越来越长。夕阳快落了。海水的咸味里多了一种柴油的味道。大概是港口的渔船回来了。Linda把设备逐一关机。指示灯一盏一盏地灭。最后灭的那一盏，在她眼睛里反了一个绿光，然后消失。,Cafe,Mystery_Box,,,
10410543,hide,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
