ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10590401,hide,hide,hide,hide,hide,,Club_lobby,Unreal_Memory,,,
10590402,hide,hide,hide,hide,hide,,Club_lobby,Unreal_Memory,,,
10590403,hide,hide,hide,hide,hide,"下午的宴会厅里很静。长桌上铺着白色的桌布——新换的，浆粉的味道很重。餐巾叠成扇形，搁在每一个盘子上。酒杯排成一条线，杯脚对着同一个角度。这是明天晚上""极乐之夜""的主会场。现在还没有人。只有育子。",Club_lobby,Unreal_Memory,,,
10590404,hide,hide,hide,hide,hide,,Club_lobby,Unreal_Memory,,,
10590405,hide,hide,hide,hide,hide,,Club_lobby,Unreal_Memory,,,
10590406,hide,hide,hide,hide,hide,她站在长桌的前端。手里拿着一沓座位卡。最后几个。她把它们一张一张放在盘子旁边。动作很慢。每放一张，就退后一步，从整体上看一眼。她今天化了妆。不是浓妆——是淡淡的。眉毛画得还算对称。粉底涂得均匀。大概是春奈帮她的。或者她自己练了很久。,Club_lobby,Unreal_Memory,,,
10590407,hide,hide,hide,hide,hide,,Club_lobby,Unreal_Memory,,,
10590408,hide,hide,hide,hide,hide,,Club_lobby,Unreal_Memory,,,
10590409,hide,hide,hide,hide,hide,"她手里还剩最后两张。她低头看第一张——""白鹤姬""。她把这张放在主位右边的第一个位置。手指在卡片的边缘压了一下。然后她低头看第二张。看了一会儿。没有马上放。",Club_lobby,Unreal_Memory,,,
10590410,hide,hide,hide,hide,hide,,Club_lobby,Unreal_Memory,,,
10590411,雏鹃姬·芦田育子,hide,hide,hide,hide,,Club_lobby,Unreal_Memory,,,
10590412,hide,hide,hide,hide,hide,……黑羽哲也。,Club_lobby,Unreal_Memory,,,
10590413,hide,hide,hide,hide,hide,,Club_lobby,Unreal_Memory,,,
10590414,hide,hide,hide,hide,hide,,Club_lobby,Unreal_Memory,,,
10590415,hide,hide,hide,hide,hide,"她念出了上面的名字。不是大声——是那种读给自己听的声音。她把这张放在""白鹤姬""的右边。两个座位挨在一起。她退后两步。看着那两张卡片。看了一会儿。然后她往前走一步。把""黑羽哲也""那张往右边挪了半厘米。不是因为它歪了——是因为她想让它在某个特定的角度看起来更顺眼。或者是因为她在找一个理由——多碰一次那张卡片。",Club_lobby,Unreal_Memory,,,
10590416,hide,hide,hide,hide,hide,,Club_lobby,Unreal_Memory,,,
10590417,hide,hide,hide,hide,hide,,Club_lobby,Unreal_Memory,,,
10590418,hide,hide,hide,hide,hide,"空气里有浆粉的味道。还有更淡的——育子身上的樟脑。和储物间里一样。她大概昨晚又在储物间待了很久。她从口袋里掏出一支笔。不是圆珠笔——是铅笔。她在""黑羽哲也""的卡片背面写了两个字。很小的字。写完之后把笔放回口袋。",Club_Storage,Unreal_Memory,,,
10590419,hide,hide,hide,hide,hide,,Club_Storage,Unreal_Memory,,,
10590420,hide,hide,hide,hide,hide,,Club_Storage,Unreal_Memory,,,
10590421,hide,hide,hide,hide,hide,"她转身要走。然后在门口停住。回头看了一眼那张长桌。所有的座位卡都在它们该在的位置上。白色的桌布。银色的餐具。透明的酒杯。还有两个名字——""白鹤姬""和""黑羽哲也""——挨在一起。在长桌的最前端。在明天晚上最亮的光线里。",Club_Storage,Unreal_Memory,,,
10590422,hide,hide,hide,hide,hide,,Club_Storage,Unreal_Memory,,,
