ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10370301,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10370302,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10370303,hide,hide,hide,hide,hide,休息室里有一种空的味道。不是少了什么东西的味道——是少了一个人。南梨的柜子还开着，里面还是只有那个衣架。没有人动它。化妆镜前的椅子空着。南梨以前总是第一个来，坐在那里给手腕上药膏——她手腕一直不好，大概是给男朋友按摩太久落下的。,RestRoom,Silent_Night,,,
10370304,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10370305,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10370306,hide,hide,hide,hide,hide,空气里有清洁剂的柠檬味。早上刚拖过地。地板还没全干，有几处反光。其他人陆续走进来。夏实看了一眼空椅子，很快把目光移开。紫在门口停了一秒，然后走到自己的位子坐下。没有人说话。,RestRoom,Mixed_Emotion,,,
10370307,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10370308,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10370309,hide,hide,hide,hide,hide,然后育子进来了。她站在门口，看着那把空椅子。看了一会儿。然后走过去。坐下来。不是随随便便坐的——她把椅子调整了一下角度，调整成南梨以前坐的方向。然后她拿出化妆镜，放在桌上。动作很慢，很稳。,RestRoom,Unreal_Memory,,,
10370310,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10370311,雏鹃姬·芦田育子,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10370312,hide,hide,hide,hide,hide,……这里光线好。,RestRoom,Unreal_Memory,,,
10370313,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10370314,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10370315,hide,hide,hide,hide,hide,她说这句话的时候没有看任何人。但她说话的声音比以前大了。不是很大。但不需要仔细听就能听清楚了。休息室里没有人接话。但所有人都偷偷看了她一眼。,RestRoom,Unreal_Memory,,,
10370316,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10370317,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10370318,hide,hide,hide,hide,hide,育子打开粉底盒。对着镜子开始化妆。她的手法还是有点生疏——粉底涂得不均匀，眉毛画得一边高一边低。但她没有停下来问任何人。她自己擦了，重新画。清洁剂的柠檬味渐渐淡了，被粉底和香水的味道盖过。那把椅子，不再是空的了。,RestRoom,Unreal_Memory,,,
10370319,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
