ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10010201,hide,hide,hide,hide,hide,,Club_door,Coming_Dangerous,,,
10010202,hide,hide,hide,hide,hide,时间拉回到一周以前，那个街角的拉面店里。,RamenShop,Coming_Dangerous,,,
10010203,hide,hide,hide,hide,hide,我当时刚刚作为新人来到大阪警署报道。,RamenShop,Coming_Dangerous,,,
10010204,hide,hide,hide,hide,hide,以为那会是自己的新上司因为新人到来的一场普通的宴请。,RamenShop,Coming_Dangerous,,,
10010205,hide,hide,hide,hide,hide,但是，显然，命运的齿轮在那个时候就已经开始吱呀转动起来。,RamenShop,Coming_Dangerous,,,
10010206,hide,hide,hide,hide,hide,他带我来的拉面店基本没什么顾客，也不需要预约。,RamenShop,Coming_Dangerous,,,
10010207,hide,hide,hide,hide,hide,但是拉面的味道出奇的好。,RamenShop,Coming_Dangerous,,,
10010208,hide,hide,hide,hide,hide,拉面的热气扑在脸上时，带着食材的香味。,RamenShop,Coming_Dangerous,,,
10010209,hide,hide,hide,hide,hide,我看着那碗酱油拉面，汤色清澈得能看见碗底手写的“鹤”字。,RamenShop,Coming_Dangerous,,,
10010210,hide,hide,hide,hide,hide,拉面里的笋干切得极薄，像是半透明的翅膀，三片叉烧叠成山形。,RamenShop,Coming_Dangerous,,,
10010211,hide,hide,hide,hide,hide,浮在上面的溏心蛋对半切开，蛋黄像凝固的落日一样的漂亮。,RamenShop,Coming_Dangerous,,,
10010212,hide,hide,hide,hide,hide,我夹起一筷子拉面，送进嘴里。,RamenShop,Coming_Dangerous,,,
10010213,hide,hide,hide,hide,hide,增田课长坐在我对面，已经吃了半碗。他说话时没抬头，专注地吹着汤面的热气。,RamenShop,Coming_Dangerous,,,
10010214,增田一郎,hide,hide,hide,hide,,RamenShop,Coming_Dangerous,,,
10010215,hide,hide,hide,hide,hide,怎么样？这家拉面店？跟你家乡的比。,RamenShop,Coming_Dangerous,,,
10010216,hide,hide,hide,hide,hide,,RamenShop,Coming_Dangerous,,,
10010217,hide,hide,hide,hide,hide,我的家乡么？我的家乡在北海道一个小渔港。,RamenShop,Coming_Dangerous,,,
10010218,hide,hide,hide,hide,hide,在那个渔港，冬天的海是铁灰色的，风像刀子一样。,RamenShop,Coming_Dangerous,,,
