ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10200401,hide,hide,hide,hide,hide,,Cafe,Coming_Dangerous,,,
10200402,hide,hide,hide,hide,hide,,Cafe,Coming_Dangerous,,,
10200403,hide,hide,hide,hide,hide,电话挂断之后我坐在床边很久。,Cafe,Coming_Dangerous,,,
10200404,hide,hide,hide,hide,hide,窗外终于彻底亮了。但那光线照不进这个房间的角落。,Cafe,Coming_Dangerous,,,
10200405,hide,hide,hide,hide,hide,我站起来，走到浴室。打开灯。,Bathroom_Jan,Slow_Lure,,,
10200406,hide,hide,hide,hide,hide,镜子里的自己看起来和平时一样。头发有点乱，眼睛下面有青色。但除此之外——普通。,Bathroom_Jan,Slow_Lure,,,
10200407,hide,hide,hide,hide,hide,我伸出手，指尖碰到镜面。冰的。,Bathroom_Jan,Slow_Lure,,,
10200408,hide,hide,hide,hide,hide,白鹤姬如果知道我是谁——,Bathroom_Jan,Slow_Lure,,,
10200409,hide,hide,hide,hide,hide,那每一次她对我笑，每一次她让我靠近她的办公室，每一次她把酒杯递到我手里——,Manager_Office,Slow_Lure,,,
10200410,hide,hide,hide,hide,hide,都不是信任。,Manager_Office,Slow_Lure,,,
10200411,hide,hide,hide,hide,hide,是表演。,Manager_Office,Slow_Lure,,,
10200412,hide,hide,hide,hide,hide,而我，一直在配合她的表演。,Manager_Office,Slow_Lure,,,
10200413,hide,hide,hide,hide,hide,镜子里的人盯着我。我突然觉得那张脸很陌生。,Manager_Office,Slow_Lure,,,
10200414,hide,hide,hide,hide,hide,不是黑羽哲也。不是卧底。不是任何人。,Manager_Office,Slow_Lure,,,
10200415,hide,hide,hide,hide,hide,是一具照着剧本行走的躯体。从第一天起就在她的台词里。,Manager_Office,Slow_Lure,,,
10200416,hide,hide,hide,hide,hide,,Manager_Office,Slow_Lure,,,
10200418,hide,hide,hide,hide,hide,,Manager_Office,Slow_Lure,,,
10200419,hide,hide,hide,hide,hide,,Manager_Office,Slow_Lure,,,
10200420,hide,hide,hide,hide,hide,手机屏幕暗下去。佐藤挂了。,Manager_Office,Slow_Lure,,,
10200421,hide,hide,hide,hide,hide,我坐在床边，看见自己的手指在膝盖上微微颤抖。不是因为害怕。是因为想到这三个月——每一句话、每一个动作、每一次眼神——都可能是被设计好的。,Manager_Office,Slow_Lure,,,
10200422,hide,hide,hide,hide,hide,但也可能只是佐藤在施压。,Manager_Office,Slow_Lure,,,
10200423,hide,hide,hide,hide,hide,两条路。哪一种都让人不舒服。,Manager_Office,Slow_Lure,,,
10200424,hide,hide,hide,hide,hide,,Manager_Office,Slow_Lure,,,
10200425,hide,hide,hide,hide,hide,,Manager_Office,Slow_Lure,,,低声
10200426,hide,hide,hide,hide,hide,……饵。,Manager_Office,Slow_Lure,,,
10200427,hide,hide,hide,hide,hide,,Manager_Office,Slow_Lure,,,
10200428,hide,hide,hide,hide,hide,,Manager_Office,Slow_Lure,,,
10200429,hide,hide,hide,hide,hide,暖气片咯噔响了一声。天已经亮了。但今天的光，照在身上没有温度。,Manager_Office,Slow_Lure,,,
10200430,hide,hide,hide,hide,hide,,Manager_Office,Slow_Lure,,,
