ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10140301,hide,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10140302,hide,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10140303,hide,hide,hide,hide,hide,早上七点二十。智能手机亮了。,Hospital,Mixed_Emotion,,,
10140304,hide,hide,hide,hide,hide,,Hospital,Mixed_Emotion,,,
10140305,hide,hide,hide,hide,hide,不是追问。今天的消息只有一张照片。悉尼的樱花——不是日本的染井吉野，是那种颜色更深的山樱花。花瓣落了一地，铺成一条粉色的窄径。照片底下只有两个字。,Hospital,Mixed_Emotion,,,
10140306,hide,hide,hide,hide,hide,,Hospital,Mixed_Emotion,,,
10140307,hide,hide,hide,hide,hide,"""好看吗。""",Hospital,Mixed_Emotion,,,
10140308,hide,hide,hide,hide,hide,,Hospital,Mixed_Emotion,,,
10140309,hide,hide,hide,hide,hide,"我看了那张照片大概有十秒。然后打了两个字。""好看。""发送。已读。她回了一个笑脸。",Hospital,Mixed_Emotion,,,
10140310,hide,hide,hide,hide,hide,,Hospital,Mixed_Emotion,,,
10140311,hide,hide,hide,hide,hide,这两分钟是这一周以来最正常的两分钟。正常到让我想起自己曾经也是一个正常的人。,Hospital,Unreal_Memory,,,
10140312,hide,hide,hide,hide,hide,,Hospital,Unreal_Memory,,,
10140313,hide,hide,hide,hide,hide,,Hospital,Unreal_Memory,,,
