ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10120001,hide,hide,hide,hide,hide,凌晨一点四十分，最后一拨客人离开的十分钟后。,Corridor,Unreal_Memory,,,
10120002,hide,hide,hide,hide,hide,走廊里只剩下保洁阿姨推着清洁车的声音，还有隐约的、某个房间传来的淋浴水声。,Corridor,,,,
10120003,hide,hide,hide,hide,hide,我正在检查VIP区的灯光是否都已关闭，突然听见一阵急促的脚步声。,Corridor,,,,
10120004,hide,hide,hide,OnoNami_lingerie,hide,从三号VIP室冲出来一个人影——是早莺姬·小野南梨。,Corridor,,,,
10120005,hide,hide,hide,OnoNami_lingerie,hide,她没有换回便装，甚至仍然穿着今晚接客的淡粉色蕾丝内衣套装，外面匆匆裹了件开衫，扣子都扣错了位。,Corridor,,,,
10120006,hide,hide,hide,OnoNami_lingerie,hide,头发凌乱，脸上的妆已经花了大半，睫毛膏晕开在眼下，像是哭过。,Corridor,,,,
10120007,hide,hide,hide,OnoNami_lingerie,hide,看见我，她猛地停住，眼睛睁大，随即低下头想绕开。,Corridor,,,,
10120008,我,hide,hide,OnoNami_lingerie,hide,早莺姬？,Corridor,,,,
10120009,hide,hide,hide,OnoNami_lingerie,hide,她的身体一僵。,Corridor,,,,
10120010,早莺姬·小野南梨,hide,hide,OnoNami_lingerie,hide,经、经理……晚上好……,Corridor,,,,
10120011,早莺姬·小野南梨,hide,hide,OnoNami_lingerie,hide,我、我这就去换衣服下班……,Corridor,,,,
10120012,hide,hide,hide,OnoNami_lingerie,hide,她说着就要往化妆间方向走，但脚步踉跄，差点被自己绊倒。,Corridor,,,,
10120013,hide,hide,hide,OnoNami_lingerie,hide,我伸手扶了她一把。触到她手臂的瞬间，感觉到她因为慌乱不由自主地在挣扎。,Corridor,,,,
10120014,我,hide,hide,OnoNami_lingerie,hide,怎么了？,Corridor,,,,
10120015,早莺姬·小野南梨,hide,hide,OnoNami_lingerie,hide,没事！真的没事！,Corridor,,,,
10120016,早莺姬·小野南梨,hide,hide,OnoNami_lingerie,hide,只是……只是有点累……,Corridor,,,,
10120017,hide,hide,hide,OnoNami_lingerie,hide,但她说话时，眼睛不停瞟向三号VIP室半掩的门，手指紧紧攥着开衫前襟。,Corridor,,,,
10120018,hide,hide,hide,hide,hide,我顺着她的目光看去，房间还没开始打扫。,VIP_Room_03,,,,
10120019,hide,hide,hide,hide,hide,沙发上散落着几个空酒瓶，地毯上有打翻的果盘痕迹，空气中还残留着香烟和某种甜腻香水的混合气味。,VIP_Room_03,,,,
10120020,我,hide,hide,OnoNami_lingerie,hide,是丢了什么东西？,Corridor,,,,
10120021,hide,hide,hide,OnoNami_lingerie,hide,她猛地抬头，又迅速低下。,Corridor,,,,
10120022,早莺姬·小野南梨,hide,hide,OnoNami_lingerie,hide,……嗯。,Corridor,,,,
10120023,hide,hide,hide,OnoNami_lingerie,hide,她声音很小，带着哭腔。,Corridor,,,,
10120024,我,hide,hide,OnoNami_lingerie,hide,我帮你找？,Corridor,,,,
10120025,hide,hide,hide,OnoNami_lingerie,hide,几乎是下意识地，我就提出要帮忙。,Corridor,,,,
10120026,hide,hide,hide,OnoNami_lingerie,hide,可能还是自己警察的职业内在在作祟。,Corridor,,,,
10120027,早莺姬·小野南梨,hide,hide,OnoNami_lingerie,hide,不太合适，经理，是……一件内衣……,Corridor,,,,
10120028,hide,hide,hide,OnoNami_lingerie,hide,她说着，眼泪突然掉下来。,Corridor,,,,
10120029,hide,hide,hide,OnoNami_lingerie,hide,不是那种夸张的哭泣，而是极力压抑却控制不住的。,Corridor,,,,
10120030,hide,hide,hide,OnoNami_lingerie,hide,泪水顺着脸颊滑落，混合着晕开的眼妆，在脸上划出两道深色的痕迹。,Corridor,,,,
10120031,hide,hide,hide,OnoNami_lingerie,hide,随后，她拉着我的西装袖子，似乎希望自己解决。,Corridor,,,,
10120032,hide,hide,hide,OnoNami_lingerie,hide,我注意到，她的手很冰，指甲修剪得很短，但边缘有啃咬过的痕迹。,Corridor,,,,
10120033,hide,hide,hide,hide,hide,,Corridor,,,"choice(帮她找|loadScript(Day_3_night_LostRibbon_1,10120101))&choice(让她自己找|loadScript(Day_3_night_LostRibbon_2,10120201))",
