ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10600501,hide,hide,hide,hide,hide,,Bathroom_Jan,Slow_Lure,,,
10600502,hide,hide,hide,hide,hide,,Bathroom_Jan,Slow_Lure,,,
10600503,hide,hide,hide,hide,hide,但信号没有来。招牌灯没有闪。三分钟。Linda说的三分钟——还没到。大厅里的局面僵住了。高的心腹被雪代夺了枪，但矮的那个还在。矮的那个墨镜摘下来了。露出两只很小的眼睛。他的手在西装内侧——大概也有枪。村上道也被麻醉剂刺了，药效在慢慢扩散——他的头开始晃。但还没倒。大厅里其他客人乱成一团。有人往门口跑。有人蹲在桌子底下。有人拿出手机拍照。,Club_lobby,Slow_Lure,,,
10600504,hide,hide,hide,hide,hide,,Club_lobby,Slow_Lure,,,
10600505,hide,hide,hide,hide,hide,,Club_lobby,Slow_Lure,,,
10600506,hide,hide,hide,hide,hide,葵在吧台后面。她按下音响的播放键。第一盘磁带开始转。村上道也的声音从音响里炸出来——「凤凰账户的资金明天转。让制药公司那边准备好。」然后是第二盘——「不是百分之十五。是百分之二十。」两盘磁带。播放完了。大厅里所有人都听到了。村上道也的声音在大厅里回荡。然后——空位。第三盘磁带的位置——是空的。没有雪鹤姬的声音。没有遗言。没有最后的几句话。,Club_lobby,Mixed_Emotion,,,
10600507,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10600508,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10600509,hide,hide,hide,hide,hide,葵站在音响旁边。手按在播放键上。但播放键下面是空的。她看着空位。嘴唇动了一下。然后她低头。眼镜后面的眼睛——闭了一秒。然后睁开。,Club_lobby,Mixed_Emotion,,,
10600510,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10600511,青鹭姬·星野葵,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10600512,hide,hide,hide,hide,hide,……对不起。,Club_lobby,Mixed_Emotion,,,
10600513,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10600514,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10600515,hide,hide,hide,hide,hide,证据链断了。不是全断——前两盘还在。毒品交易和幕后操纵的证据还在。但雪鹤姬的死——那一环——缺失了。村上道也逼死雪鹤姬的证据——不在。没有第三盘磁带。村上道也可以说——「毒品交易我认。但雪鹤姬的死——与我无关。」法律上——他可能真的会逃脱那一项指控。逃脱谋杀。只被判贩毒。不是无期。是二十年。甚至更少。,Club_lobby,Mixed_Emotion,,,
10600516,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10600517,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10600518,hide,hide,hide,hide,hide,然后信号来了。招牌灯闪了三次。三次之后——Interpol冲进来。八个人。正门和后巷同时。英语和日语的喊声。矮的那个心腹试图拔枪，被Linda一枪打中手臂。枪掉在地上。村上道也——麻醉剂终于发作了——从椅子上滑下去。倒在地上。眼睛还睁着。但身体不能动了。,Club_lobby,Mixed_Emotion,,,
10600519,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10600520,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10600521,hide,hide,hide,hide,hide,控制住了。但没有完美。春奈躺在地上。右肩在冒血。第三盘磁带——缺失。证据链——断裂。雪鹤姬的死——可能永远无法在法庭上被证明是谋杀。,Club_lobby,Mixed_Emotion,,,
10600522,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
