ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10510301,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10510302,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10510303,hide,hide,hide,hide,hide,化妆间里只有春奈一个人。灯管是那种老式的白色荧光灯，亮得有点刺眼，照得所有东西都发蓝。她的化妆台前摆了八张面具——不是那种戴在脸上的硬面具。是更薄的东西。贴在脸上的。肉色的，有毛孔，有眉骨，有嘴唇的纹理。八张面具一字排开，在荧光灯下像八个在睡觉的人脸。,DressingRoom,Silent_Night,,,
10510304,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10510305,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10510306,hide,hide,hide,hide,hide,空气里有很重的酒精胶水味。那种味道很冲，闻久了鼻腔会发干。混着粉底液的脂粉气——不是香水那种香，是化妆品原料的化学气味。还有更淡的，旧假发上残留的洗发水味道。假发架子立在角落里，上面挂着五六顶不同颜色的假发，黑、棕、金、灰白——像一排被割下来的头发。,DressingRoom,Silent_Night,,,
10510307,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10510308,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10510309,hide,hide,hide,hide,hide,"春奈坐在镜子前。她的手指在面具上慢慢移动。从左到右。每一张面具她都用指尖碰一下。碰的动作很轻，像是怕吵醒它们。碰完最后一张，她抬头看镜子。镜子里不是她的脸——镜子里是她的背影，因为她还戴着今天的仿妆。一张很普通的公关脸。某个已经离场的客人的""理想型""。",DressingRoom,Silent_Night,,,
10510310,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10510311,诡鹀姬·木岛春奈,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10510312,hide,hide,hide,hide,hide,你来了。正好。,DressingRoom,Silent_Night,,,
10510313,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10510314,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10510315,hide,hide,hide,hide,hide,她没有回头。她的声音从镜子里传过来。镜子里那张普通公关脸在说话，嘴型完美同步。但她的声音——是她自己的。春奈自己的声音。有点沙，尾音往上翘，带着一点顽皮的余味。,DressingRoom,Silent_Night,,,
10510316,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10510317,诡鹀姬·木岛春奈,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10510318,hide,hide,hide,hide,hide,今天是个特殊的日子。我给你看个东西。,DressingRoom,Silent_Night,,,
10510319,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10510320,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10510321,hide,hide,hide,hide,hide,她把手从面具上收回来。放在膝盖上。她的手很小。手指间有酒精胶水干掉的痕迹——白色的，细碎的，像干了的胶带残留。她看着镜子里的自己。然后伸手，从脸颊边缘开始，慢慢地，把今天戴着的仿妆揭下来。,DressingRoom,Silent_Night,,,
10510322,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
