ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10450401,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10450402,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10450403,hide,hide,hide,hide,hide,茶室里的茶香比平时浓。不是大麦茶——今天是煎茶。茶叶是育子自己带来的。她从家乡寄来的包裹里拆出来的，放在一个铁罐子里。铁罐子外面的漆已经掉了不少，能看到里面银色的铁皮。她打开罐子的时候，茶叶的味道冲出来——很绿，很鲜，像刚下过雨的茶园。,Corridor,Mixed_Emotion,,,
10450404,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10450405,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10450406,hide,hide,hide,hide,hide,育子跪坐在矮桌前。面前摆着两只茶杯。她倒茶的动作比以前稳了。不是那种训练出来的稳——是做了很多次之后，手自己记住的稳。茶壶的嘴对准茶杯中心，倾斜的角度刚好，水流出来的速度不快不慢。茶杯满了。水面在杯口下面半厘米的位置。没有溢出。,Corridor,Mixed_Emotion,,,
10450407,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10450408,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10450409,hide,hide,hide,hide,hide,雪代坐在对面。她还穿着那件改过的白无垢。在茶室的暗光里，白色没有那么刺眼了。变成了某种更温的白色。像旧的宣纸。,Corridor,Mixed_Emotion,,,
10450410,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10450411,白鹤姬·桂原雪代,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10450412,hide,hide,hide,hide,hide,你泡的茶。现在比夏实泡的还好。,Corridor,Mixed_Emotion,,,
10450413,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10450414,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10450415,hide,hide,hide,hide,hide,育子低着头。但她的耳朵红了。不是因为被夸奖——是因为她知道这句话的重量。夏实在这里泡了五年茶。雪代从不轻易说谁的茶比夏实好。育子把茶杯推到雪代面前。推的动作很轻。茶杯在矮桌上滑过去，发出很细的摩擦声。,Corridor,Unreal_Memory,,,
10450416,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10450417,雏鹃姬·芦田育子,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10450418,hide,hide,hide,hide,hide,……雪代姐。你穿白色。很好看。,Corridor,Unreal_Memory,,,
10450419,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10450420,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10450421,hide,hide,hide,hide,hide,雪代端起茶杯。没有喝。她把茶杯举到鼻子前面。闻了一下。煎茶的蒸汽在她脸上停了一下。然后她把茶杯放下。看着育子。,Corridor,Unreal_Memory,,,
10450422,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10450423,白鹤姬·桂原雪代,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10450424,hide,hide,hide,hide,hide,你穿白的也很好看。,Corridor,Unreal_Memory,,,
10450425,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
