ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10270501,hide,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
10270502,hide,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
10270503,hide,hide,hide,hide,hide,傍晚六点半。彩和瞳并排站在舞台左侧。两个人穿着同样的练习服——黑色紧身上衣，宽松长裤。头发都扎起来。从侧面看，轮廓几乎一模一样。但只有彩在说话，瞳站在她身后半步，像一面沉默的镜子。,DressingRoom,Coming_Dangerous,,,
10270504,hide,hide,hide,hide,hide,舞台灯还没全开，只有顶上一盏暖色灯打在她们身上。空气里是舞台胶皮地板的气味，微微发酸。,DressingRoom,Coming_Dangerous,,,
10270505,hide,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
10270506,双雀姬·濑户彩,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
10270507,hide,hide,hide,hide,hide,想看我们的练习？,DressingRoom,Coming_Dangerous,,,
10270508,hide,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
10270509,hide,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
10270510,hide,hide,hide,hide,hide,我说好。彩笑了一下，回头看瞳。瞳没说话，但点了头——很小的幅度，下巴只往下沉了半寸。,DressingRoom,Coming_Dangerous,,,
10270511,hide,hide,hide,hide,hide,音乐从角落的旧音响里流出来。钢琴，很慢。两个人同时抬起右手，弧度一样，速度一样。指尖在空中画了一条看不见的线。然后向左转身——同步。瞳闭着眼睛。彩的眼睛睁着，但看的不是镜子，是瞳。,DressingRoom,Coming_Dangerous,,,
10270512,hide,hide,hide,hide,hide,她们的动作完全对称。不是排练出来的那种对称——是像一棵树的两根树枝，各自长着，但来自同一个根系。,DressingRoom,Coming_Dangerous,,,
10270513,hide,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
10270514,双雀姬·濑户彩,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
10270515,hide,hide,hide,hide,hide,瞳不会说完整的句子。但她什么都知道。比我知道得多。,DressingRoom,Coming_Dangerous,,,
10270516,hide,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
10270517,hide,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
10270518,hide,hide,hide,hide,hide,彩说这话的时候没看瞳。瞳也没看彩。但她们的手指在同一个节拍上同时张开。音乐停了。两个人停在了一个背对背的姿势里。彩的呼吸重了一点，瞳的呼吸完全听不到。,DressingRoom,Coming_Dangerous,,,
10270519,hide,hide,hide,hide,hide,彩转过来看我。,DressingRoom,Coming_Dangerous,,,
10270520,hide,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
10270521,双雀姬·濑户彩,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
10270522,hide,hide,hide,hide,hide,我们从小就这样。她不用说话我就知道她要什么。我说话的时候她已经在做了。,DressingRoom,Coming_Dangerous,,,
10270523,hide,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
10270524,hide,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
10270525,hide,hide,hide,hide,hide,瞳走到音响旁边，把音乐倒回去。手指按按键的动作很慢，但很准。她回头看了我一眼。第一次。眼睛很亮，像夜里的水洼，反着灯光。然后她走回彩身边。两个人的影子在地板上合在一起，分不出哪条是谁的。,DressingRoom,Coming_Dangerous,,,
10270526,hide,hide,hide,hide,hide,音乐重新开始。这次更快。她们的动作不再同步——而是互补。彩向左的时候瞳向右，彩蹲下的时候瞳站起。像一个人在照镜子，但镜子里的人做了不同的选择。,DressingRoom,Coming_Dangerous,,,
10270527,hide,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
