ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10040700,hide,hide,hide,hide,hide,"……地址换了。送到""十二飞鸟""。",ShoppingStreet,Silent_Night,,,
10040701,hide,hide,hide,hide,hide,,ShoppingStreet,Silent_Night,,,
10040702,hide,hide,hide,hide,hide,,ShoppingStreet,Silent_Night,,,
10040703,hide,hide,hide,hide,hide,付了钱，走出寝具店。阳光很好。章鱼烧摊前排着放学的学生。一切照常。但脚步比来的时候沉重。,BedStore,Silent_Night,,,
10040704,hide,hide,hide,hide,hide,谷川景子最后看我的那一眼，还留在视网膜上。不是责备。比责备更让人难受的东西。,BedStore,Silent_Night,,,
10040705,hide,hide,hide,hide,hide,下次。不要再犹豫了。,BedStore,Silent_Night,,,
10040706,hide,hide,hide,hide,hide,,BedStore,Silent_Night,,,
10040700,hide,hide,hide,hide,hide,什么时候。,Corridor,Silent_Night,,,
10040701,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10040702,雏鹃姬·芦田育子,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10040703,hide,hide,hide,hide,hide,上个星期。,Corridor,Silent_Night,,,
10040704,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10040705,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10040706,hide,hide,hide,hide,hide,声音很平淡。像是在说别人的事。,Corridor,Silent_Night,,,
10040707,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10040708,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10040709,hide,hide,hide,hide,hide,……为什么来这里。,Corridor,Silent_Night,,,
10040710,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10040711,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10040712,hide,hide,hide,hide,hide,问出口就知道很蠢。但还是问了。育子没有立刻回答。手指停在床单上，一动不动。,Corridor,Silent_Night,,,
10040713,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10040714,雏鹃姬·芦田育子,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10040715,hide,hide,hide,hide,hide,……美奈子说的。大阪有个工作，工资很高。陪客人聊天，一个月能赚三十万。,Corridor,Silent_Night,,,
10040716,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10040717,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10040718,hide,hide,hide,hide,hide,"美奈子。那个所谓的""朋友""。",Corridor,Silent_Night,,,
10040719,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10040720,雏鹃姬·芦田育子,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10040721,hide,hide,hide,hide,hide,爸爸走得早。妈妈在工厂做零件，腰已经不行了。弟弟还在读初中。,Corridor,Silent_Night,,,
10040722,hide,hide,hide,hide,hide,我说退学去打工，妈妈不同意。砸锅卖铁也要我读完高中。,Corridor,Silent_Night,,,
10040723,hide,hide,hide,hide,hide,所以……自己跑了。,Corridor,Silent_Night,,,
10040724,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10040725,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10040726,hide,hide,hide,hide,hide,手指又开始揪床单。拇指和食指夹一撮布料，搓过来，搓回去。,Corridor,Silent_Night,,,
10040727,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10040728,雏鹃姬·芦田育子,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10040729,hide,hide,hide,hide,hide,"到了大阪才知道，美奈子说的""陪客人聊天""……不是我理解的那种。",Corridor,Silent_Night,,,
10040730,hide,hide,hide,hide,hide,想跑。但那些人说，交通费和介绍费已经垫了。不还清的话就去老家找我妈。,Corridor,Silent_Night,,,
10040731,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10040732,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10040733,hide,hide,hide,hide,hide,声音开始发抖。,Corridor,Silent_Night,,,
10040734,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10040735,雏鹃姬·芦田育子,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10040736,hide,hide,hide,hide,hide,然后白鹤姐来了。看了我一眼，钱给了那些人。,Corridor,Silent_Night,,,
10040737,hide,hide,hide,hide,hide,她说，这个孩子我要了。,Corridor,Silent_Night,,,
10040738,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10040739,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10040740,hide,hide,hide,hide,hide,我看着她的侧脸。休息室的灯光很暗，只有墙角一盏夜灯投下暖黄色光圈。影子被拉得很长，投在米色的墙壁上。,RestRoom,Silent_Night,,,
10040741,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10040742,雏鹃姬·芦田育子,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10040743,hide,hide,hide,hide,hide,……黑羽经理。,RestRoom,Silent_Night,,,
10040744,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10040745,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10040746,hide,hide,hide,hide,hide,忽然抬起头看我。眼睛里没有眼泪。但那种干涩，比眼泪更让人难受。,RestRoom,Silent_Night,,,
10040747,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10040748,雏鹃姬·芦田育子,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
