ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10550301,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10550302,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10550303,hide,hide,hide,hide,hide,早上六点半。拉面店刚开门。暖帘挂出来了，布角在晨风里轻轻晃。店里的蒸汽比平时浓——大概是今天熬的骨头汤加了更多料。骨头汤的味道裹着昆布的鲜和葱花的辛，把整条街都染了一遍。我站在门口。育子已经到了。,RamenShop,Mixed_Emotion,,,
10550304,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10550305,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10550306,hide,hide,hide,hide,hide,她坐在靠窗的位置。不是以前只坐三分之一椅子的样子——背靠着椅背。但她的手放在桌上，手指在桌上画着看不见的圈。书包放在旁边。不是抱在胸前。但她的脚尖——还是向内并拢的。有些东西改不掉。她看到我，抬手。不是挥手——是手举到一半，停住了。然后放下。,RamenShop,Mixed_Emotion,,,
10550307,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10550308,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10550309,hide,hide,hide,hide,hide,我推门进去。风铃响了。师傅抬头看我，点了一下头。育子面前放着两碗拉面。两碗都是味噌。每碗加两个溏心蛋。和以前一样。但她没有动筷子。她只是看着碗里的汤。汤面上浮着一层薄薄的油脂，在灯光下泛着金色的光。,RamenShop,Mixed_Emotion,,,
10550310,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10550311,雏鹃姬·芦田育子,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10550312,hide,hide,hide,hide,hide,……经理。昨晚我做了一个梦。,RamenShop,Mixed_Emotion,,,
10550313,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10550314,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10550315,hide,hide,hide,hide,hide,她的声音很轻。不是以前那种挤出来的轻——是另一种。是憋着什么的轻。,RamenShop,Mixed_Emotion,,,
10550316,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10550317,雏鹃姬·芦田育子,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10550318,hide,hide,hide,hide,hide,梦见俱乐部空了。所有人都不在。大厅里的灯亮着。但没有人。桌上还有没喝完的茶。化妆间的镜子还亮着。但没有人。院子里的鸟窝还在树上。但鸟窝是空的。比空还空——连草的香味都没了。,DressingRoom,Mixed_Emotion,,,
10550319,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10550320,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10550321,hide,hide,hide,hide,hide,她停了一下。手指在桌上停下来。圈不画了。,DressingRoom,Mixed_Emotion,,,
10550322,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10550323,雏鹃姬·芦田育子,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10550324,hide,hide,hide,hide,hide,然后我醒了。醒了之后我闻不到任何味道。皂角味。拉面汤的味道。都没有。大概过了半分钟——皂角味回来了。但半分钟很长。经理。半分钟没有味道——比什么都可怕。,RamenShop,Mixed_Emotion,,,
10550325,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10550326,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10550327,hide,hide,hide,hide,hide,她抬起头。看着我。眼睛很大。但里面不是怯——是某种比怯更深的东西。是怕。不是怕自己出事。是怕所有人都不在了。她把筷子拿起来。递给我一双。然后自己拿起另一双。,RamenShop,Mixed_Emotion,,,
10550328,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10550329,雏鹃姬·芦田育子,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10550330,hide,hide,hide,hide,hide,经理。你不会走吧。,RamenShop,Mixed_Emotion,,,
10550331,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10550332,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10550333,hide,hide,hide,hide,hide,……不会。,RamenShop,Mixed_Emotion,,,
10550334,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10550335,雏鹃姬·芦田育子,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10550336,hide,hide,hide,hide,hide,"你说""不会""的时候——手指在桌上敲了一下。每次你说谎都会敲。从第一天到现在。一直这样。",RamenShop,Mixed_Emotion,,,
10550337,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10550338,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10550339,hide,hide,hide,hide,hide,我低头看自己的手。手指在桌面上停着。刚才敲了——我自己不知道。育子把筷子插进面里。夹起来。吃了一口。然后放下。,RamenShop,Mixed_Emotion,,,
10550340,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10550341,雏鹃姬·芦田育子,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10550342,hide,hide,hide,hide,hide,没关系。你说谎也没关系。你在这里就够了。走不走——是你的事。但你不走——是我的希望。我知道希望可能是假的。但假的希望也是希望。,RamenShop,Mixed_Emotion,,,
