ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10170601,hide,hide,hide,hide,hide,,DressingRoom,Warm_Encounter,,,
10170602,hide,hide,hide,hide,hide,,DressingRoom,Warm_Encounter,,,
10170603,hide,hide,hide,hide,hide,凌晨两点。睡不着。翻盖机放在枕边。屏幕黑着——佐藤今晚没有消息。,DressingRoom,Silent_Night,,,
10170604,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10170605,hide,hide,hide,hide,hide,"我把增田那条消息从加密分区里调出来。已经重读了很多遍，几乎可以背下来了——""明天之前必须见面。老地方。重要情报。""每个词都还是原来的排列方式，没有变。但每多读一遍就多一个不同的解释——""老地方""是真的老地方吗？还是他想说的老地方已经被人改过了？""重要情报""是单数还是复数？什么东西重要到他说完之后就不在了？",DressingRoom,Mystery_Box,,,
10170606,hide,hide,hide,hide,hide,,DressingRoom,Mystery_Box,,,
10170607,hide,hide,hide,hide,hide,"退出加密分区。把手机屏幕朝下放在枕边。闭上眼睛。天花板上那块霉斑不需要光线也能被感知——它在那里，和增田那条消息一样，和春奈那句""希望你不需要变成鬼魂""一样。",DressingRoom,Mystery_Box,,,
10170608,hide,hide,hide,hide,hide,,DressingRoom,Mystery_Box,,,
10170609,hide,hide,hide,hide,hide,厨房里的冰箱压缩机嗡了一声，然后停了。整个公寓沉进一种很深的安静。不是没有声音——是声音都被夜晚吸走了，只剩自己的心跳。心跳声从胸腔传进枕头，又从枕头传回耳朵。一下。一下。像是有人在很远处敲门。或者是有人在很远处——被门关在外面。,Apartment,Silent_Night,,,
10170610,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10170611,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
