ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10200701,hide,hide,hide,hide,hide,,VIP_Room,Unreal_Memory,,,
10200702,hide,hide,hide,hide,hide,,VIP_Room,Unreal_Memory,,,
10200703,hide,hide,hide,hide,hide,零点刚过。俱乐部打烊，大厅的灯灭了一半，走廊里只有安全出口的绿色指示灯。白鹤姬的办公室门开着。不是忘记关。是等着。,Corridor,Unreal_Memory,,,
10200704,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10200705,白鹤姬·桂原雪代,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10200706,hide,hide,hide,hide,hide,进来。,Corridor,Unreal_Memory,,,
10200707,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10200708,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10200709,hide,hide,hide,hide,hide,她的声音和平时一样——平稳，像用尺子量过的布料，每一寸都是精确的。办公室里点着一盏台灯，光只照亮桌面。她在灯后面，脸一半在光里一半在阴影中。桌上放着一本皮革封面的账簿。不是俱乐部那个。那本的封面是黑色的。这本是酒红色。更旧。边角磨出了里面的纸板。,Manager_Office,Unreal_Memory,,,
10200710,hide,hide,hide,hide,hide,,Manager_Office,Unreal_Memory,,,
10200711,白鹤姬·桂原雪代,hide,hide,hide,hide,,Manager_Office,Unreal_Memory,,,
10200712,hide,hide,hide,hide,hide,坐。,Manager_Office,Unreal_Memory,,,
10200713,hide,hide,hide,hide,hide,,Manager_Office,Unreal_Memory,,,
10200714,hide,hide,hide,hide,hide,,Manager_Office,Unreal_Memory,,,
10200715,hide,hide,hide,hide,hide,我坐下。椅子的皮面很凉。她面前的烟灰缸里有三个烟蒂，都是同一个牌子的。她抽烟的时候从来不让人看见。但烟蒂不会说谎。她把账簿转过来，推到我面前。翻开的那一页，密密麻麻的数字。有些是用铅笔写的，有些是钢笔。字迹不一样——不是一个人记的。,Manager_Office,Unreal_Memory,,,
10200716,hide,hide,hide,hide,hide,,Manager_Office,Unreal_Memory,,,
10200717,白鹤姬·桂原雪代,hide,hide,hide,hide,,Manager_Office,Unreal_Memory,,,
10200718,hide,hide,hide,hide,hide,你看了那本黑皮的。对吗。,Manager_Office,Unreal_Memory,,,
10200719,hide,hide,hide,hide,hide,,Manager_Office,Unreal_Memory,,,
10200720,hide,hide,hide,hide,hide,,Manager_Office,Unreal_Memory,,,
10200721,hide,hide,hide,hide,hide,不是问句。是陈述。空气里的烟味突然变重了。不是她刚抽的——是那种在窗帘里、地毯里、墙纸里积了很久的烟味。冷冷的，像旧报纸。,Manager_Office,Unreal_Memory,,,
10200722,hide,hide,hide,hide,hide,,Manager_Office,Unreal_Memory,,,
10200723,hide,hide,hide,hide,hide,,Manager_Office,Unreal_Memory,,,
10200724,hide,hide,hide,hide,hide,……对。,Manager_Office,Unreal_Memory,,,
10200725,hide,hide,hide,hide,hide,,Manager_Office,Unreal_Memory,,,
10200726,白鹤姬·桂原雪代,hide,hide,hide,hide,,Manager_Office,Unreal_Memory,,,
10200727,hide,hide,hide,hide,hide,那本是假的。,Manager_Office,Unreal_Memory,,,
10200728,hide,hide,hide,hide,hide,,Manager_Office,Unreal_Memory,,,
10200729,hide,hide,hide,hide,hide,,Manager_Office,Unreal_Memory,,,
10200730,hide,hide,hide,hide,hide,她说这句话的时候，用指尖点了点酒红色的封面。指甲没有涂颜色，只修得很整齐。这个动作很轻，但账簿的分量——皮革、纸张、数字——像是突然压在了我的胸口。,Manager_Office,Unreal_Memory,,,
10200731,hide,hide,hide,hide,hide,,Manager_Office,Unreal_Memory,,,
10200732,白鹤姬·桂原雪代,hide,hide,hide,hide,,Manager_Office,Unreal_Memory,,,
10200733,hide,hide,hide,hide,hide,这本是真的。我想让你看。,Manager_Office,Unreal_Memory,,,
10200734,hide,hide,hide,hide,hide,,Manager_Office,Unreal_Memory,,,
10200735,hide,hide,hide,hide,hide,,Manager_Office,Unreal_Memory,,,沉默了很久
10200736,hide,hide,hide,hide,hide,……为什么。,Manager_Office,Unreal_Memory,,,
10200737,hide,hide,hide,hide,hide,,Manager_Office,Unreal_Memory,,,
10200738,白鹤姬·桂原雪代,hide,hide,hide,hide,,Manager_Office,Unreal_Memory,,,
10200739,hide,hide,hide,hide,hide,因为你很安静。安静的人——要么是什么都不想，要么是什么都想了。,Manager_Office,Silent_Night,,,
10200740,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10200741,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10200742,hide,hide,hide,hide,hide,她把账簿翻了一页。纸页之间的摩擦声在安静的房间里出奇地清晰。那一页记录的不是金额。是人名。代号。数字。代号后面跟着数字，数字后面跟着日期。像一份体检报告。只是每行最后那个数字，代表的东西不一样。,Manager_Office,Silent_Night,,,
10200743,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10200744,白鹤姬·桂原雪代,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10200745,hide,hide,hide,hide,hide,黑羽——你来这家店多久了。,Manager_Office,Silent_Night,,,
10200746,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10200747,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10200748,hide,hide,hide,hide,hide,……快四个月。,Manager_Office,Silent_Night,,,
10200749,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10200750,白鹤姬·桂原雪代,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10200751,hide,hide,hide,hide,hide,四个月。时间不长。但你看到的——比很多人一年看到的都多。,Manager_Office,Silent_Night,,,
10200752,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10200753,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10200754,hide,hide,hide,hide,hide,她合上账簿。皮革封面落下去，发出一声闷响。她把手放在封面上。手指很白，指节分明。不是纤细的那种白，是冷的白。像冬天窗台上的霜。,Manager_Office,Silent_Night,,,
10200755,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10200756,白鹤姬·桂原雪代,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10200757,hide,hide,hide,hide,hide,所以我要问你一个问题。,Manager_Office,Silent_Night,,,
10200758,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10200759,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10200760,hide,hide,hide,hide,hide,台灯闪了一下。不是电压的问题。是灯泡老了。光晃过去再回来，她脸上的阴影换了位置。,Manager_Office,Unreal_Memory,,,
10200761,hide,hide,hide,hide,hide,,Manager_Office,Unreal_Memory,,,
10200762,白鹤姬·桂原雪代,hide,hide,hide,hide,,Manager_Office,Unreal_Memory,,,
10200763,hide,hide,hide,hide,hide,你站在哪一边。,Manager_Office,Unreal_Memory,,,
