ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10180601,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10180602,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10180603,hide,hide,hide,hide,hide,凌晨十二点半。客人都走了。我打算锁办公室回家。路过走廊的时候，看到茶室的门开了一条线。,Corridor,Silent_Night,,,
10180604,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10180605,hide,hide,hide,hide,hide,桂原雪代从里面出来。换了衣服——不是和服，是深灰色的便装，外面套了一件薄风衣。头发散在肩上，那支白色羽毛发饰今天没有戴。她在走廊里看到我，停了一下。今天没有那张按测好距离摆放的脸。,Corridor,Silent_Night,,,
10180606,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10180607,白鹤姬·桂原雪代,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10180608,hide,hide,hide,hide,hide,去见一个人。老客户。不用等。,Corridor,Silent_Night,,,
10180609,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10180610,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10180611,hide,hide,hide,hide,hide,"这是第一次她跟我解释去了哪里。和上次的""老客户""不同。语气是淡的，不是冷的，但也没有温度。更像是——对你没有设防。她走向前门。门口的廊灯把她的影子先送出了门，然后她自己跟着影子出去了。门在她身后轻轻合上。风衣的一角被门夹了一下，她还抽了一下袖子。",Corridor,Silent_Night,,,
10180612,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10180613,hide,hide,hide,hide,hide,我走向窗口。看到桂原雪代走在大街上。没有车接她，没有人等她。街灯把她的背影拖得很长。从俱乐部往下看的时候她只是街上所有陌生人中的一个。,Corridor,Silent_Night,,,
10180614,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10180615,hide,hide,hide,hide,hide,我站在窗前。手里握着口袋里的那把黄铜钥匙。钥匙已经被体温晤得没有金属的凉意了。今晚茶室的门是开着的。但我不会进去。有些事不必今晚做。,Corridor,Silent_Night,,,
10180616,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10180617,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
