ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10580301,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10580302,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10580303,hide,hide,hide,hide,hide,清晨的俱乐部里有一种不完整的静。不是安静——是少了什么。走廊里只有五个人的脚步声。平时应该是更多的。更杂的。空气里有咖啡和烤面包的味道——育子今天早起做了早餐。烤面包的边缘有点焦，焦香飘了一整条走廊。,Corridor,Silent_Night,,,
10580304,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10580305,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10580306,hide,hide,hide,hide,hide,休息室的灯亮着。但化妆镜前只坐了五个人。春奈在贴假睫毛——不是给自己贴，是帮育子贴。育子闭着眼睛，睫毛在微微发颤。景子在旁边看着，手里拿着一条叠好的毛巾。紫靠在沙发上，面前摊着塔罗牌，但没有翻。夏实在窗边，背对着所有人，看着外面。,RestRoom,Silent_Night,,,
10580307,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10580308,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10580309,hide,hide,hide,hide,hide,少了四个人。青鹭不在——星野葵昨晚就离开了俱乐部，带着她的公文包去了某个匿名投递点。夜鸢不在——美咲蔷薇在她的私人房间里整理黑皮书的最后几页，用她自己的密码重新编码。朱雀不在——Linda在市区某个安全屋里和她的Interpol同事做最后的通讯检查。银鹮不在——丽莎今天一早就去了银行，把转账的最后一步设置好。,RestRoom,Mystery_Box,,,
10580310,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10580311,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10580312,hide,hide,hide,hide,hide,十二飞鸟。今天早上在俱乐部的，只有八个。育子睁开眼睛。春奈把最后一根假睫毛按好。育子对着镜子看了看。眨了两下眼。睫毛没掉。,RestRoom,Mixed_Emotion,,,
10580313,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10580314,雏鹃姬·芦田育子,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10580315,hide,hide,hide,hide,hide,……不会掉了。,RestRoom,Mixed_Emotion,,,
10580316,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10580317,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10580318,hide,hide,hide,hide,hide,"她说这句话的时候，语气和说""地擦完了""一样。不是自豪。是确认。景子把毛巾放在她桌上。紫把一张牌翻过来——正位的星。她看着星，没有笑。只是看了一会儿。然后把它收回去。",RestRoom,Mixed_Emotion,,,
10580319,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
