ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10380301,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10380302,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10380303,hide,hide,hide,hide,hide,收音机里的警报声很尖。女播音员的声音平稳但急促——「大型台风将于今晚八时前后登陆大阪湾。请市民做好避难准备。」外面的天已经阴了。不是下雨的那种阴——是台风前的那种阴。云很低，跑得很快，像有人在上面赶着它们走。,Club_away,Mixed_Emotion,,,
10380304,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10380305,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10380306,hide,hide,hide,hide,hide,空气里有一种很重的湿气。混着泥土和柏油的味道。还没下雨，但空气已经喝饱了水。俱乐部门口的招牌在风里晃，发出生锈铰链的吱嘎声。街上的行人都在快走。有人手里拿着刚买的胶带，大概是回去封窗户。,Club_away,Mixed_Emotion,,,
10380307,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10380308,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10380309,hide,hide,hide,hide,hide,雪代站在大厅中间。她抬头看了一眼天花板上的吊灯——灯在轻微晃动。然后她转过来，声音很平静。,Club_lobby,Mixed_Emotion,,,
10380310,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10380311,白鹤姬·桂原雪代,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10380312,hide,hide,hide,hide,hide,今晚歇业。,Club_lobby,Mixed_Emotion,,,
10380313,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10380314,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10380315,hide,hide,hide,hide,hide,她说完就走向厨房。开始清点蜡烛和手电筒。她的动作不快，但很准确——每一件东西放在哪里都记得。好像她经历过很多次台风。或者比台风更坏的东西。,Club_lobby,Mixed_Emotion,,,
10380316,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10380317,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10380318,hide,hide,hide,hide,hide,收音机又响了一轮。这次是暴雨警报。我走到窗边。街上已经没有人了。一个塑料袋被风卷起来，在空中翻了几圈，然后消失在灰色里。空气里除了湿土的味道，又多了一种铁腥味——大概是远处的海在翻。,Club_lobby,Mixed_Emotion,,,
10380319,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
