ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10350601,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10350602,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10350603,hide,hide,hide,hide,hide,深夜的俱乐部已经关了门。外面的招牌灯熄了，街上一片暗。茶室里只亮着一盏小灯，光线刚好够看清对面的脸。村上道也坐在那里，穿便服。没有警徽，没有制服。但他坐的姿势——膝盖分开，双手放在膝盖上——是警察的坐法。,RestRoom,Silent_Night,,,
10350604,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10350605,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10350606,hide,hide,hide,hide,hide,空气里有抹茶的苦味。还有他身上的味道——某种很淡的古龙水，和烟草混在一起。他面前放了一杯茶。没有喝。,RestRoom,Silent_Night,,,
10350607,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10350608,村上道也,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10350609,hide,hide,hide,hide,hide,佐藤的事，我很遗憾。,RestRoom,Silent_Night,,,
10350610,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10350611,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10350612,hide,hide,hide,hide,hide,"他说这句话的时候看着茶杯。语气很平。不是那种官方的""遗憾""。是某种更私人的东西。他抬起头看我。眼睛不大，眼神很稳。是那种见过很多事的人的眼睛。",RestRoom,Silent_Night,,,
10350613,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10350614,村上道也,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10350615,hide,hide,hide,hide,hide,我知道你在想什么。佐藤被抓，是我举报的。,RestRoom,Silent_Night,,,
10350616,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10350617,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10350618,hide,hide,hide,hide,hide,他停了一下。观察我的反应。我没有任何反应。他微微点了一下头，像是认可了这个反应。,RestRoom,Silent_Night,,,
10350619,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10350620,村上道也,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10350621,hide,hide,hide,hide,hide,不是因为我正义。是因为他太不小心了。他暴露了之后，整个网络会反过来查到我。,RestRoom,Silent_Night,,,
10350622,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10350623,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10350624,hide,hide,hide,hide,hide,他把茶杯端起来。在手里转了一圈。没有喝。放回去。杯底碰到托盘的声音很轻。,RestRoom,Silent_Night,,,
10350625,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10350626,村上道也,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10350627,hide,hide,hide,hide,hide,我今天来不是作为警察。是作为一个人——一个也在查这件事的人。,RestRoom,Silent_Night,,,
10350628,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10350629,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10350630,hide,hide,hide,hide,hide,他站起来。从怀里掏出一张名片，放在桌上。名片上没有警衔，只有一个名字和一个电话号码。,RestRoom,Silent_Night,,,
10350631,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10350632,村上道也,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10350633,hide,hide,hide,hide,hide,如果有我帮得上的。打这个电话。不打也可以。名片你可以扔掉。,RestRoom,Silent_Night,,,
10350634,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10350635,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10350636,hide,hide,hide,hide,hide,他走到门口。门是推拉门，他拉了一下没拉动。他笑了笑，把门往另一边推。门开了。他在门口停了一秒。,RestRoom,Silent_Night,,,
10350637,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10350638,村上道也,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10350639,hide,hide,hide,hide,hide,这个城市的月亮，最近太亮了。,RestRoom,Silent_Night,,,
10350640,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10350641,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10350642,hide,hide,hide,hide,hide,他走了。门没有关严。月光从门缝里漏进来，在地板上画了一条很细的白线。桌上的名片还在。我没有扔。也没有收。它就放在那里，像一颗还没落下的棋子。,RestRoom,Silent_Night,,,
10350643,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
