ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10080501,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10080502,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10080503,hide,hide,hide,hide,hide,傍晚五点半。距离开店还有半小时。,Apartment,Silent_Night,,,
10080504,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10080505,hide,hide,hide,hide,hide,"我在走廊里核对当日的酒水单。走廊尽头的那扇黑色门打开了。那扇门平时只在营业时开启，而且只对特定的客人——预约单上标注了""特别课程""的那一类。门上没有号码。只有一个烫金的鸢尾花纹章。",Corridor,Silent_Night,,,
10080506,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10080507,hide,hide,hide,hide,hide,美咲蔷薇站在门口。紫色的长发垂到腰际。今天穿的是一件暗红色的皮革束腰，手腕上的金属链在走廊灯光下泛着冷光。她没有说话。只是用眼睛看了我一眼，然后微微侧头——往房间里示意。那不是一个邀请。是一个允许。,Corridor,Silent_Night,,,
10080508,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10080509,hide,hide,hide,hide,hide,房间比想象中安静。,Corridor,Silent_Night,,,
10080510,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10080511,hide,hide,hide,hide,hide,没有想象中的铁链和刑架。更像一间私人的图书室——深色的木质书架上排满了皮革封面的书，空气中有一股淡淡的皮革保养油和旧纸张混合的味道。墙角有一盏落地灯，光线调到了最暗的那一档。茶几上放着一壶正在加热的红茶。旁边是一本摊开的黑色笔记本。,Corridor,Silent_Night,,,
10080512,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10080513,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10080514,hide,hide,hide,hide,hide,坐。,Corridor,Silent_Night,,,
10080515,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10080516,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10080517,hide,hide,hide,hide,hide,她指了指茶几对面的单人沙发。我坐下。沙发比看起来深——坐下去之后视野突然变低了，像是被房间吞进去了一截。,Corridor,Silent_Night,,,
10080518,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10080519,hide,hide,hide,hide,hide,她倒了两杯红茶。动作很慢，每一个手势都像仪式的一部分。然后把其中一杯推到我面前。红茶的蒸汽在她紫色的眼睛前面拐了一个弯。,Corridor,Silent_Night,,,
10080520,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10080521,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10080522,hide,hide,hide,hide,hide,最近你在打听一些不该打听的事。经理。,Corridor,Silent_Night,,,
10080523,hide,hide,hide,hide,hide,"——我对""不该打听的事""很有兴趣。",Corridor,Silent_Night,,,
10080524,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10080525,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10080526,hide,hide,hide,hide,hide,她翻开那本黑色笔记本。纸张很薄，字迹非常小，每一页都写满了密密麻麻的笔记。日期、地点、人名、数字。有些用红笔圈起来，旁边标注了缩写。有些被人用铅笔划掉了——不是删除，是在名字上打了一个×。,Corridor,Silent_Night,,,
10080527,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10080528,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10080529,hide,hide,hide,hide,hide,你在打听的事情——关于半年前死在店里的那个议员秘书——我刚好有一些信息。,Corridor,Silent_Night,,,
