ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10590101,hide,hide,hide,hide,hide,Day 59：倒计时·裂痕 — END-B 路线,Club_away,Mixed_Emotion,,,
10590201,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10590202,hide,hide,hide,hide,hide,[事件链],Club_away,Mixed_Emotion,,,
10590203,hide,hide,hide,hide,hide,清晨  #2317  最后的早餐      所有人一起吃·但沉默比话多,Club_away,Mixed_Emotion,,,
10590204,hide,hide,hide,hide,hide,"下午  #2318  春奈的决意      她对着镜子说""明天——我会比所有人都快""",Club_away,Mixed_Emotion,,,
10590205,hide,hide,hide,hide,hide,"傍晚  #2319  葵的缺口        她对着两盘磁带中间的空位·""对不起""",Club_away,Mixed_Emotion,,,
10590206,hide,hide,hide,hide,hide,"深夜  #2320  雪代的最后试探  茶室里·""明天。我会做选择。你准备好了吗""",Club_away,Mixed_Emotion,,,
10590207,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10590301,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10590302,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10590303,hide,hide,hide,hide,hide,早上七点。厨房里飘出味噌汤的味道。和以前一样。味噌、豆腐、海带、葱花。但今天的汤——咸了一点。景子多放了一勺味噌。她尝了一口。皱了皱眉。没有重做。只是把火关了。把汤倒进碗里。育子在切葱花。切得比以前好了——大小均匀。但她切完之后没有放下刀。只是拿着。刀在手里停了几秒。然后放下。,Club_away,Mixed_Emotion,,,
10590304,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10590305,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10590306,hide,hide,hide,hide,hide,厨房里还有咖啡的味道。紫站在咖啡机前面。等着。今天她没忘放糖。糖放在咖啡杯旁边。但她没有放。只是看着咖啡一滴一滴落在玻璃壶里。夏实走进来。头发没梳。双马尾歪了。她拿起一杯咖啡。喝了一口。,Cafe,Mixed_Emotion,,,
10590307,hide,hide,hide,hide,hide,,Cafe,Mixed_Emotion,,,
10590308,黄鹂姬·日向夏实,hide,hide,hide,hide,,Cafe,Mixed_Emotion,,,
10590309,hide,hide,hide,hide,hide,……还是苦的。,Cafe,Mixed_Emotion,,,
10590310,hide,hide,hide,hide,hide,,Cafe,Mixed_Emotion,,,
10590311,神鸦姬·神乐坂紫,hide,hide,hide,hide,,Cafe,Mixed_Emotion,,,
10590312,hide,hide,hide,hide,hide,今天忘了放糖。,Cafe,Mixed_Emotion,,,
10590313,hide,hide,hide,hide,hide,,Cafe,Mixed_Emotion,,,
