ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10300601,hide,hide,hide,hide,hide,,Rooftop,Melancholy_Rain,,,
10300602,hide,hide,hide,hide,hide,,Rooftop,Melancholy_Rain,,,
10300603,hide,hide,hide,hide,hide,凌晨两点。手机放在桌上，屏幕亮着。最后一次通话记录——佐藤正义，四十一个小时前。通话时长四分钟。之后所有电话全部转到语音信箱。不是关机——是接不通。响三声断掉，连留言的机会都不给。,Rooftop,Silent_Night,,,
10300604,hide,hide,hide,hide,hide,我用公用电话打了一次——换了一个号码。通了。一个陌生的男声接的。,Rooftop,Silent_Night,,,
10300605,hide,hide,hide,hide,hide,,Rooftop,Silent_Night,,,
10300606,陌生男声,hide,hide,hide,hide,,Rooftop,Silent_Night,,,
10300607,hide,hide,hide,hide,hide,这里是大阪府警内务部。请问您找哪位。,Rooftop,Silent_Night,,,
10300608,hide,hide,hide,hide,hide,,Rooftop,Silent_Night,,,
10300609,hide,hide,hide,hide,hide,,Rooftop,Silent_Night,,,
10300610,hide,hide,hide,hide,hide,我说找佐藤正义。那头沉默了三秒。然后换了一个人。声音更老，更慢。,Rooftop,Silent_Night,,,
10300611,hide,hide,hide,hide,hide,,Rooftop,Silent_Night,,,
10300612,陌生男声2,hide,hide,hide,hide,,Rooftop,Silent_Night,,,
10300613,hide,hide,hide,hide,hide,佐藤目前不在职。如果您有案件需要处理，请联系他的上级——村上警部。,Rooftop,Silent_Night,,,
10300614,hide,hide,hide,hide,hide,,Rooftop,Silent_Night,,,
10300615,hide,hide,hide,hide,hide,,Rooftop,Silent_Night,,,
10300616,hide,hide,hide,hide,hide,挂了。我又用另一个号码查关押记录。大阪府警的羁押系统里查不到佐藤正义。拘留所没有。看守所没有。东京地检的临时留置名单也没有。他不在任何应该在的地方。,Rooftop,Silent_Night,,,
10300617,hide,hide,hide,hide,hide,我把手机放在账簿旁边。屏幕自动暗了。房间里只剩台灯——灯泡用了很久，光线偏黄，把墙上挂钟的影子拉得很长。钟的秒针在走。每一下都听得见。,Rooftop,Silent_Night,,,
10300618,hide,hide,hide,hide,hide,"通讯录翻到佐藤的名字。删了。又输回去。删了。又输回去。最后留在那里。我关掉手机。屏幕暗下去的时候，映出我自己的脸。和雪代照片里那个女孩的姿势有点像——不是笑。是有人在说""往前走吧""，就往前走了。",Rooftop,Silent_Night,,,
10300619,hide,hide,hide,hide,hide,,Rooftop,Silent_Night,,,
