ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10230701,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10230702,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10230703,hide,hide,hide,hide,hide,凌晨一点。VIP区最后一桌客人刚走。沙发上的靠垫东倒西歪，茶几上堆着空杯子和烟灰缸。空气里有雪茄的余味——很厚重，像一块挂在房间里的呢绒。Linda在收拾杯子。她的动作很大，玻璃杯在托盘里叮叮当当响。但她哼着歌。一首俄语歌。旋律很轻快，和她在做的杂务完全不搭。,VIP_Room,Silent_Night,,,
10230704,hide,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10230705,朱雀姬·Linda,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,看到我，笑容灿烂
10230706,hide,hide,hide,hide,hide,经理——要不要帮忙？我已经收完了。今天效率一百分。,VIP_Room,Silent_Night,,,
10230707,hide,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10230708,hide,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10230709,hide,hide,hide,hide,hide,"她说""一百分""的时候举起了手里的抹布。抹布上沾着红酒渍，在灯光下像一朵暗色的花。她的金发在暖色灯光里变成了蜂蜜的颜色。她的笑和平时一样——大的，亮的，没有任何遮掩。但今晚——笑完之后，她的眼神没有移开。一直在看我。",VIP_Room,Silent_Night,,,
10230710,hide,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10230711,朱雀姬·Linda,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10230712,hide,hide,hide,hide,hide,经理——你看起来很累。,VIP_Room,Silent_Night,,,
10230713,hide,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10230714,hide,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10230715,hide,hide,hide,hide,hide,……还好。,VIP_Room,Silent_Night,,,
10230716,hide,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10230717,朱雀姬·Linda,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10230718,hide,hide,hide,hide,hide,不是还好。是累。我认识累的人。因为我也是累的人。,VIP_Room,Silent_Night,,,
10230719,hide,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10230720,hide,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10230721,hide,hide,hide,hide,hide,她把托盘放在吧台上，在我旁边坐下。沙发是真皮的，坐下去的时候发出一声很深的叹息。她靠得很近。不是那种刻意靠近——是她的个人空间本来就比别人小。她身上有一股淡淡的松木味——不是香水，是某种俄罗斯的沐浴露。很冷，很清。,VIP_Room,Silent_Night,,,
10230722,hide,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10230723,朱雀姬·Linda,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,声音突然降下来，俄语口音变重了
10230724,hide,hide,hide,hide,hide,经理——我跟你说一个秘密。,VIP_Room,Mystery_Box,,,
10230725,hide,hide,hide,hide,hide,,VIP_Room,Mystery_Box,,,
10230726,hide,hide,hide,hide,hide,,VIP_Room,Mystery_Box,,,
10230727,hide,hide,hide,hide,hide,……什么。,VIP_Room,Mystery_Box,,,
10230728,hide,hide,hide,hide,hide,,VIP_Room,Mystery_Box,,,
10230729,朱雀姬·Linda,hide,hide,hide,hide,,VIP_Room,Mystery_Box,,,
10230730,hide,hide,hide,hide,hide,我也是卧底。,VIP_Room,Mystery_Box,,,
10230731,hide,hide,hide,hide,hide,,VIP_Room,Mystery_Box,,,
10230732,hide,hide,hide,hide,hide,,VIP_Room,Mystery_Box,,,
10230733,hide,hide,hide,hide,hide,她的声音很轻。轻到这句话说完之后，我怀疑自己听错了。VIP区的音乐还在放——一首很慢的爵士，萨克斯在低音区徘徊。她的眼睛是蓝色的。在暖色灯光下，蓝得很深，像冬天结冰的湖面。她看我的眼神没有变。还是带着笑。但笑的内容变了。,VIP_Room,Mystery_Box,,,
10230734,hide,hide,hide,hide,hide,,VIP_Room,Mystery_Box,,,
10230735,hide,hide,hide,hide,hide,,VIP_Room,Mystery_Box,,,沉默了很长时间
10230736,hide,hide,hide,hide,hide,……哪边的。,VIP_Room,Mystery_Box,,,
10230737,hide,hide,hide,hide,hide,,VIP_Room,Mystery_Box,,,
