ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10110601,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10110602,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10110603,hide,hide,hide,hide,hide,凌晨十二点半。最后一组客人走了。化妆间的灯还亮着。门没有完全关上。里面传来很轻的哭声——不是嚎啕大哭。是那种捂在掌心里的、断成一小段一小段的啜泣。,DressingRoom,Silent_Night,,,
10110604,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10110605,hide,hide,hide,hide,hide,推开门。小野南梨坐在角落的椅子上，膝盖蜷起来，额头抵在膝盖上。电光蓝的发尾从棒球帽下面散出来，贴在脸颊湿漉漉的皮肤上。她没有化妆。没有遮瑕膏。左前臂内侧的淤青大刺刺地暴露在日光灯下——青紫色，边缘泛黄，比上次化妆间里看到的那块更大。,DressingRoom,Silent_Night,,,
10110606,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10110607,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10110608,hide,hide,hide,hide,hide,……南梨。,DressingRoom,Silent_Night,,,
10110609,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10110610,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10110611,hide,hide,hide,hide,hide,她抬起头。眼睛很红。但看到我之后，第一反应还是笑了——那种条件反射式的、和内容完全无关的笑。,DressingRoom,Silent_Night,,,
10110612,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10110613,早莺姬·小野南梨,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10110614,hide,hide,hide,hide,hide,……经理。对不起——我今天没化妆。很难看吧。,DressingRoom,Silent_Night,,,
10110615,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10110616,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10110617,hide,hide,hide,hide,hide,她用袖子擦脸。擦完之后袖口上多了一片深色的水渍。然后把手放下来，手臂上的淤青再一次暴露。这次她没有藏。,DressingRoom,Silent_Night,,,
10110618,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10110619,早莺姬·小野南梨,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10110620,hide,hide,hide,hide,hide,今天是化疗日。他从医院回来之后——不是很痛。治疗本身不痛。是药让他想吐。他一直吐，一直吐。吐到最后没有东西了，他就开始生气。生自己的气。生治疗的气。然后——气在我身上。,Hospital,Silent_Night,,,
10110621,hide,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10110622,hide,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10110623,hide,hide,hide,hide,hide,她看着那片淤青。,Hospital,Silent_Night,,,
10110624,hide,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10110625,早莺姬·小野南梨,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10110626,hide,hide,hide,hide,hide,他掐完之后哭了。抱着我一直说对不起。说他知道自己快不行了。说他怕死了以后没有人照顾我——这是最奇怪的部分。他怕死了以后没有人照顾我。所以他在活着的时候伤害我。,Hospital,Silent_Night,,,
10110627,hide,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10110628,hide,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10110629,hide,hide,hide,hide,hide,她把手放在那片淤青上。不是遮。是盖住。像给它盖一条看不见的毯子。,Hospital,Silent_Night,,,
10110630,hide,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10110631,早莺姬·小野南梨,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10110632,hide,hide,hide,hide,hide,"经理。我今天不想回家。怕他又哭。怕自己又觉得""他也很难受，所以我的难受不重要""。这两种想法在脑子里打架——打了一整晚。头疼得想吐。可以在休息室沙发上躺一晚吗。",RestRoom,Silent_Night,,,
10110633,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10110634,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10110635,hide,hide,hide,hide,hide,……可以。我给你拿条毯子。,RestRoom,Silent_Night,,,
10110636,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10110637,早莺姬·小野南梨,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10110638,hide,hide,hide,hide,hide,谢谢。,RestRoom,Silent_Night,,,
10110639,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10110640,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10110641,hide,hide,hide,hide,hide,她说谢谢的时候没有抬头。但眼泪又下来了。这次落在膝盖上，深色的牛仔裤被染成几块不规则的更深的颜色。膝盖抖得很厉害。她把自己的手按在膝盖上。按住。用力到指节发白。,RestRoom,Silent_Night,,,
10110642,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10110643,hide,hide,hide,hide,hide,我走出化妆间。去储物柜里拿了一条没用过的毛毯。走廊里没有人。应急灯很暗。回到化妆间的时候，她已经靠在椅背上，眼睛闭着。呼吸很浅。睫毛是湿的。,Corridor,Silent_Night,,,
10110644,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10110645,hide,hide,hide,hide,hide,我把毯子盖在她身上。毯子是灰色的，很薄。她缩进去的时候整个人看起来只有一个靠垫那么大。,Corridor,Silent_Night,,,
10110646,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10110647,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
