ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10440301,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10440302,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10440303,hide,hide,hide,hide,hide,电话铃响的时候，休息室里只有景子一个人。她正在擦镜子——用一块旧棉布，从镜子的左上角擦到右下角。一圈一圈，很有耐心。镜子上本来也没多少灰。她大概是在等什么。等小澪打来电话，或者等这一天必须面对的事情。,RestRoom,Silent_Night,,,
10440304,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10440305,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10440306,hide,hide,hide,hide,hide,空气里有玻璃清洁剂的氨水味。很刺鼻，但很干净。窗外的晨光还很薄，从窗户里照进来，落在镜子上，被反射到天花板上。一块一块的光斑在晃。电话铃又响了一声。她把棉布放在桌上，走过去接电话。,RestRoom,Unreal_Memory,,,
10440307,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10440308,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10440309,hide,hide,hide,hide,hide,话筒很凉。她拿起来的时候，手指在话筒上停了一下。然后才放到耳边。不是因为犹豫——是因为她看到了电话机旁边的来电显示。一个小屏幕，绿色的数字。上面显示了一个她认识的号码。,RestRoom,Unreal_Memory,,,
10440310,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10440311,巢燕姬·谷川景子,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10440312,hide,hide,hide,hide,hide,……喂。,RestRoom,Unreal_Memory,,,
10440313,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10440314,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10440315,hide,hide,hide,hide,hide,电话那头的声音很低。不是那种刻意压低——是那个人平时就这样说话。不需要大声。不需要快。因为他知道对面的人会听完每一个字。,RestRoom,Unreal_Memory,,,
10440316,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10440317,黑田康正（电话音）,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10440318,hide,hide,hide,hide,hide,景子。晚宴前考虑清楚。,RestRoom,Unreal_Memory,,,
10440319,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10440320,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10440321,hide,hide,hide,hide,hide,景子的手握紧了话筒。话筒的塑料壳在她掌心里发出很轻的嘎吱声。她没有说话。她听着。窗外的阳光慢慢移到了电话机上。绿屏幕上的数字被阳光盖住了，看不清楚了。,RestRoom,Unreal_Memory,,,
10440322,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10440323,黑田康正（电话音）,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10440324,hide,hide,hide,hide,hide,帝国酒店。1802号房。11点。我等你到12点。,RestRoom,Unreal_Memory,,,
10440325,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10440326,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10440327,hide,hide,hide,hide,hide,电话挂断了。忙音从话筒里传出来——嘟、嘟、嘟。声音很规律。像一个电子心跳。景子把话筒从耳边拿开。放回电话机上。放得很轻。像在放一件很容易碎的东西。,RestRoom,Unreal_Memory,,,
10440328,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10440329,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10440330,hide,hide,hide,hide,hide,她站在电话机前面。站了很久。晨光在她身后慢慢变亮。她的影子投在墙上。影子的手还放在电话机上。然后她把手从电话机上拿开。放进自己的口袋。口袋里有一颗纽扣。铜的。上面刻了一只燕子。她的手指碰到纽扣的时候，嘴唇动了一下。不是说话。是默念了一个名字。,RestRoom,Unreal_Memory,,,
10440331,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10440332,巢燕姬·谷川景子,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10440333,hide,hide,hide,hide,hide,……小澪。,RestRoom,Unreal_Memory,,,
10440334,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
