ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10440601,hide,hide,hide,hide,hide,,Cafe,Unreal_Memory,,,
10440602,hide,hide,hide,hide,hide,,Cafe,Unreal_Memory,,,
10440603,hide,hide,hide,hide,hide,景子回到俱乐部的时候已经快十点了。走廊里的灯还亮着。大厅那边有客人——能听到很轻的音乐声和偶尔的笑声。她沿着走廊走回自己的房间。没有经过大厅。没有和任何人打招呼。她打开房门。进去。关上。门锁扣上的声音在安静的房间里很响。,Corridor,Silent_Night,,,
10440604,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10440605,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10440606,hide,hide,hide,hide,hide,房间里有一股很淡的樟脑味。她上次在柜子里放了防虫剂——和小澪的衣服放在一起。小澪的衣服还挂在柜子里。几件T恤，一条校服裙子，一件冬天的棉衣。景子走过去。把柜门打开。看着那些衣服。看了一会儿。然后把柜门关上。关得很轻。,Corridor,Unreal_Memory,,,
10440607,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10440608,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10440609,hide,hide,hide,hide,hide,她把风衣脱下来。挂在门后的挂钩上。然后她在床边坐下。床单是格子的——蓝白格，洗过很多次，已经有一点褪色了。她把鞋子踢掉。赤脚踩在地板上。脚底的触感很凉。她低头看着自己的脚。脚趾上涂了指甲油——是淡粉色的。大概是上周和小澪一起涂的。小澪喜欢粉红色。把自己的十个脚趾涂得满满的。景子只涂了两个大脚趾。其他的没涂。,Corridor,Unreal_Memory,,,
10440610,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10440611,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10440612,hide,hide,hide,hide,hide,她把手机从口袋里掏出来。翻开。屏幕上没有未接来电。没有短信。她把手机放在枕头旁边。然后把手伸进另一个口袋。掏出了那颗纽扣。铜纽扣在台灯下泛着暗光。燕子还在。翅膀还展着。她把它放在手心里。两只手合在一起。纽扣被包在中间。,Corridor,Unreal_Memory,,,
10440613,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10440614,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10440615,hide,hide,hide,hide,hide,有人敲门。很轻。三下。,Corridor,Unreal_Memory,,,
10440616,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10440617,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10440618,hide,hide,hide,hide,hide,她站起来。走到门口。开门。门外是我。她看着我。眼神和平时不一样。不是那种温柔——是某种更硬的东西。像是在很短时间内做了一连串决定的人才会有的眼神。那种眼神不亮。但很稳。,Club_door,Warm_Encounter,,,
10440619,hide,hide,hide,hide,hide,,Club_door,Warm_Encounter,,,
10440620,巢燕姬·谷川景子,hide,hide,hide,hide,,Club_door,Warm_Encounter,,,
10440621,hide,hide,hide,hide,hide,……我没去。,Club_door,Warm_Encounter,,,
10440622,hide,hide,hide,hide,hide,,Club_door,Warm_Encounter,,,
10440623,hide,hide,hide,hide,hide,,Club_door,Warm_Encounter,,,
10440624,hide,hide,hide,hide,hide,三个字。很轻。但说出口之后她没有低头。她看着我。手还握在门把手上。门把手是黄铜的。和那颗纽扣一样的颜色。,Club_door,Warm_Encounter,,,
10440625,hide,hide,hide,hide,hide,,Club_door,Warm_Encounter,,,
10440626,巢燕姬·谷川景子,hide,hide,hide,hide,,Club_door,Warm_Encounter,,,
10440627,hide,hide,hide,hide,hide,帝国酒店1802。我没去。,Club_door,Warm_Encounter,,,
10440628,hide,hide,hide,hide,hide,,Club_door,Warm_Encounter,,,
10440629,hide,hide,hide,hide,hide,,Club_door,Warm_Encounter,,,
10440630,hide,hide,hide,hide,hide,她把手从门把手上拿开。伸进口袋。掏出那颗纽扣。摊在手心里给我看。,Club_door,Warm_Encounter,,,
10440631,hide,hide,hide,hide,hide,,Club_door,Warm_Encounter,,,
10440632,巢燕姬·谷川景子,hide,hide,hide,hide,,Club_door,Warm_Encounter,,,
10440633,hide,hide,hide,hide,hide,纽扣还在。我去了奈良。校门口。站了半小时。校门口有警卫室。二十四小时有人。外人不可以随便进。小澪在里面。安全。,Club_door,Warm_Encounter,,,
10440634,hide,hide,hide,hide,hide,,Club_door,Warm_Encounter,,,
10440635,hide,hide,hide,hide,hide,,Club_door,Warm_Encounter,,,
10440636,hide,hide,hide,hide,hide,"她说""安全""这两个字的时候，声音比之前大了一点。不是刻意提高——是这两个字本身就有重量。需要更多的气息才能从胸腔里推出来。她把手合上。纽扣又被包在掌心。",Club_door,Warm_Encounter,,,
10440637,hide,hide,hide,hide,hide,,Club_door,Warm_Encounter,,,
10440638,巢燕姬·谷川景子,hide,hide,hide,hide,,Club_door,Warm_Encounter,,,
