ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10590401,hide,hide,hide,hide,hide,,Cafe,Mixed_Emotion,,,
10590402,hide,hide,hide,hide,hide,,Cafe,Mixed_Emotion,,,
10590403,hide,hide,hide,hide,hide,下午三点。化妆间里只有春奈和我。她在镜子前做最后一次测试。面具贴在脸上。村上秘书的脸。完整。完美。她站起来。走。左脚微微拖地。右手食指弹袖口。然后她对着镜子说话。,DressingRoom,Mixed_Emotion,,,
10590404,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10590405,诡鹀姬·木岛春奈,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10590406,hide,hide,hide,hide,hide,晚宴安保预案。第一——来宾名单核对。第二——后巷封锁。第三——凤凰账户资金确认。,DressingRoom,Mixed_Emotion,,,
10590407,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10590408,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10590409,hide,hide,hide,hide,hide,她的声音是村上秘书的。中年男人的声音。关西口音。但她的眼睛——透过面具的眼睛——是春奈的。顽皮的。狡黠的。有一点小虎牙的。即使面具遮住了嘴，那个眼神还是春奈的。她把面具揭下来。动作很慢。放在桌上。然后对着镜子里的自己——不是真脸，是另一个仿妆——看了一会儿。,DressingRoom,Mixed_Emotion,,,
10590410,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10590411,诡鹀姬·木岛春奈,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10590412,hide,hide,hide,hide,hide,最后一次测试。没问题。明天晚宴七点半。他在七点二十分去后巷抽烟。我在那里等他。麻醉剂在口袋里。十秒。然后换衣服。然后走进大厅。,Club_lobby,Mixed_Emotion,,,
10590413,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10590414,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10590415,hide,hide,hide,hide,hide,她把面具放进化妆箱。盖上。扣上。黄铜扣子发出清脆的响声。然后她站起来。看着我。,Club_lobby,Mixed_Emotion,,,
10590416,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10590417,诡鹀姬·木岛春奈,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10590418,hide,hide,hide,hide,hide,我做了两个月。从你来的第一天——就在做这个面具。不是为了你。是为了雪鹤姐。她的事——我听过。三年前我不在这里。但现在我在。所以——这是我欠她的。,Club_lobby,Mixed_Emotion,,,
10590419,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10590420,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10590421,hide,hide,hide,hide,hide,她停了一下。然后露出那个顽皮的笑。小虎牙露出来。,Club_lobby,Mixed_Emotion,,,
10590422,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10590423,诡鹀姬·木岛春奈,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10590424,hide,hide,hide,hide,hide,而且——最后一个面具是最难的。做完了这个——我觉得我可以退休了。不是从俱乐部退休。是从仿妆退休。以后只做自己。,Club_lobby,Mixed_Emotion,,,
10590425,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10590426,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10590427,hide,hide,hide,hide,hide,她提起化妆箱。走到门口。回头。,Club_lobby,Mixed_Emotion,,,
10590428,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10590429,诡鹀姬·木岛春奈,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10590430,hide,hide,hide,hide,hide,明天。五分钟。不要超时。如果面具开始松——你会在我的眼角看到一道皱纹。不是村上秘书的皱纹。是我的。当你看到那道皱纹的时候——我就要走了。,Club_lobby,Mixed_Emotion,,,
10590431,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10590432,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10590433,hide,hide,hide,hide,hide,她走了。化妆间里留下酒精胶水的气味。我看着她坐过的椅子。椅背上搭着她忘了带走的一条毛巾。白色的。很普通。但毛巾的角上绣了一只很小的狐狸。,DressingRoom,Mixed_Emotion,,,
10590434,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
