ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10550501,hide,hide,hide,hide,hide,,Corridor,Warm_Encounter,,,
10550502,hide,hide,hide,hide,hide,,Corridor,Warm_Encounter,,,
10550503,hide,hide,hide,hide,hide,景子站在衣帽间的角落里。手里拿着手机。翻盖打开。屏幕亮着。她的拇指悬在拨号键上面。悬了很久。不是犹豫——是在准备。她穿了一件深蓝色的连衣裙。不是俱乐部的演出服。是她自己的衣服。领口别了一枚很小的胸针——向日葵形状的。小澪送的。大概是去年母亲节的手工课作品。陶土做的，上了黄色的釉。釉面有一道很细的裂纹，但没碎。,Corridor,Mixed_Emotion,,,
10550504,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10550505,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10550506,hide,hide,hide,hide,hide,空气里有她今天新换的洗衣皂味道——不是平时那种便宜的。是另一种。带一点花香。大概是特意为今晚买的。混着枪油的味道——她刚才又练了一遍换弹。八步。一遍。然后把枪收进铁盒子里。铁盒子现在锁上了。钥匙在她的连衣裙口袋里。,Corridor,Mixed_Emotion,,,
10550507,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10550508,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10550509,hide,hide,hide,hide,hide,她按下了拨号键。嘟嘟声在衣帽间里响起。一声。两声。三声。她的手指在手机壳上轻轻敲。四声。五声。电话接通了。小澪的声音从听筒里漏出来——比昨天更亮了一点。大概是因为今天学校有运动会之类的活动。,Corridor,Mixed_Emotion,,,
10550510,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10550511,青鹭姬·星野葵,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10550512,hide,hide,hide,hide,hide,妈妈——,Corridor,Mixed_Emotion,,,
10550513,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10550514,巢燕姬·谷川景子,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10550515,hide,hide,hide,hide,hide,小澪。你在奈良好吗。,Corridor,Mixed_Emotion,,,
10550516,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10550517,青鹭姬·星野葵,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10550518,hide,hide,hide,hide,hide,好。今天跑了接力赛。我跑最后一棒。我们班得了第二名。,Corridor,Mixed_Emotion,,,
10550519,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10550520,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10550521,hide,hide,hide,hide,hide,"景子笑了。不是那种""开心""的笑——是那种""想要记住""的笑。她把手机换到另一只耳朵旁边。换的时候手很稳。",Corridor,Mixed_Emotion,,,
10550522,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10550523,巢燕姬·谷川景子,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
