ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10090301,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10090302,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10090303,hide,hide,hide,hide,hide,早上七点十分。翻盖机响了——不是消息，是来电。这部手机第一次有来电。加密线路接通时有一声很轻的电流音，像是某个程序在你耳边激活了什么。,Club_away,Mixed_Emotion,,,
10090304,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10090305,佐藤正义,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10090306,hide,hide,hide,hide,hide,黑羽。我是佐藤。增田的移交文件今天凌晨到我手上了。你在听吗。,Club_away,Silent_Night,,,
10090307,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10090308,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10090309,hide,hide,hide,hide,hide,……在听。,Club_away,Silent_Night,,,
10090310,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10090311,佐藤正义,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10090312,hide,hide,hide,hide,hide,增田的工作笔记里记了你的第一周汇报。白鹤姬的香芬样本——分析课结果出来了。不含管制物质。但是香芬基底里混了一种合成麝香，成分结构接近芬太尼的前驱体。含量太低，不足以立案。但足够让人在意。,Club_away,Silent_Night,,,
10090313,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10090314,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10090315,hide,hide,hide,hide,hide,芬太尼。合成麝香。前驱体。这几个词单独拿出来都很轻。放在一起就是另一回事了。,Club_away,Silent_Night,,,
10090316,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10090317,佐藤正义,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10090318,hide,hide,hide,hide,hide,你在俱乐部里还能接触到白鹤姬使用过的其他物品吗。,Club_away,Silent_Night,,,
10090319,hide,hide,hide,hide,hide,毛巾。茶杯。用过的纸。什么都可以。但不要刻意去拿。,Club_away,Silent_Night,,,
10090320,hide,hide,hide,hide,hide,"""刻意""会比残留物更早被发现。",Club_away,Silent_Night,,,
10090321,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10090322,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10090323,hide,hide,hide,hide,hide,……明白。,Club_away,Silent_Night,,,
10090324,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10090325,佐藤正义,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10090326,hide,hide,hide,hide,hide,另外。增田的事——节哀。他是比你想象中更好的人。虽然你可能没有机会知道这一点了。,Club_away,Silent_Night,,,
10090327,hide,hide,hide,hide,hide,从现在起每周一凌晨发送加密报告。格式和之前一样。不要用语音。不要打电话。除非紧急情况。,Club_away,Silent_Night,,,
10090328,hide,hide,hide,hide,hide,有问题吗。,Club_away,Silent_Night,,,
10090329,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10090330,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10090331,hide,hide,hide,hide,hide,……没有。,Club_away,Silent_Night,,,
10090332,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10090333,佐藤正义,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10090334,hide,hide,hide,hide,hide,那就这样。,Club_away,Silent_Night,,,
10090335,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10090336,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10090337,hide,hide,hide,hide,hide,电话挂断。翻盖机屏幕暗下去。合成麝香。前驱体。节哀。这三样东西在我脑子里各占了三分之一的空间。,Club_away,Silent_Night,,,
10090338,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10090339,hide,hide,hide,hide,hide,我合上手机。起床。洗漱。天花板上那块霉斑今天没有变化——大概已经稳定了。或者我已经不再盯着它看了。,Club_away,Silent_Night,,,
10090340,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10090341,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
