ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10030101,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10030102,hide,hide,hide,hide,hide,醒来时，头痛得像有根铁丝从太阳穴穿到后脑。,Club_away,Mixed_Emotion,,,
10030103,hide,hide,hide,hide,hide,我勉强睁开眼睛，下意识地点亮床头灯，突然出现的光线异常刺眼。,Club_away,Mixed_Emotion,,,
10030104,hide,hide,hide,hide,hide,视觉恢复以后，能看到灰尘在光里翻滚，每一粒都像小锤子敲打着视网膜。,Club_away,Mixed_Emotion,,,
10030105,hide,hide,hide,hide,hide,我坐起身，这个简单的动作就让整个世界旋转了几秒。,Club_away,Mixed_Emotion,,,
10030106,hide,hide,hide,hide,hide,摸索着找到手机——不是黑色那部，是我自己的。屏幕亮起：16:42。,Club_away,Mixed_Emotion,,,
10030107,hide,hide,hide,hide,hide,下面是一串未读通知。,Club_away,Mixed_Emotion,,,
10030108,hide,hide,hide,hide,hide,未接来电：小林莉香 (7:14),Club_away,Mixed_Emotion,,,
10030109,hide,hide,hide,hide,hide,未接来电：小林莉香 (7:22),Club_away,Mixed_Emotion,,,
10030110,hide,hide,hide,hide,hide,LINE消息：莉香 - “黑羽君，还在睡着么？”(7:31),Club_away,Mixed_Emotion,,,
10030111,hide,hide,hide,hide,hide,LINE消息：莉香 - “那好吧，好好休息一下吧~”(7:45),Club_away,Mixed_Emotion,,,
10030112,hide,hide,hide,hide,hide,我盯着那两条通话记录。,Club_away,Mixed_Emotion,,,
10030113,hide,hide,hide,hide,hide,感觉我从俱乐部回来，就倒在榻榻米上失去了意识的。,Club_away,Mixed_Emotion,,,
10030114,hide,hide,hide,hide,hide,我竟然完全没有听到铃声。,Club_away,Mixed_Emotion,,,
10030115,hide,hide,hide,hide,hide,不，不是没有听到。是根本没有意识。那种昏睡不像普通的疲劳，更像……被强制关机。,Club_away,Mixed_Emotion,,,
10030116,hide,hide,hide,hide,hide,我晃晃脑袋，试图驱散那层包裹着思维的浓雾。但头痛加剧了，连带鼻腔深处那股甜腻的气息又翻涌上来——经过一夜的发酵，那香气似乎渗进了更深处，现在每次呼吸都能尝到一丝若有若无的甜味，在舌根处化开。,Club_away,Slow_Lure,,,
10030117,hide,hide,hide,hide,hide,现在小林莉香应该也要休息了，打扰她就不合适了吧……,Club_away,Slow_Lure,,,
10030118,hide,hide,hide,hide,hide,我猛地想起更重要的事。,Club_away,Slow_Lure,,,
10030119,hide,hide,hide,hide,hide,黑色手机。,Club_away,Slow_Lure,,,
10030120,hide,hide,hide,hide,hide,我跪在床垫上，翻找公文包。手指还在轻微发抖，拉开拉链时费了些力气。,BedStore,Slow_Lure,,,
10030121,hide,hide,hide,hide,hide,黑色翻盖手机躺在夹层里，屏幕暗着。,BedStore,Slow_Lure,,,
10030122,hide,hide,hide,hide,hide,开机以后，屏幕亮起幽蓝的光。没有新消息，但也没有我昨晚应该发送的汇报记录。,BedStore,Slow_Lure,,,
10030123,hide,hide,hide,hide,hide,空白的发送记录像一记闷拳打在胃上。,BedStore,Slow_Lure,,,
10030124,hide,hide,hide,hide,hide,白鹤姬房间奇怪的香氛肯定有什么奇怪的物质，显然这是我必须要汇报的内容。,BedStore,Slow_Lure,,,
10030125,hide,hide,hide,hide,hide,我赶紧坐起来，把最应该做的事情发送出去：“白鹤疑似有香氛型致幻类物质，样本留在公寓楼下的信箱”。,Apartment,Slow_Lure,,,
10030126,hide,hide,hide,hide,hide,随后我拔下来自己的几根头发，从笔记本上扯下一页纸，用纸张折成信封将头发小心包好。,Apartment,Slow_Lure,,,
10030127,hide,hide,hide,hide,hide,等一会儿下楼的时候，放在公寓的信箱中，让增田课长去取。,Apartment,Slow_Lure,,,
10030128,hide,hide,hide,hide,hide,做完了这些我松了一口气。,Apartment,Slow_Lure,,,
10030129,hide,hide,hide,hide,hide,随后我拿起自己的手机给小林莉香发了消息。,Apartment,Slow_Lure,,,
10030130,hide,hide,hide,hide,hide,“不好意思，临时有紧急任务，昨晚在警局加班到很晚。你照顾好自己。”,Apartment,Slow_Lure,,,
10030131,hide,hide,hide,hide,hide,灰尘仍然在床头灯的灯光里翻滚，像是我此时缭乱的心绪。,Apartment,Slow_Lure,,,
10030132,hide,hide,hide,hide,hide,但愿头发上的些许残留，能让增田课长查出什么线索吧……,Apartment,Mystery_Box,,,
10030133,hide,hide,hide,hide,hide,灰尘持续翻滚着。,Apartment,Mystery_Box,,,
10030134,hide,hide,hide,hide,hide,而我的头痛，正随着每一次心跳，在颅骨内侧敲打出规律的钝响。,Apartment,Mystery_Box,,,
10030135,hide,hide,hide,hide,hide,,Apartment,Mystery_Box,,,
