ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10550601,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10550602,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10550603,hide,hide,hide,hide,hide,深夜十一点。茶室的门开着。里面亮着烛光。不是一根蜡烛——是三根。三根白蜡烛。并排放在铜盘上。火焰在空气里轻轻晃。茶室里的白檀和冷杉味道比平时浓。浓到有点苦。苦到鼻腔发干。雪代坐在榻榻米上。穿着那件墨色和服。白色羽毛发饰插在发间。她面前放着两个茶碗。一个她的。一个我的。茶碗里的抹茶还在冒热气——刚沏的。,RestRoom,Silent_Night,,,
10550604,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10550605,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10550606,hide,hide,hide,hide,hide,她看着我坐下。然后把手放在茶碗旁边。手指在碗沿上走了一圈。没有喝。只是碰。,RestRoom,Silent_Night,,,
10550607,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10550608,白鹤姬·桂原雪代,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10550609,hide,hide,hide,hide,hide,明天。晚宴。村上道也会在。他的枪也会在。我站在他旁边。你站在角落里。朱雀在外面。青鹭在吧台后面。所有人都在自己的位置上。,RestRoom,Silent_Night,,,
10550610,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10550611,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10550612,hide,hide,hide,hide,hide,她停了一下。抬起眼睛看我。烛光在她眼睛里变成三个很小的亮点——因为有三根蜡烛。三个亮点。一字排开。,RestRoom,Silent_Night,,,
10550613,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10550614,白鹤姬·桂原雪代,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10550615,hide,hide,hide,hide,hide,你知道我会做选择。你知道选择的方向——可能是你。可能不是你。如果我选错了——你怎么办。,RestRoom,Silent_Night,,,
10550616,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10550617,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10550618,hide,hide,hide,hide,hide,这个问题在茶室里停了很久。三根蜡烛的火焰同时晃了一下——不是风，是呼吸。她呼出的气让火焰晃。然后稳住。然后又晃。,RestRoom,Silent_Night,,,
10550619,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10550620,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10550621,hide,hide,hide,hide,hide,……你会选错吗。,RestRoom,Silent_Night,,,
10550622,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10550623,白鹤姬·桂原雪代,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10550624,hide,hide,hide,hide,hide,我不知道。我真的不知道。,RestRoom,Silent_Night,,,
10550625,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10550626,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10550627,hide,hide,hide,hide,hide,"她说这句话的时候声音轻了。不是故意轻——是轻到自己都没想到。雪代从来不说""不知道""。她说每一个字都像尺子量过的。但这一次——她说不知道。真的不知道。她把茶碗拿起来。喝了一口。然后放下。碗底碰在榻榻米上，发出很轻的响。",RestRoom,Silent_Night,,,
10550628,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10550629,白鹤姬·桂原雪代,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10550630,hide,hide,hide,hide,hide,三年前。雪鹤姐死的那天晚上。我在隔壁房间。她叫我过去。说——「雪代，如果有一天你站在村上旁边。记住。你不是他的人。」然后她走进泡泡浴室。关上门。我在门外站了半个小时。没有敲门。没有推门。只是站着。,Club_door,Unreal_Memory,,,
10550631,hide,hide,hide,hide,hide,,Club_door,Unreal_Memory,,,
10550632,hide,hide,hide,hide,hide,,Club_door,Unreal_Memory,,,
10550633,hide,hide,hide,hide,hide,她停了一下。手指在茶碗上停住了。,Club_door,Unreal_Memory,,,
10550634,hide,hide,hide,hide,hide,,Club_door,Unreal_Memory,,,
10550635,白鹤姬·桂原雪代,hide,hide,hide,hide,,Club_door,Unreal_Memory,,,
10550636,hide,hide,hide,hide,hide,后来佐藤正义来了。他问我——「你为什么不阻止她」。我没有回答。因为我不知道。我真的不知道。站在门外的人——有时候比门里的人更难动。,Club_door,Unreal_Memory,,,
10550637,hide,hide,hide,hide,hide,,Club_door,Unreal_Memory,,,
10550638,hide,hide,hide,hide,hide,,Club_door,Unreal_Memory,,,
10550639,hide,hide,hide,hide,hide,她抬起头。看着我。眼睛里的三个亮点不动了。烛光也不晃了。,Club_door,Unreal_Memory,,,
10550640,hide,hide,hide,hide,hide,,Club_door,Unreal_Memory,,,
10550641,白鹤姬·桂原雪代,hide,hide,hide,hide,,Club_door,Unreal_Memory,,,
10550642,hide,hide,hide,hide,hide,明天。我不会站在门外。我会在门里。但我在门里会做什么——我不知道。你赌我。但你不要只赌我。准备好。如果我选错了——你自己做。,Club_door,Mixed_Emotion,,,
10550643,hide,hide,hide,hide,hide,,Club_door,Mixed_Emotion,,,
10550644,hide,hide,hide,hide,hide,,Club_door,Mixed_Emotion,,,
