ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10130401,hide,hide,hide,hide,hide,,Apartment,Mixed_Emotion,,,
10130402,hide,hide,hide,hide,hide,,Apartment,Mixed_Emotion,,,
10130403,hide,hide,hide,hide,hide,下午三点。到店比平时早。今天预约表上有两处需要调整的排期——夜鸢姬的病假和朱雀姬的临时追加预约。,Apartment,Mixed_Emotion,,,
10130404,hide,hide,hide,hide,hide,,Apartment,Mixed_Emotion,,,
10130405,hide,hide,hide,hide,hide,推开休息室的门。日向夏实坐在椅子上，前面是芦田育子。育子闭着眼睛。嘴唇上涂了一点很淡的粉色——不是俱乐部公关那种鲜艳的红。是那种几乎看不出化妆的颜色。,RestRoom,Mixed_Emotion,,,
10130406,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10130407,hide,hide,hide,hide,hide,夏实手里拿着一支粉底刷，刚蘸了一点粉底液，正悬在育子的脸颊旁边。听到门声，两人同时转过头来看我。育子睁开眼睛——左眼已经画了一条很细的棕色眼线，右眼还没画。看起来像两只不同的人。,RestRoom,Mixed_Emotion,,,
10130408,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10130409,黄鹂姬·日向夏实,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10130410,hide,hide,hide,hide,hide,啊，经理。我们在学化妆——育子自己要求的。说想学一点基本的。不是为了接待客人！只是想——会一点。,RestRoom,Mixed_Emotion,,,
10130411,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10130412,hide,hide,hide,hide,hide,她最后几个字说得很快。像怕我误会什么。,RestRoom,Mixed_Emotion,,,
10130413,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10130414,雏鹃姬·芦田育子,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10130415,hide,hide,hide,hide,hide,……夏实姐说她的化妆品可以借我。,RestRoom,Mixed_Emotion,,,
10130416,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10130417,hide,hide,hide,hide,hide,"育子的声音比平时大了一点点。不是很多。但和第一天那个""是""相比，已经多了好几个音节。她转回去对着镜子。镜子里只有半张画了眼线的脸。夏实继续给她上粉底，动作很轻——比她自己化妆时更轻。像是在纸上描一朵本来就容易碎的花。",RestRoom,Mixed_Emotion,,,
10130418,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10130419,黄鹂姬·日向夏实,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10130420,hide,hide,hide,hide,hide,来，嘴唇抿一下。对——这样。,RestRoom,Mixed_Emotion,,,
10130421,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10130422,hide,hide,hide,hide,hide,夏实把一支全新的唇膏递给育子。包装还没拆。育子接过去，看着包装上的标签，研究了好几秒才找到开口。拆开包装的动作很慢——指甲不够长，撕了半天只撕开一个小角。然后用牙齿咬了一下。唇膏从包装里滑出来。她涂的时候前两次都涂偏了，第三次才勉强对上唇线——夏实用指尖帮她修了一下溢出嘴角的那一小片。,RestRoom,Unreal_Memory,,,
10130423,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10130424,黄鹂姬·日向夏实,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10130425,hide,hide,hide,hide,hide,好了。睁开眼睛看看。,RestRoom,Unreal_Memory,,,
10130426,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10130427,hide,hide,hide,hide,hide,育子慢慢睁开眼睛。看着镜子里的自己——眼线和平时不同，嘴唇也和平常不同。她愣了大概三秒钟。,RestRoom,Unreal_Memory,,,
10130428,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10130429,雏鹃姬·芦田育子,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10130430,hide,hide,hide,hide,hide,……不像我了。,RestRoom,Unreal_Memory,,,
10130431,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10130432,黄鹂姬·日向夏实,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10130433,hide,hide,hide,hide,hide,不像就对啦——化妆不是为了让你变一个人。是为了让你在镜子前面，能看到自己想要的那个样子。,RestRoom,Unreal_Memory,,,
10130434,hide,hide,hide,hide,hide,哪怕只是把眼线画直，也是在跟昨天的自己说——你看，我今天比昨天多学会了一件事。,RestRoom,Unreal_Memory,,,
10130435,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10130436,hide,hide,hide,hide,hide,育子把唇膏握在手心里。那支唇膏的金属外壳凉凉的，但她越握越紧。然后她把唇膏还给夏实。,RestRoom,Unreal_Memory,,,
10130437,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10130438,雏鹃姬·芦田育子,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10130439,hide,hide,hide,hide,hide,这个先还给夏实姐。我想——以后自己买一支。,RestRoom,Unreal_Memory,,,
10130440,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10130441,hide,hide,hide,hide,hide,"她把唇膏放回夏实手心。手指在收回来的时候犹豫了一瞬——不是舍不得唇膏，是舍不得这个下午。没有客人，没有预约表，只有镜子里的自己，和夏实姐轻轻的""对了，这样""。我来这里快两周了，经理从来没让我上过预约表。只让我叠毛巾、整理书架、在储物间里擦旧椅套。我以为他在等——等白鹤姐开口。但白鹤姐也没有。他们都没说为什么。但我知道这不是""忘了""。忘了的东西不会每天都记得。",Club_Storage,Unreal_Memory,,,
10130442,hide,hide,hide,hide,hide,,Club_Storage,Unreal_Memory,,,
10130443,黄鹂姬·日向夏实,hide,hide,hide,hide,,Club_Storage,Unreal_Memory,,,
10130444,hide,hide,hide,hide,hide,嗯♪ 以后买的时候我陪你。,Club_Storage,Unreal_Memory,,,
10130445,hide,hide,hide,hide,hide,,Club_Storage,Unreal_Memory,,,
10130446,hide,hide,hide,hide,hide,育子轻轻点了一下头。镜子里的她左眼眼线还在。右眼素颜。但她看着镜子的时候，嘴角比早上多了一点弧度。,Club_Storage,Mixed_Emotion,,,
