ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10470301,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10470302,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10470303,hide,hide,hide,hide,hide,后巷里的自动贩卖机灯又坏了。和台风前一样——一闪一闪，在灰蒙蒙的晨光里几乎看不到。空气里有潮湿的纸箱味。昨晚有人把纸箱放在后巷，被凌晨的露水打湿了。纸箱吸了水之后散发出一种很特殊的味道——像旧书被泡过，但又没泡透。还有更淡的烟味。薄荷的。,Club_lobby,Silent_Night,,,
10470304,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10470305,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10470306,hide,hide,hide,hide,hide,Linda靠在后巷的墙上。手里夹着一支细长的薄荷烟。她没有吸——烟在她手指间自己燃着，烟灰积了很长一段。她看着巷口。听到脚步声，没有转头。,Club_lobby,Silent_Night,,,
10470307,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10470308,朱雀姬·Linda,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10470309,hide,hide,hide,hide,hide,你晚了三分钟。,Club_lobby,Silent_Night,,,
10470310,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10470311,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10470312,hide,hide,hide,hide,hide,她说这句话的时候嘴角有一点弧度。不是责备。是某种习惯——Interpol的探员对时间有一种病态的敏感。她把烟灰弹掉。烟灰落在地上，和湿纸箱的碎屑混在一起。然后她从腋下抽出一卷纸。不是普通的纸——是图纸。很厚，外面裹了一层防水塑料膜。塑料膜上有凝结的水珠。,Club_lobby,Silent_Night,,,
10470313,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10470314,朱雀姬·Linda,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10470315,hide,hide,hide,hide,hide,今天不谈别的。只谈撤退。,Club_lobby,Silent_Night,,,
10470316,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10470317,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10470318,hide,hide,hide,hide,hide,她蹲下来。把图纸在地上铺开。后巷的地面是粗糙的柏油，不平，有很多小石子。她用四块碎砖压住图纸的四个角。动作很熟练——像是在很多条后巷里做过同样的事。图纸展开之后，我看到上面画的是十二飞鸟俱乐部的平面图。手绘的。每一扇门、每一扇窗、每一条走廊都标得很清楚。,Corridor,Silent_Night,,,
10470319,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10470320,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10470321,hide,hide,hide,hide,hide,空气里除了湿纸箱和薄荷烟，又多了一种味道——图纸的氨水味。蓝图的那种味道。刺鼻，但很清醒。像某种不该出现在这个后巷里的东西。但它在了。,Corridor,Silent_Night,,,
10470322,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10470323,朱雀姬·Linda,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10470324,hide,hide,hide,hide,hide,俱乐部平面图。我花了三周画的。不是从建筑公司拿的——是我自己量的。每天晚上下班之后，等所有人都走了，用脚步量走廊的长度。量了二十七遍。,Corridor,Silent_Night,,,
10470325,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
