ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10290301,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10290302,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10290303,hide,hide,hide,hide,hide,清晨七点。报纸送来了，叠成四折放在办公室桌上。油墨的气味还没散尽，头版的照片占了一半——一个男人的证件照，三十多岁，穿衬衫，没打领带。名字：山下达彦。职业：东都医科大学的助教。死亡时间：两周前。死因：心脏骤停。,Manager_Office,Silent_Night,,,
10290304,hide,hide,hide,hide,hide,"第三版续了一小段。尸体第二次解剖时发现了一种未登记的化合物。""极乐""——报纸用了引号，说警方正在调查来源。旁边配了一张背景材料：同一区域此前已有两具尸体检测出类似成分。",Manager_Office,Silent_Night,,,
10290305,hide,hide,hide,hide,hide,"我把报纸摊平。佐藤的名字没有出现。村上道也的名字也没有。但第二段提到""大阪府警一名相关人士称调查正在推进""——那句话的位置，放在不显眼但一定会被看到的地方。",Manager_Office,Silent_Night,,,
10290306,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10290307,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10290308,hide,hide,hide,hide,hide,门外有人走过。脚步声很急。纸杯掉在地上，咖啡洒了一地，气味从门缝渗进来——速溶的，偏酸。保洁阿姨在走廊上骂了一句，然后用拖把开始拖。,Club_door,Silent_Night,,,
10290309,hide,hide,hide,hide,hide,,Club_door,Silent_Night,,,
10290310,hide,hide,hide,hide,hide,,Club_door,Silent_Night,,,
10290311,hide,hide,hide,hide,hide,……第三个人。,Club_door,Silent_Night,,,
10290312,hide,hide,hide,hide,hide,,Club_door,Silent_Night,,,
10290313,hide,hide,hide,hide,hide,,Club_door,Silent_Night,,,
10290314,hide,hide,hide,hide,hide,"报纸上那段话的最后一句：该物质的具体作用机制仍在分析中，但不排除与近期多起不明原因死亡事件有关。用的是""不排除""。报纸常用的措辞——不说是，不否认，留给读者自己想。",Club_door,Silent_Night,,,
10290315,hide,hide,hide,hide,hide,,Club_door,Silent_Night,,,
