ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10320301,hide,hide,hide,hide,hide,,Club_away,Warm_Encounter,,,
10320302,hide,hide,hide,hide,hide,,Club_away,Warm_Encounter,,,
10320303,hide,hide,hide,hide,hide,清晨五点半。窗外是阴天——不是要下雨的那种阴，是云层很厚但透光，把整个房间染成灰色。榻榻米上铺着所有证据，按时间线排成四列。最左边是雪鹤姬，最右边是佐藤。,Club_away,Warm_Encounter,,,
10320304,hide,hide,hide,hide,hide,空气里有旧纸和铅笔木屑的味道。昨天削的铅笔头还在桌角。我换了一支新的，2B，笔芯偏软，写在纸上有点涩。,Club_away,Warm_Encounter,,,
10320305,hide,hide,hide,hide,hide,,Club_away,Warm_Encounter,,,
10320306,hide,hide,hide,hide,hide,,Club_away,Warm_Encounter,,,
10320307,hide,hide,hide,hide,hide,"佐藤教过我一种编码格式——不是加密，是整理。每份证据编号用三段：年月日-来源-序号。来源用缩写：雪代是Yuk，佐藤是Sat，夜鸢是Yor，自采是Mine。他管这叫""渔网格式""——每一个结都连着旁边的结，拉一个整张网都动。",Club_away,Warm_Encounter,,,
10320308,hide,hide,hide,hide,hide,我把所有纸张按格式重新编号。账簿：Mine-01到Mine-14。佐藤传真：Sat-01。夜鸢黑皮书：Yor-01到Yor-03。Linda入境记录：Lin-01。然后画了一张交叉引用表——哪份证据指向哪个人，哪个人连到哪件事。,Club_away,Mystery_Box,,,
10320309,hide,hide,hide,hide,hide,铅笔写到佐藤的名字旁边时停了一下。在备注栏写：佐藤正义——联络人——被停职——罪名：泄露机密——拘留地：不明。最后两个字写得很用力，纸背凹下去了。,Club_away,Mystery_Box,,,
10320310,hide,hide,hide,hide,hide,,Club_away,Mystery_Box,,,
10320311,hide,hide,hide,hide,hide,,Club_away,Mystery_Box,,,
10320312,hide,hide,hide,hide,hide,……收好。,Club_away,Mystery_Box,,,
10320313,hide,hide,hide,hide,hide,,Club_away,Mystery_Box,,,
10320314,hide,hide,hide,hide,hide,,Club_away,Mystery_Box,,,
10320315,hide,hide,hide,hide,hide,全部装进一个防水文件袋。文件袋放进背包夹层。背包放在玄关——随时可以拿到的位置。,Club_away,Mystery_Box,,,
10320316,hide,hide,hide,hide,hide,,Club_away,Mystery_Box,,,
