ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10390401,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10390402,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10390403,hide,hide,hide,hide,hide,电还没来。大厅里的光线越来越暗。紫坐在吧台旁边，面前摊着她的塔罗牌。牌已经翻了好几轮了——她大概是在用这个方式打发时间。牌面在昏暗的光线里看不清图案，只能看到牌背面的花纹——紫色的，印着金色的星星。,Club_lobby,Unreal_Memory,,,
10390404,hide,hide,hide,hide,hide,,Club_lobby,Unreal_Memory,,,
10390405,hide,hide,hide,hide,hide,,Club_lobby,Unreal_Memory,,,
10390406,hide,hide,hide,hide,hide,空气里有一股潮气。地毯被水汽浸了，踩上去有点软。紫今天没有戴她的幸运项链。大概是换衣服的时候忘了。她少了一样首饰，看起来比平时年轻了一点——或者说是脆了一点。,Club_lobby,Unreal_Memory,,,
10390407,hide,hide,hide,hide,hide,,Club_lobby,Unreal_Memory,,,
10390408,神鸦姬·神乐坂紫,hide,hide,hide,hide,,Club_lobby,Unreal_Memory,,,
10390409,hide,hide,hide,hide,hide,我今天已经占过一次了。准了。第二次一定不准。,Club_lobby,Unreal_Memory,,,
10390410,hide,hide,hide,hide,hide,,Club_lobby,Unreal_Memory,,,
10390411,hide,hide,hide,hide,hide,,Club_lobby,Unreal_Memory,,,
10390412,hide,hide,hide,hide,hide,她翻开一张牌。看了看。然后把它放回去。动作很随意，不像平时那样带着仪式感。,Club_lobby,Unreal_Memory,,,
10390413,hide,hide,hide,hide,hide,,Club_lobby,Unreal_Memory,,,
10390414,神鸦姬·神乐坂紫,hide,hide,hide,hide,,Club_lobby,Unreal_Memory,,,
10390415,hide,hide,hide,hide,hide,这副牌不是买的。是别人给的。,Club_lobby,Unreal_Memory,,,
10390416,hide,hide,hide,hide,hide,,Club_lobby,Unreal_Memory,,,
10390417,hide,hide,hide,hide,hide,,Club_lobby,Unreal_Memory,,,
10390418,hide,hide,hide,hide,hide,她把整副牌收起来，在手里洗。她的洗牌动作很熟练——不是练出来的熟练，是用了几千次才会有的那种熟练。,Club_lobby,Unreal_Memory,,,
10390419,hide,hide,hide,hide,hide,,Club_lobby,Unreal_Memory,,,
10390420,神鸦姬·神乐坂紫,hide,hide,hide,hide,,Club_lobby,Unreal_Memory,,,
10390421,hide,hide,hide,hide,hide,小时候。我住的地方有一个吉普赛女人。不是真的吉普赛——是到处流浪的那种占卜师。她路过我们村子，住了三天。走的时候给了我这副牌。,Club_lobby,Unreal_Memory,,,
10390422,hide,hide,hide,hide,hide,,Club_lobby,Unreal_Memory,,,
10390423,hide,hide,hide,hide,hide,,Club_lobby,Unreal_Memory,,,
10390424,hide,hide,hide,hide,hide,她把牌放在吧台上。看着牌背面的金色星星。,Club_lobby,Unreal_Memory,,,
10390425,hide,hide,hide,hide,hide,,Club_lobby,Unreal_Memory,,,
10390426,神鸦姬·神乐坂紫,hide,hide,hide,hide,,Club_lobby,Unreal_Memory,,,
10390427,hide,hide,hide,hide,hide,她还给了我一只鸟。不是送的——是捡的。受伤的小乌鸦，从树上掉下来的，一只翅膀断了。她说——「你照顾它。它活一天，你就能多帮一个人。」然后她就走了。牌和鸟。都是她的。鸟活到现在。比她说的一天长了很多年。,Club_lobby,Unreal_Memory,,,
10390428,hide,hide,hide,hide,hide,,Club_lobby,Unreal_Memory,,,
10390429,神鸦姬·神乐坂紫,hide,hide,hide,hide,,Club_lobby,Unreal_Memory,,,
10390430,hide,hide,hide,hide,hide,她说——「你以后会救很多人。」,Club_lobby,Unreal_Memory,,,
10390431,hide,hide,hide,hide,hide,,Club_lobby,Unreal_Memory,,,
10390432,hide,hide,hide,hide,hide,,Club_lobby,Unreal_Memory,,,
