ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10580301,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10580302,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10580303,hide,hide,hide,hide,hide,早上七点。景子坐在休息室靠窗的位置。还是那个位置——Day 40她坐在这里决定小澪转寄宿学校的位置。窗外有鸟叫。不是一种鸟。是两种。一种叫声很急，一种叫声很长。两种声音交替。她手里拿着一张照片——不是小澪的。是游乐场的。大阪那个有摩天轮的游乐场。照片上摩天轮亮着灯，红色和蓝色的灯光在夜空里画了一个圈。,RestRoom,Mixed_Emotion,,,
10580304,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10580305,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10580306,hide,hide,hide,hide,hide,空气里有很淡的煎蛋味——大概是景子早上给小澪做了便当。煎蛋的油香留在她的袖口上。还有更淡的，她身上的洗衣液味道。柠檬味的。和我的公寓里用的是同一个牌子。,Apartment,Mixed_Emotion,,,
10580307,hide,hide,hide,hide,hide,,Apartment,Mixed_Emotion,,,
10580308,巢燕姬·谷川景子,hide,hide,hide,hide,,Apartment,Mixed_Emotion,,,
10580309,hide,hide,hide,hide,hide,我查了。游乐场周四开门。早上十点到晚上八点。摩天轮坐一圈是十二分钟。小澪喜欢高的地方。她说从上面能看到整个大阪。,Apartment,Mixed_Emotion,,,
10580310,hide,hide,hide,hide,hide,,Apartment,Mixed_Emotion,,,
10580311,hide,hide,hide,hide,hide,,Apartment,Mixed_Emotion,,,
10580312,hide,hide,hide,hide,hide,她把照片翻过来。背面写了字——「周四。带小澪。摩天轮。」字迹是圆珠笔的。蓝色的。笔迹有点歪——大概是在膝盖上写的。她把照片放进口袋里。然后看着我。,Apartment,Mixed_Emotion,,,
10580313,hide,hide,hide,hide,hide,,Apartment,Mixed_Emotion,,,
10580314,巢燕姬·谷川景子,hide,hide,hide,hide,,Apartment,Mixed_Emotion,,,
10580315,hide,hide,hide,hide,hide,明天晚上。不管多晚结束。周四——我会去。带着小澪。我希望你也能来。,Apartment,Mixed_Emotion,,,
10580316,hide,hide,hide,hide,hide,,Apartment,Mixed_Emotion,,,
10580317,hide,hide,hide,hide,hide,,Apartment,Mixed_Emotion,,,
10580318,hide,hide,hide,hide,hide,她停了一下。手指在口袋边缘捏了一下。然后松开。,Apartment,Mixed_Emotion,,,
10580319,hide,hide,hide,hide,hide,,Apartment,Mixed_Emotion,,,
10580320,巢燕姬·谷川景子,hide,hide,hide,hide,,Apartment,Mixed_Emotion,,,
10580321,hide,hide,hide,hide,hide,不是因为你帮过我。不是因为你是经理。是因为——小澪说想见你。她说「妈妈的那个经理——是好人吗」。我说「是」。她说「那我想见见」。所以我告诉你。不是因为别的。是因为女儿想见一个人。我就让她见。,Apartment,Mixed_Emotion,,,
10580322,hide,hide,hide,hide,hide,,Apartment,Mixed_Emotion,,,
10580323,hide,hide,hide,hide,hide,,Apartment,Mixed_Emotion,,,
10580324,hide,hide,hide,hide,hide,她站起来。走到窗边。把窗户推开一条缝。外面的鸟叫声涌进来。更响了。她深吸了一口气。然后转回来。脸上没有泪。没有笑。只有平静。,Apartment,Mixed_Emotion,,,
10580325,hide,hide,hide,hide,hide,,Apartment,Mixed_Emotion,,,
10580326,巢燕姬·谷川景子,hide,hide,hide,hide,,Apartment,Mixed_Emotion,,,
10580327,hide,hide,hide,hide,hide,我在这里工作了四年。四年里——我只带小澪来过一次。是台风天。学校停课。我没法请假。只好把她带到休息室。她坐在角落里做作业。客人来的时候——我把她藏进储物间。储物间里没有灯。她一个人在里面待了三个小时。出来的时候——她手里捏着一只蟑螂。不是怕。是抓。她说「妈妈，我帮你抓了一只虫子」。,RestRoom,Mixed_Emotion,,,
10580328,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10580329,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10580330,hide,hide,hide,hide,hide,她笑了。不是那种开心的笑——是那种回忆到某些东西，不得不笑的笑。然后她把窗户关上。鸟叫声被隔在外面。休息室里安静下来。,RestRoom,Unreal_Memory,,,
10580331,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10580332,巢燕姬·谷川景子,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10580333,hide,hide,hide,hide,hide,周四。游乐场。你来。小澪想见你。我也想。,RestRoom,Unreal_Memory,,,
10580334,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
