ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10050400,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10050401,hide,hide,hide,hide,hide,吃完面，我站起来付钱。老板接过钞票，用只有我听得见的音量说了一句。,RamenShop,Mixed_Emotion,,,
10050402,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10050403,拉面店老板,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10050404,hide,hide,hide,hide,hide,是个好孩子呢。那姑娘。,RamenShop,Mixed_Emotion,,,
10050405,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10050406,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10050407,hide,hide,hide,hide,hide,……是啊。,RamenShop,Mixed_Emotion,,,
10050408,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10050409,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10050410,hide,hide,hide,hide,hide,走出拉面店。早晨的阳光终于从云层后面露出来。育子站在店门口，仰头看着天色。,RamenShop,Mixed_Emotion,,,
10050411,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10050412,雏鹃姬·芦田育子,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10050413,hide,hide,hide,hide,hide,经理。谢谢你。,RamenShop,Mixed_Emotion,,,
10050414,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10050415,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10050416,hide,hide,hide,hide,hide,"这次她说""谢谢""的时候，没有低头。眼睛看着我的眼睛。虽然只有几秒。但那几秒比昨晚那声""晚安""要重得多。",RamenShop,Mixed_Emotion,,,
10050417,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10050418,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10050419,hide,hide,hide,hide,hide,……回去休息一下吧。晚上还要营业。,RamenShop,Mixed_Emotion,,,
10050420,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10050421,雏鹃姬·芦田育子,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10050422,hide,hide,hide,hide,hide,嗯。,RamenShop,Mixed_Emotion,,,
10050423,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10050424,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10050425,hide,hide,hide,hide,hide,她转身往俱乐部的方向走。水手服的裙摆在晨风里轻轻摆动。走了几步，忽然回头。,RamenShop,Mixed_Emotion,,,
10050426,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10050427,雏鹃姬·芦田育子,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10050428,hide,hide,hide,hide,hide,……明天的拉面，我可以加溏心蛋吗。,RamenShop,Mixed_Emotion,,,
10050429,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10050430,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10050431,hide,hide,hide,hide,hide,这次我真的笑了。,RamenShop,Mixed_Emotion,,,
10050432,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10050433,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
