ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10470401,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10470402,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10470403,hide,hide,hide,hide,hide,晨光渐渐亮了。后巷里能看清更多东西——墙上的涂鸦、下水道盖子的锈迹、对面楼晾的衣服。Linda的手指在图纸上移动。她的指甲涂了颜色——今天是深红色。指甲在蓝色的图纸上移动，像在战场上移动一面小旗。,Corridor,Silent_Night,,,
10470404,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10470405,朱雀姬·Linda,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10470406,hide,hide,hide,hide,hide,六个位置。,Corridor,Silent_Night,,,
10470407,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10470408,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10470409,hide,hide,hide,hide,hide,她用手指点着图纸上的红点。一共六个。分布在俱乐部的不同位置——后门、前厅、走廊拐角、二楼楼梯口、厨房后窗、隔壁停车场入口。,Corridor,Silent_Night,,,
10470410,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10470411,朱雀姬·Linda,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10470412,hide,hide,hide,hide,hide,A点——后门。这是主要撤退出口。但只能用于第一波。一旦有人追出来，A点会被封。B点——前厅侧窗。不是门。是窗户。推开之后跳到街对面。C点——走廊拐角。这里是个死角。可以用来拖延时间。如果有人追——在这里停住。利用拐角的盲区。,Corridor,Silent_Night,,,
10470413,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10470414,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10470415,hide,hide,hide,hide,hide,她说话的方式变了。不再是平时那种夸张的、带着俄罗斯口音的日语——那种在俱乐部里逗客人笑的方式。现在她的声音很平。每一个字都像是从某个行动手册里直接摘出来的。不带情绪。只有信息。,Corridor,Silent_Night,,,
10470416,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10470417,朱雀姬·Linda,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10470418,hide,hide,hide,hide,hide,D点——二楼楼梯口。如果大厅被控制，从二楼走。二楼走廊尽头有一个储藏室。储藏室的窗户通向隔壁楼的天台。跳过去——一米二。不难。E点——厨房后窗。窗户下面是垃圾堆放区。有缓冲。但落地之后不要停。直接跑。垃圾区有老鼠。很多。,Corridor,Unreal_Memory,,,
10470419,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10470420,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10470421,hide,hide,hide,hide,hide,"她说到""老鼠""的时候，嘴角动了一下——不是笑。是对那个地方的某种熟悉。大概她在测量路线的时候，已经踩过那个垃圾区了。",Corridor,Unreal_Memory,,,
10470422,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10470423,朱雀姬·Linda,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10470424,hide,hide,hide,hide,hide,F点——隔壁停车场。最关键的一个。停车场三楼停着一辆白色丰田。车牌号我写在这里了。,Corridor,Unreal_Memory,,,
10470425,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10470426,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10470427,hide,hide,hide,hide,hide,她从口袋里掏出一张纸条。塞到图纸下面。纸条上用铅笔写了一串数字。大阪牌照。笔迹很潦草——大概是在某个凌晨写的，手在抖。,Corridor,Silent_Night,,,
10470428,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10470429,朱雀姬·Linda,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10470430,hide,hide,hide,hide,hide,钥匙在左后轮内侧。用胶带贴着。不是我的车。是租的。用假名租的。租期到月底。,Corridor,Silent_Night,,,
10470431,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10470432,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10470433,hide,hide,hide,hide,hide,她抬起头看我。眼睛在晨光里是很浅的褐色。不是俄罗斯常见的蓝色或灰色。褐色。像某种来自更南方的血统。,Corridor,Silent_Night,,,
10470434,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10470435,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10470436,hide,hide,hide,hide,hide,……信号。,Corridor,Silent_Night,,,
10470437,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10470438,朱雀姬·Linda,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10470439,hide,hide,hide,hide,hide,大厅主灯闪烁三次。,Club_lobby,Silent_Night,,,
10470440,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10470441,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10470442,hide,hide,hide,hide,hide,她说这句话的时候，手指在图纸上点了三下。一下。一下。一下。节奏均匀。像心跳。,Club_lobby,Silent_Night,,,
10470443,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10470444,朱雀姬·Linda,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10470445,hide,hide,hide,hide,hide,三次。不是两次。不是四次。三次。如果我发信号——说明我已经确认了最坏的情况。你不用等我。不用确认。直接走。按A-B-C-D-E-F的顺序。记住了吗。,Club_lobby,Silent_Night,,,
10470446,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
